SiteUUID,PODorPOUSite,Longitude,Latitude
KSwr_S10323,POD,-101.0632,38.62381
KSwr_S10324,POD,-101.813,37.67782
KSwr_S10325,POD,-99.57413,37.8217
KSwr_S10325,POD,-99.57413,37.8217
KSwr_S10326,POD,-97.18417,38.83256
KSwr_S10327,POD,-97.18466,38.83091
KSwr_S10328,POD,-97.18389,38.83443
KSwr_S10329,POD,-97.1841,38.82937
KSwr_S1033,POD,-97.77638,37.623
KSwr_S1033,POD,-97.77638,37.623
KSwr_S10330,POD,-97.18453,38.82866
KSwr_S10331,POD,-97.1855,38.83218
KSwr_S10332,POD,-97.78831,39.98725
KSwr_S10333,POD,-99.76941,37.76729
KSwr_S10333,POD,-99.76941,37.76729
KSwr_S10334,POD,-101.6375,37.386
KSwr_S10335,POD,-100.1349,37.51837
KSwr_S10336,POD,-101.8916,38.66856
KSwr_S10337,POD,-98.33825,38.54718
KSwr_S10338,POD,-99.72856,37.76516
KSwr_S10339,POD,-101.8824,39.26902
KSwr_S1034,POD,-99.88528,38.07581
KSwr_S1034,POD,-99.88528,38.07581
KSwr_S10340,POD,-100.2905,37.37705
KSwr_S10341,POD,-99.67559,38.24775
KSwr_S10342,POD,-100.8929,37.92064
KSwr_S10343,POD,-101.7136,37.27972
KSwr_S10344,POD,-101.714,37.28672
KSwr_S10345,POD,-100.0013,37.70355
KSwr_S10346,POD,-99.8981,38.99103
KSwr_S10347,POD,-101.8801,38.68083
KSwr_S10348,POD,-97.63615,39.26284
KSwr_S10349,POD,-97.79965,39.78958
KSwr_S1035,POD,-95.24003,38.9813
KSwr_S1035,POD,-95.24003,38.9813
KSwr_S1035,POD,-95.24003,38.9813
KSwr_S10350,POD,-100.85562,37.30035
KSwr_S10350,POD,-100.85562,37.30035
KSwr_S10351,POD,-100.5638,37.89533
KSwr_S10352,POD,-100.5725,37.8967
KSwr_S10353,POD,-100.9139,37.13238
KSwr_S10354,POD,-100.8336,38.49376
KSwr_S10355,POD,-100.8242,38.50736
KSwr_S10356,POD,-101.8068,39.29729
KSwr_S10357,POD,-99.36162,38.89835
KSwr_S10358,POD,-100.7233,38.54038
KSwr_S10359,POD,-101.0185,39.22556
