OrganizationUUID,VariableSpecificUUID,ReportingUnitUUID,PrimaryUseCategory,BeneficialUseCategory,WaterSourceUUID,MethodUUID,TimeframeStart,TimeframeEnd,DataPublicationDate,DataPublicationDOI,ReportYearCV,Amount,PopulationServed,PowerGeneratedGWh,PowerType,IrrigatedAcreage,InterbasinTransferToID,InterbasinTransferFromID,CustomerTypeCV,AllocationCropDutyAmount,IrrigationMethodCV,CropTypeCV,CommunityWaterSupplySystem,SDWISIdentifierCV
WWDO,WY_Consumptive Use,WY_7,Irrigation,Agricultural Consumptive Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2001,901467.4199,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_7,Irrigation,Agricultural Consumptive Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2001,6222.11288,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_7,Irrigation,Industrial Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2001,80426.08942,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_7,Irrigation,Industrial Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2001,11142.76693,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Agricultural Consumptive Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,59587.55752,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Agricultural Consumptive Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,1226.612777,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Municipal  Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,996.601011,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Municipal  Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,39.07156673,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Domestic Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,0,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Domestic Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,481.8440239,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Industrial Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,307.9138655,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_1,Irrigation,Industrial Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,90.28497984,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Agricultural Consumptive Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,247022.7581,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Agricultural Consumptive Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,1865.810695,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Municipal  Use,CrossBasin_Diversion,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,14631.0506,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Municipal  Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,6511.805295,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Municipal  Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,828.6108018,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Domestic Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,0,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Domestic Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,2895.615494,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Industrial Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,63371.78265,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_2,Irrigation,Industrial Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,1739.105961,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_3,Irrigation,Agricultural Consumptive Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,38028.3035,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_3,Irrigation,Agricultural Consumptive Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,8925.6514,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_3,Irrigation,Municipal  Use,Fresh_Surface,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,0,,,,,,,,,,,,
WWDO,WY_Consumptive Use,WY_3,Irrigation,Municipal  Use,Fresh_Ground,WWDO_Water_uses,1-Jan,31-Dec,12/19/2019,,2002,2320.052504,,,,,,,,,,,,
