index,STATE,COUNTY,RESERVOIRNAME,Amount,ReportYearCV,BeneficialUseCV,TheJoin,AFFGEOID
43,AZ,Apache,Unspecified,14.650134353335504,2014,LivestockDist,AZApache,0500000US04001
44,AZ,Apache,Unspecified,15.741472633915501,2015,LivestockDist,AZApache,0500000US04001
45,AZ,Apache,Unspecified,16.834202138932497,2016,LivestockDist,AZApache,0500000US04001
46,AZ,Apache,Unspecified,17.926931643949505,2017,LivestockDist,AZApache,0500000US04001
47,AZ,Apache,Unspecified,19.019661148966502,2018,LivestockDist,AZApache,0500000US04001
0,AZ,Apache,Unspecified,0.0,1971,LivestockDist,AZApache,0500000US04001
1,AZ,Apache,Unspecified,0.0,1972,LivestockDist,AZApache,0500000US04001
2,AZ,Apache,Unspecified,0.0,1973,LivestockDist,AZApache,0500000US04001
3,AZ,Apache,Unspecified,0.0,1974,LivestockDist,AZApache,0500000US04001
4,AZ,Apache,Unspecified,0.0,1975,LivestockDist,AZApache,0500000US04001
5,AZ,Apache,Unspecified,0.0,1976,LivestockDist,AZApache,0500000US04001
6,AZ,Apache,Unspecified,0.0,1977,LivestockDist,AZApache,0500000US04001
7,AZ,Apache,Unspecified,0.0,1978,LivestockDist,AZApache,0500000US04001
8,AZ,Apache,Unspecified,0.0,1979,LivestockDist,AZApache,0500000US04001
9,AZ,Apache,Unspecified,0.0,1980,LivestockDist,AZApache,0500000US04001
10,AZ,Apache,Unspecified,25.43619184242099,1981,LivestockDist,AZApache,0500000US04001
11,AZ,Apache,Unspecified,25.43619184242099,1982,LivestockDist,AZApache,0500000US04001
12,AZ,Apache,Unspecified,25.43619184242099,1983,LivestockDist,AZApache,0500000US04001
13,AZ,Apache,Unspecified,25.43619184242099,1984,LivestockDist,AZApache,0500000US04001
14,AZ,Apache,Unspecified,25.43619184242099,1985,LivestockDist,AZApache,0500000US04001
15,AZ,Apache,Unspecified,15.542965089419098,1986,LivestockDist,AZApache,0500000US04001
16,AZ,Apache,Unspecified,15.542965089419098,1987,LivestockDist,AZApache,0500000US04001
17,AZ,Apache,Unspecified,15.542965089419098,1988,LivestockDist,AZApache,0500000US04001
18,AZ,Apache,Unspecified,15.542965089419098,1989,LivestockDist,AZApache,0500000US04001
19,AZ,Apache,Unspecified,15.542965089419098,1990,LivestockDist,AZApache,0500000US04001
20,AZ,Apache,Unspecified,15.542965089419098,1991,LivestockDist,AZApache,0500000US04001
21,AZ,Apache,Unspecified,15.542965089419098,1992,LivestockDist,AZApache,0500000US04001
22,AZ,Apache,Unspecified,15.542965089419098,1993,LivestockDist,AZApache,0500000US04001
23,AZ,Apache,Unspecified,16.970503907081326,1994,LivestockDist,AZApache,0500000US04001
24,AZ,Apache,Unspecified,29.898334218474034,1995,LivestockDist,AZApache,0500000US04001
25,AZ,Apache,Unspecified,4.677484150703593,1996,LivestockDist,AZApache,0500000US04001
26,AZ,Apache,Unspecified,4.677484150703593,1997,LivestockDist,AZApache,0500000US04001
27,AZ,Apache,Unspecified,4.677484150703593,1998,LivestockDist,AZApache,0500000US04001
28,AZ,Apache,Unspecified,4.7209030099199225,1999,LivestockDist,AZApache,0500000US04001
29,AZ,Apache,Unspecified,4.780277705260705,2000,LivestockDist,AZApache,0500000US04001
30,AZ,Apache,Unspecified,3.927471336031635,2001,LivestockDist,AZApache,0500000US04001
31,AZ,Apache,Unspecified,3.927471336031635,2002,LivestockDist,AZApache,0500000US04001
32,AZ,Apache,Unspecified,3.927471336031635,2003,LivestockDist,AZApache,0500000US04001
33,AZ,Apache,Unspecified,3.927471336031635,2004,LivestockDist,AZApache,0500000US04001
34,AZ,Apache,Unspecified,3.927471336031635,2005,LivestockDist,AZApache,0500000US04001
35,AZ,Apache,Unspecified,3.927471336031635,2006,LivestockDist,AZApache,0500000US04001
36,AZ,Apache,Unspecified,4.649794133550722,2007,LivestockDist,AZApache,0500000US04001
37,AZ,Apache,Unspecified,5.0,2008,LivestockDist,AZApache,0500000US04001
38,AZ,Apache,Unspecified,10.091786678998082,2009,LivestockDist,AZApache,0500000US04001
39,AZ,Apache,Unspecified,11.905784194147202,2010,LivestockDist,AZApache,0500000US04001
40,AZ,Apache,Unspecified,14.560765018237273,2011,LivestockDist,AZApache,0500000US04001
41,AZ,Apache,Unspecified,8.80112451451032,2012,LivestockDist,AZApache,0500000US04001
42,AZ,Apache,Unspecified,9.542493634280882,2013,LivestockDist,AZApache,0500000US04001
43,AZ,Apache,Unspecified,10.293311789126163,2014,LivestockDist,AZApache,0500000US04001
44,AZ,Apache,Unspecified,11.06009555495976,2015,LivestockDist,AZApache,0500000US04001
45,AZ,Apache,Unspecified,11.827856807180398,2016,LivestockDist,AZApache,0500000US04001
46,AZ,Apache,Unspecified,12.595618059401042,2017,LivestockDist,AZApache,0500000US04001
47,AZ,Apache,Unspecified,13.36337931162168,2018,LivestockDist,AZApache,0500000US04001
0,AZ,Apache,Unspecified,0.0,1971,LivestockDist,AZApache,0500000US04001
1,AZ,Apache,Unspecified,0.0,1972,LivestockDist,AZApache,0500000US04001
2,AZ,Apache,Unspecified,0.0,1973,LivestockDist,AZApache,0500000US04001
3,AZ,Apache,Unspecified,0.0,1974,LivestockDist,AZApache,0500000US04001
4,AZ,Apache,Unspecified,0.0,1975,LivestockDist,AZApache,0500000US04001
5,AZ,Apache,Unspecified,0.0,1976,LivestockDist,AZApache,0500000US04001
6,AZ,Apache,Unspecified,0.0,1977,LivestockDist,AZApache,0500000US04001
7,AZ,Apache,Unspecified,0.0,1978,LivestockDist,AZApache,0500000US04001
8,AZ,Apache,Unspecified,0.0,1979,LivestockDist,AZApache,0500000US04001
9,AZ,Apache,Unspecified,0.0,1980,LivestockDist,AZApache,0500000US04001
10,AZ,Apache,Unspecified,987.8511423316464,1981,LivestockDist,AZApache,0500000US04001
11,AZ,Apache,Unspecified,987.8511423316464,1982,LivestockDist,AZApache,0500000US04001
12,AZ,Apache,Unspecified,987.8511423316464,1983,LivestockDist,AZApache,0500000US04001
13,AZ,Apache,Unspecified,987.8511423316464,1984,LivestockDist,AZApache,0500000US04001
14,AZ,Apache,Unspecified,987.8511423316464,1985,LivestockDist,AZApache,0500000US04001
15,AZ,Apache,Unspecified,603.633433570698,1986,LivestockDist,AZApache,0500000US04001
16,AZ,Apache,Unspecified,603.633433570698,1987,LivestockDist,AZApache,0500000US04001
17,AZ,Apache,Unspecified,603.633433570698,1988,LivestockDist,AZApache,0500000US04001
18,AZ,Apache,Unspecified,603.633433570698,1989,LivestockDist,AZApache,0500000US04001
19,AZ,Apache,Unspecified,603.633433570698,1990,LivestockDist,AZApache,0500000US04001
20,AZ,Apache,Unspecified,603.633433570698,1991,LivestockDist,AZApache,0500000US04001
21,AZ,Apache,Unspecified,603.633433570698,1992,LivestockDist,AZApache,0500000US04001
22,AZ,Apache,Unspecified,603.633433570698,1993,LivestockDist,AZApache,0500000US04001
23,AZ,Apache,Unspecified,659.0739594358379,1994,LivestockDist,AZApache,0500000US04001
24,AZ,Apache,Unspecified,1161.144867695015,1995,LivestockDist,AZApache,0500000US04001
25,AZ,Apache,Unspecified,181.63265290976778,1996,LivestockDist,AZApache,0500000US04001
26,AZ,Apache,Unspecified,181.63265290976778,1997,LivestockDist,AZApache,0500000US04001
27,AZ,Apache,Unspecified,181.63265290976778,1998,LivestockDist,AZApache,0500000US04001
28,AZ,Apache,Unspecified,183.3186623823154,1999,LivestockDist,AZApache,0500000US04001
29,AZ,Apache,Unspecified,185.62425724549271,2000,LivestockDist,AZApache,0500000US04001
30,AZ,Apache,Unspecified,152.50870232947597,2001,LivestockDist,AZApache,0500000US04001
31,AZ,Apache,Unspecified,152.50870232947597,2002,LivestockDist,AZApache,0500000US04001
32,AZ,Apache,Unspecified,152.50870232947597,2003,LivestockDist,AZApache,0500000US04001
33,AZ,Apache,Unspecified,152.50870232947597,2004,LivestockDist,AZApache,0500000US04001
34,AZ,Apache,Unspecified,152.50870232947597,2005,LivestockDist,AZApache,0500000US04001
35,AZ,Apache,Unspecified,152.50870232947597,2006,LivestockDist,AZApache,0500000US04001
