MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73846.0,Artificial,,,,06/15/2020,,,,,,,,,,2012,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,9067.621,Artificial,,,,06/15/2020,,,,,,,,,,2012,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,74089.0,Artificial,,,,06/15/2020,,,,,,,,,,2013,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,9678.7025,Artificial,,,,06/15/2020,,,,,,,,,,2013,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,74198.0,Artificial,,,,06/15/2020,,,,,,,,,,2014,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,11495.557,Artificial,,,,06/15/2020,,,,,,,,,,2014,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73653.0,Artificial,,,,06/15/2020,,,,,,,,,,2015,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,13687.9645,Artificial,,,,06/15/2020,,,,,,,,,,2015,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73744.0,Artificial,,,,06/15/2020,,,,,,,,,,2016,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,12202.08,Artificial,,,,06/15/2020,,,,,,,,,,2016,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73786.0,Artificial,,,,06/15/2020,,,,,,,,,,2017,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,10559.06,Artificial,,,,06/15/2020,,,,,,,,,,2017,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,6941.5384,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,7177.9804,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,7393.99762,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,7117.653436,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1988,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,7349.716171999998,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1989,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,6421.832952000002,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1990,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,6328.887884000002,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1991,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,6352.031348,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1992,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,6620.3888,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1993,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,6555.5316,Industrial                                        ,,,,06/15/2020,,,,,,,,,,1994,,,
