Basin Code,Inflow/Outflow,Sector,Year,Quantity,Water Type,Component
PHX,Inflow,Natural,1993,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1993,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1993,126837.4933,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1994,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1994,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1994,91411.50928,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1995,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1995,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1995,97735.74763,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1996,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1996,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1996,198746.4573,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1997,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1997,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1997,200485.8178,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1998,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1998,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1998,96341.08224,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1999,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1999,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1999,89675.06899,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2000,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2000,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2000,92784.79612,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2001,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2001,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2001,128795.5738,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2002,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2002,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2002,208426.1525,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2003,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2003,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2003,169681.638,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2004,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2004,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2004,93177.87284,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2005,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2005,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2005,104618.8597,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2006,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2006,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2006,92673.16927,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2007,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2007,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2007,104041.7887,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2008,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2008,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2008,108487.5796,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2009,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2009,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2009,102906.2527,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2010,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2010,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2010,113858.1363,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2011,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2011,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2011,101342.0908,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2012,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2012,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2012,101145.5316,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2013,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2013,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2013,142114.7654,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2014,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2014,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2014,144818.0366,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2015,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2015,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2015,101644.0272,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2016,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2016,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2016,104054.6945,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,2017,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,2017,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,2017,109828.7116,Groundwater                                       ,Streambed Recharge
PHX,Outflow,Agricultural                                      ,1985,647719,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1986,645950,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1987,572866,Groundwater                                       ,Groundwater Demand
PHX,Outflow,Agricultural                                      ,1988,632303,Groundwater                                       ,Groundwater Demand
