WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
DULANEY DITCH-CODWR,DULANEY DITCH-CODWR,,Unspecified,Fresh,,
DUNHAM RESERVOIR-CODWR,DUNHAM RESERVOIR-CODWR,,Unspecified,Fresh,,
HALLOCK SPG & PL-CODWR,HALLOCK SPG & PL-CODWR,,Unspecified,Fresh,,
HALL BROS DITCH-CODWR,HALL BROS DITCH-CODWR,,Unspecified,Fresh,,
HAMIL SPRING-CODWR,HAMIL SPRING-CODWR,,Unspecified,Fresh,,
HAMILTON WELL NO 2-CODWR,HAMILTON WELL NO 2-CODWR,,Unspecified,Fresh,,
HAMILTON DITCH-CODWR,HAMILTON DITCH-CODWR,,Unspecified,Fresh,,
HAMMIT WELL NO  1-CODWR,HAMMIT WELL NO  1-CODWR,,Unspecified,Fresh,,
HAMMIT WELL NO  2-CODWR,HAMMIT WELL NO  2-CODWR,,Unspecified,Fresh,,
HAMMOND NO 1 DITCH-CODWR,HAMMOND NO 1 DITCH-CODWR,,Unspecified,Fresh,,
HANAGAN WELL NO 5-CODWR,HANAGAN WELL NO 5-CODWR,,Unspecified,Fresh,,
HAMOR DITCH-CODWR,HAMOR DITCH-CODWR,,Unspecified,Fresh,,
HAMPTON #3 POND-CODWR,HAMPTON #3 POND-CODWR,,Unspecified,Fresh,,
HANCOCK DITCH-CODWR,HANCOCK DITCH-CODWR,,Unspecified,Fresh,,
GUNNISON WELL NO 2-CODWR,GUNNISON WELL NO 2-CODWR,,Unspecified,Fresh,,
HANNA RANCH WELL NO 10-CODWR,HANNA RANCH WELL NO 10-CODWR,,Unspecified,Fresh,,
HANNA RANCHES WELL 2256F-CODWR,HANNA RANCHES WELL 2256F-CODWR,,Unspecified,Fresh,,
HANNENKRATT DITCH-CODWR,HANNENKRATT DITCH-CODWR,,Unspecified,Fresh,,
HANNA RANCH WELL NO 11-CODWR,HANNA RANCH WELL NO 11-CODWR,,Unspecified,Fresh,,
HANS CLAUSON D NO 1-CODWR,HANS CLAUSON D NO 1-CODWR,,Unspecified,Fresh,,
HARDTAIL 21-5-CODWR,HARDTAIL 21-5-CODWR,,Unspecified,Fresh,,
HARLEE L 34-9-CODWR,HARLEE L 34-9-CODWR,,Unspecified,Fresh,,
HARE DRAINAGE D NO 1&2 AP#2-CODWR,HARE DRAINAGE D NO 1&2 AP#2-CODWR,,Unspecified,Fresh,,
HARMON POND-CODWR,HARMON POND-CODWR,,Unspecified,Fresh,,
HARMONY 1 KUSKIE RCHRG A-CODWR,HARMONY 1 KUSKIE RCHRG A-CODWR,,Unspecified,Fresh,,
HARNEY DITCH-CODWR,HARNEY DITCH-CODWR,,Unspecified,Fresh,,
HARDIN WELL NO 12073-CODWR,HARDIN WELL NO 12073-CODWR,,Unspecified,Fresh,,
HARPMAN WELL NO 2-CODWR,HARPMAN WELL NO 2-CODWR,,Unspecified,Fresh,,
HAIN RESERVOIR #3-CODWR,HAIN RESERVOIR #3-CODWR,,Unspecified,Fresh,,
HALLOWAY WELL NO 1-CODWR,HALLOWAY WELL NO 1-CODWR,,Unspecified,Fresh,,
HART PIPELINE & PUMP STA-CODWR,HART PIPELINE & PUMP STA-CODWR,,Unspecified,Fresh,,
HARMONY 1 L LEACHMAN RCHRG A-CODWR,HARMONY 1 L LEACHMAN RCHRG A-CODWR,,Unspecified,Fresh,,
HARTLAND DEPLETION REACH-CODWR,HARTLAND DEPLETION REACH-CODWR,,Unspecified,Fresh,,
HARMS WELL-CODWR,HARMS WELL-CODWR,,Unspecified,Fresh,,
HARRIS STOCKWATER DIVR-CODWR,HARRIS STOCKWATER DIVR-CODWR,,Unspecified,Fresh,,
HARRIS PIPELINE-CODWR,HARRIS PIPELINE-CODWR,,Unspecified,Fresh,,
HARRY BUNTE DITCH ENLARGEMENT-CODWR,HARRY BUNTE DITCH ENLARGEMENT-CODWR,,Unspecified,Fresh,,
HART WELL NO 2-CODWR,HART WELL NO 2-CODWR,,Unspecified,Fresh,,
HARRIS SEEP DITCH-CODWR,HARRIS SEEP DITCH-CODWR,,Unspecified,Fresh,,
HARTLEY DITCH-CODWR,HARTLEY DITCH-CODWR,,Unspecified,Fresh,,
HART'S PUMP-CODWR,HART'S PUMP-CODWR,,Unspecified,Fresh,,
HARVARD D (COTTONWD CRK)-CODWR,HARVARD D (COTTONWD CRK)-CODWR,,Unspecified,Fresh,,
HARVEY WELL 1-517-CODWR,HARVEY WELL 1-517-CODWR,,Unspecified,Fresh,,
HAT ROCK RANCH PUMP 1-CODWR,HAT ROCK RANCH PUMP 1-CODWR,,Unspecified,Fresh,,
HASSLER-BATES WELL NO  2-CODWR,HASSLER-BATES WELL NO  2-CODWR,,Unspecified,Fresh,,
HAMLIN DITCH NO 5-CODWR,HAMLIN DITCH NO 5-CODWR,,Unspecified,Fresh,,
HASSLER-BATES WELL NO  5-CODWR,HASSLER-BATES WELL NO  5-CODWR,,Unspecified,Fresh,,
HASSLER-BATES WELL NO  4-CODWR,HASSLER-BATES WELL NO  4-CODWR,,Unspecified,Fresh,,
HATTON WELL NO 2-CODWR,HATTON WELL NO 2-CODWR,,Unspecified,Fresh,,
"HAY GULCH DITCH 1,2-CODWR","HAY GULCH DITCH 1,2-CODWR",,Unspecified,Fresh,,
HAWXHURST SMALLEY DITCH-CODWR,HAWXHURST SMALLEY DITCH-CODWR,,Unspecified,Fresh,,
HAYDEN RESERVOIR #1-CODWR,HAYDEN RESERVOIR #1-CODWR,,Unspecified,Fresh,,
HAWKINS DOM PL NO 2-CODWR,HAWKINS DOM PL NO 2-CODWR,,Unspecified,Fresh,,
HAY PRESS PARK RES-CODWR,HAY PRESS PARK RES-CODWR,,Unspecified,Fresh,,
LAS ANIMAS GOLF WELL-CODWR,LAS ANIMAS GOLF WELL-CODWR,,Unspecified,Fresh,,
LEANDRO DURAN & MARTINEZ-CODWR,LEANDRO DURAN & MARTINEZ-CODWR,,Unspecified,Fresh,,
LAURENCE RANCH WELL FIELD 1-5-CODWR,LAURENCE RANCH WELL FIELD 1-5-CODWR,,Unspecified,Fresh,,
LATHAM DITCH-CODWR,LATHAM DITCH-CODWR,,Unspecified,Fresh,,
LAURENCE DITCH-CODWR,LAURENCE DITCH-CODWR,,Unspecified,Fresh,,
LAZY LIZARD 11-4-CODWR,LAZY LIZARD 11-4-CODWR,,Unspecified,Fresh,,
LAWSON SPRING NO 2-CODWR,LAWSON SPRING NO 2-CODWR,,Unspecified,Fresh,,
LE MITA D 1-CODWR,LE MITA D 1-CODWR,,Unspecified,Fresh,,
LAY DITCH-CODWR,LAY DITCH-CODWR,,Unspecified,Fresh,,
LEBSACK FEED W 10-5852-CODWR,LEBSACK FEED W 10-5852-CODWR,,Unspecified,Fresh,,
KRENZKE DITCH NO 2-CODWR,KRENZKE DITCH NO 2-CODWR,,Unspecified,Fresh,,
LECHMAN RICK RECHARGE AREA-CODWR,LECHMAN RICK RECHARGE AREA-CODWR,,Unspecified,Fresh,,
LECHMAN WELL 1-6951-CODWR,LECHMAN WELL 1-6951-CODWR,,Unspecified,Fresh,,
LEE 41-21V-CODWR,LEE 41-21V-CODWR,,Unspecified,Fresh,,
LEMON PMP & PL NO 1-CODWR,LEMON PMP & PL NO 1-CODWR,,Unspecified,Fresh,,
LEGARD DITCH NO 10-CODWR,LEGARD DITCH NO 10-CODWR,,Unspecified,Fresh,,
LELAND HILL WW POND-CODWR,LELAND HILL WW POND-CODWR,,Unspecified,Fresh,,
LEONARD SPG-CODWR,LEONARD SPG-CODWR,,Unspecified,Fresh,,
LENNOX DITCH-HARRIS ALT DIVERSION-CODWR,LENNOX DITCH-HARRIS ALT DIVERSION-CODWR,,Unspecified,Fresh,,
LEMON DOMESTIC PL-CODWR,LEMON DOMESTIC PL-CODWR,,Unspecified,Fresh,,
