PODSiteUUID,POUSiteUUID,StartDate,EndDate
UTwr_S15096,UTwr_S461589,01/01/2021,12/31/2021
UTwr_S15096,UTwr_S461588,01/01/2021,12/31/2021
UTwr_S17574,UTwr_S457144,01/01/2021,12/31/2021
UTwr_S58323,UTwr_S457351,01/01/2021,12/31/2021
UTwr_S58551,UTwr_S461592,01/01/2021,12/31/2021
UTwr_S17582,UTwr_S457513,01/01/2021,12/31/2021
UTwr_S17582,UTwr_S457514,01/01/2021,12/31/2021
UTwr_S17583,UTwr_S457513,01/01/2021,12/31/2021
UTwr_S17583,UTwr_S457514,01/01/2021,12/31/2021
UTwr_S58373,UTwr_S462806,01/01/2021,12/31/2021
UTwr_S58372,UTwr_S462806,01/01/2021,12/31/2021
UTwr_S58371,UTwr_S462806,01/01/2021,12/31/2021
UTwr_S58619,UTwr_S457337,01/01/2021,12/31/2021
UTwr_S58619,UTwr_S457338,01/01/2021,12/31/2021
UTwr_S58619,UTwr_S457339,01/01/2021,12/31/2021
UTwr_S58744,UTwr_S457510,01/01/2021,12/31/2021
UTwr_S58752,UTwr_S457382,01/01/2021,12/31/2021
UTwr_S59085,UTwr_S457509,01/01/2021,12/31/2021
UTwr_S59087,UTwr_S457340,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457504,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457507,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457502,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457500,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457499,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457495,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457503,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457501,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457498,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457505,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457496,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457494,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457508,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457497,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457506,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457492,01/01/2021,12/31/2021
UTwr_S17628,UTwr_S457493,01/01/2021,12/31/2021
UTwr_S17641,UTwr_S462810,01/01/2021,12/31/2021
UTwr_S17641,UTwr_S462920,01/01/2021,12/31/2021
UTwr_S17641,UTwr_S462921,01/01/2021,12/31/2021
UTwr_S17641,UTwr_S462918,01/01/2021,12/31/2021
UTwr_S17641,UTwr_S462922,01/01/2021,12/31/2021
UTwr_S17641,UTwr_S462919,01/01/2021,12/31/2021
UTwr_S17641,UTwr_S462931,01/01/2021,12/31/2021
UTwr_S17640,UTwr_S462810,01/01/2021,12/31/2021
UTwr_S17640,UTwr_S462920,01/01/2021,12/31/2021
UTwr_S17640,UTwr_S462921,01/01/2021,12/31/2021
UTwr_S17640,UTwr_S462918,01/01/2021,12/31/2021
UTwr_S17640,UTwr_S462922,01/01/2021,12/31/2021
UTwr_S17640,UTwr_S462919,01/01/2021,12/31/2021
UTwr_S17640,UTwr_S462931,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463120,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463108,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463135,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463132,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463134,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463171,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S383760,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S462757,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S462753,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463119,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463173,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463082,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463085,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463172,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S383759,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463109,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463112,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S383758,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463136,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463105,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463084,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463086,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463106,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463133,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S462752,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463118,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463170,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463116,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463083,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463110,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S462751,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463103,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S462754,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S383757,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463104,01/01/2021,12/31/2021
UTwr_S57816,UTwr_S463117,01/01/2021,12/31/2021
