,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,GNISCodeCV,Geometry,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,ReasonRemoved,SiteName,SiteNativeID,SitePoint,SiteTypeCV,SiteUUID,StateCV,USGSSiteID,index
107,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610738.0,,unknown,WA_16034,WA,,16033.0
108,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610739.0,,unknown,WA_16035,WA,,16034.0
109,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380073.0,,unknown,WA_16060,WA,,16059.0
110,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380097.0,,unknown,WA_16070,WA,,16069.0
111,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380119.0,,unknown,WA_16072,WA,,16071.0
112,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620979.0,,unknown,WA_16152,WA,,16151.0
113,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620980.0,,unknown,WA_16153,WA,,16152.0
114,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620981.0,,unknown,WA_16156,WA,,16155.0
115,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620987.0,,unknown,WA_16163,WA,,16162.0
116,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380004.0,,unknown,WA_16171,WA,,16170.0
117,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380005.0,,unknown,WA_16173,WA,,16172.0
118,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380006.0,,unknown,WA_16175,WA,,16174.0
119,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380008.0,,unknown,WA_16177,WA,,16176.0
120,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380007.0,,unknown,WA_16179,WA,,16178.0
121,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380002.0,,unknown,WA_16191,WA,,16190.0
122,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610395.0,,unknown,WA_16339,WA,,16338.0
123,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,395083.0,,unknown,WA_16409,WA,,16408.0
124,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,395082.0,,unknown,WA_16411,WA,,16410.0
125,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,621486.0,,unknown,WA_16470,WA,,16469.0
126,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,621309.0,,unknown,WA_16698,WA,,16697.0
127,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,395739.0,,unknown,WA_16984,WA,,16983.0
128,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,621305.0,,unknown,WA_17268,WA,,17267.0
129,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,396790.0,,unknown,WA_17334,WA,,17333.0
130,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,396808.0,,unknown,WA_17345,WA,,17344.0
131,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380308.0,,unknown,WA_17430,WA,,17429.0
132,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380341.0,,unknown,WA_17451,WA,,17450.0
133,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380342.0,,unknown,WA_17453,WA,,17452.0
134,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380343.0,,unknown,WA_17455,WA,,17454.0
135,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380345.0,,unknown,WA_17458,WA,,17457.0
136,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380346.0,,unknown,WA_17460,WA,,17459.0
137,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380347.0,,unknown,WA_17462,WA,,17461.0
138,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380355.0,,unknown,WA_17490,WA,,17489.0
139,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380359.0,,unknown,WA_17492,WA,,17491.0
140,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,380276.0,,unknown,WA_17497,WA,,17496.0
141,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,397090.0,,unknown,WA_17863,WA,,17862.0
142,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,398173.0,,unknown,WA_17906,WA,,17905.0
143,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,398174.0,,unknown,WA_17907,WA,,17906.0
144,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,398175.0,,unknown,WA_17908,WA,,17907.0
145,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,398176.0,,unknown,WA_17909,WA,,17908.0
146,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,644760.0,,unknown,WA_18037,WA,,18036.0
147,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,383348.0,,unknown,WA_18218,WA,,18217.0
148,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,492918.0,,unknown,WA_18699,WA,,18698.0
149,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,330504.0,,unknown,WA_19364,WA,,19363.0
150,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,330505.0,,unknown,WA_19366,WA,,19365.0
151,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,330530.0,,unknown,WA_19408,WA,,19407.0
152,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,645497.0,,unknown,WA_21048,WA,,21047.0
153,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,493368.0,,unknown,WA_21631,WA,,21630.0
154,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,644749.0,,unknown,WA_22858,WA,,22857.0
155,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,132147.0,,unknown,WA_26102,WA,,26101.0
156,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,267158.0,,unknown,WA_33620,WA,,33619.0
157,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,621553.0,,unknown,WA_33863,WA,,33862.0
158,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,658651.0,,unknown,WA_45090,WA,,45089.0
159,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,395098.0,,unknown,WA_47044,WA,,47043.0
160,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,330524.0,,unknown,WA_47340,WA,,47339.0
161,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,400554.0,,unknown,WA_50633,WA,,50632.0
162,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,400555.0,,unknown,WA_50634,WA,,50633.0
163,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,339245.0,,unknown,WA_50828,WA,,50827.0
164,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,276090.0,,unknown,WA_53111,WA,,53110.0
165,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,333823.0,,unknown,WA_55163,WA,,55162.0
166,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,660805.0,,unknown,WA_60956,WA,,60955.0
167,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,nan,,unknown,WA_64352,WA,,64351.0
168,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,102028.0,,unknown,WA_64358,WA,,64357.0
169,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,132146.0,,unknown,WA_64359,WA,,64358.0
170,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,265199.0,,unknown,WA_64360,WA,,64359.0
171,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,517730.0,,unknown,WA_64361,WA,,64360.0
172,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,134972.0,,unknown,WA_64362,WA,,64361.0
173,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,111449.0,,unknown,WA_64363,WA,,64362.0
174,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,524845.0,,unknown,WA_64364,WA,,64363.0
175,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,524846.0,,unknown,WA_64365,WA,,64364.0
176,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,524911.0,,unknown,WA_64366,WA,,64365.0
177,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,524916.0,,unknown,WA_64367,WA,,64366.0
178,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,524917.0,,unknown,WA_64368,WA,,64367.0
179,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,524918.0,,unknown,WA_64369,WA,,64368.0
180,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,524924.0,,unknown,WA_64370,WA,,64369.0
181,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,524925.0,,unknown,WA_64371,WA,,64370.0
182,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,524997.0,,unknown,WA_64372,WA,,64371.0
183,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,525026.0,,unknown,WA_64373,WA,,64372.0
184,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,525032.0,,unknown,WA_64374,WA,,64373.0
185,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,141868.0,,unknown,WA_64375,WA,,64374.0
