SiteUUID,PODorPOUSite,Longitude,Latitude
OKwr_S10328,POD,-98.61795325,35.610521
OKwr_S10329,POD,-98.03217222,35.57829156
OKwr_S1033,POD,-99.199177,34.4710025
OKwr_S10330,POD,-99.30286507,35.6377869
OKwr_S10331,POD,-99.5815735,35.6217385
OKwr_S10332,POD,-98.09559937,35.63560247
OKwr_S10333,POD,-99.01879906,35.56512878
OKwr_S10334,POD,-99.01657756,35.56513022
OKwr_S10335,POD,-99.0165895,35.5561035
OKwr_S10336,POD,-98.81480775,35.6103745
OKwr_S10337,POD,-98.6464415,35.5561085
OKwr_S10338,POD,-98.01023034,35.591262
OKwr_S10339,POD,-98.0988263,35.62567058
OKwr_S1034,POD,-97.513229,34.42971991
OKwr_S10340,POD,-98.68647638,35.63026326
OKwr_S10340,POD,-98.68647638,35.63026326
OKwr_S10341,POD,-97.33288244,35.66622422
OKwr_S10342,POD,-98.0700888,35.59292478
OKwr_S10343,POD,-98.08673137,35.59024631
OKwr_S10344,POD,-97.5462965,35.7010205
OKwr_S10345,POD,-97.54184658,35.69920264
OKwr_S10346,POD,-99.493153,35.5889285
OKwr_S10347,POD,-97.94683866,35.56857663
OKwr_S10348,POD,-98.00922797,35.58122974
OKwr_S10348,POD,-98.00922797,35.58122974
OKwr_S10349,POD,-98.00922841,35.583042
OKwr_S1035,POD,-99.194788,34.4601415
OKwr_S10350,POD,-99.12433247,35.59155476
OKwr_S10351,POD,-99.12432044,35.58430764
OKwr_S10352,POD,-98.44403099,35.55690365
OKwr_S10353,POD,-97.37720813,35.66638651
OKwr_S10354,POD,-97.49734345,35.71923247
OKwr_S10355,POD,-97.48832892,35.71726907
OKwr_S10356,POD,-97.51076359,35.7138305
OKwr_S10357,POD,-99.03433067,35.59787921
OKwr_S10358,POD,-98.981241,35.5778785
OKwr_S10359,POD,-99.6770797,35.59805516
OKwr_S1036,POD,-99.20132526,34.46012911
OKwr_S1036,POD,-99.20132526,34.46012911
OKwr_S10360,POD,-99.79225608,35.62722606
OKwr_S10361,POD,-99.17437692,35.55254798
OKwr_S10362,POD,-99.17659863,35.55796054
OKwr_S10363,POD,-99.17437718,35.55434897
OKwr_S10364,POD,-99.577354,35.5764055
OKwr_S10365,POD,-99.67347567,35.6207561
OKwr_S10366,POD,-99.67120209,35.62809624
OKwr_S10367,POD,-98.68863813,35.55784067
OKwr_S10368,POD,-98.07345038,35.6029206
OKwr_S10369,POD,-97.47716255,35.68266819
OKwr_S1037,POD,-99.76825031,34.53534947
OKwr_S10370,POD,-98.73307887,35.57414754
OKwr_S10371,POD,-95.13036048,35.5969929
OKwr_S10372,POD,-99.91413802,35.58040695
OKwr_S10373,POD,-99.914133,35.5750105
OKwr_S10374,POD,-99.92525057,35.5750147
OKwr_S10375,POD,-99.918571,35.5768175
OKwr_S10376,POD,-99.67693811,35.60897743
OKwr_S10377,POD,-98.66316913,35.62034869
OKwr_S10378,POD,-98.98235725,35.62045685
OKwr_S10379,POD,-99.39925389,35.61342703
OKwr_S1038,POD,-98.63469412,34.48861947
OKwr_S1038,POD,-98.63469412,34.48861947
OKwr_S10380,POD,-98.84935143,35.62040303
OKwr_S10381,POD,-98.84713337,35.6222075
OKwr_S10382,POD,-97.940139,35.57039772
OKwr_S10383,POD,-97.92241425,35.55587628
OKwr_S10384,POD,-97.92242621,35.55407073
OKwr_S10385,POD,-97.40620131,35.72264058
OKwr_S10386,POD,-98.08791667,35.6057594
OKwr_S10387,POD,-98.08792593,35.61305857
OKwr_S10388,POD,-98.07899191,35.62752258
OKwr_S10389,POD,-98.084428,35.579382
OKwr_S1039,POD,-98.63907855,34.49221052
OKwr_S1039,POD,-98.63907855,34.49221052
OKwr_S10390,POD,-97.5462335,35.6919005
OKwr_S10391,POD,-97.5440085,35.6900935
OKwr_S10392,POD,-97.5440085,35.6919005
OKwr_S10393,POD,-98.09671698,35.61303666
OKwr_S10394,POD,-98.87805121,35.56962532
OKwr_S10395,POD,-98.88445569,35.56953178
OKwr_S10396,POD,-98.90231453,35.56954297
OKwr_S10397,POD,-98.94670921,35.57705354
OKwr_S10398,POD,-98.9201607,35.56239128
OKwr_S10399,POD,-98.92021718,35.55513546
OKwr_S104,POD,-102.91133585,36.51879346
OKwr_S1040,POD,-98.63906762,34.48861947
OKwr_S1040,POD,-98.63906762,34.48861947
OKwr_S10400,POD,-98.88449546,35.56410564
OKwr_S10401,POD,-98.99130326,35.57694839
OKwr_S10402,POD,-99.12433201,35.56972901
OKwr_S10403,POD,-99.18092915,35.59794206
OKwr_S10404,POD,-99.18645881,35.61504096
OKwr_S10405,POD,-99.19542233,35.59156838
OKwr_S10406,POD,-99.17873405,35.608737
OKwr_S10407,POD,-98.1564098,35.62919567
OKwr_S10408,POD,-99.68138139,35.61251397
OKwr_S10409,POD,-98.95892687,35.63583747
OKwr_S1041,POD,-98.62812813,34.48679597
OKwr_S1041,POD,-98.62812813,34.48679597
OKwr_S10410,POD,-98.96556058,35.63769615
OKwr_S10411,POD,-99.7969235,35.5711335
OKwr_S10412,POD,-97.489447,35.72265451
OKwr_S10413,POD,-97.48944694,35.71994403
OKwr_S10414,POD,-97.49504666,35.72450671
OKwr_S10415,POD,-97.49505702,35.71993965
