index,SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
102,NDwr_S101,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.9433,-103.00326,,,POD,Unspecified,15209632BC,,Surface Water,ND,
103,NDwr_S102,,NDwr_WS2,,Unspecified,Wells,4326,,,,,47.46285,-99.40733,,,POD,Unspecified,14606913CA,,Surface Water,ND,
104,NDwr_S103,,NDwr_WS2,,Unspecified,Divide,4326,,,,,48.98508,-103.30677,,,POD,Unspecified,16409732C,,Surface Water,ND,
105,NDwr_S104,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.00186,-104.00402,,,POD,Unspecified,15210409BD,,Surface Water,ND,
106,NDwr_S105,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.79241,-104.03435,,,POD,Unspecified,15010419DD,,Surface Water,ND,
107,NDwr_S106,,NDwr_WS14,,Unspecified,McKenzie,4326,,,,,47.96948,-103.86987,,,POD,Unspecified,15210321DB,,Surface Water,ND,
108,NDwr_S107,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.16732,-104.03909,,,POD,Unspecified,15410415AB,,Surface Water,ND,
109,NDwr_S108,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.16731,-104.03664,,,POD,Unspecified,15410415AA,,Surface Water,ND,
110,NDwr_S109,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.16731,-104.03269,,,POD,Unspecified,15410414BB,,Surface Water,ND,
111,NDwr_S110,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.74897,-104.03446,,,POD,Unspecified,14910406DD,,Surface Water,ND,
112,NDwr_S111,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.75975,-104.03053,,,POD,Unspecified,14910405BB,,Surface Water,ND,
