OrganizationID,ReportingUnitNativeID,ReportingUnitName,ReportingUnitTypeCV,VariableCV,VariableSpecificCV,BeneficialUseCategory,USGSCategoryCV,WaterSourceID,MethodName,ReportYearCV,TimeframeStart,TimeframeEnd,InterbasinTransferFromID,InterbasinTransferToID,Amount,PopulationServed,IrrigatedAcreage,PowerGeneratedGWh,NAICSCodeCV,Geometry,State
UTDWRE,49043,Summit,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,48108.44,,,,111000,,Utah
UTDWRE,49009,Daggett,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2007,10/1/2007,9/30/2008,,,11730.73,,,,111000,,Utah
UTDWRE,49039,SanPete,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2005,10/1/2005,9/30/2006,,,147872.18,,,,111000,,Utah
UTDWRE,49001,Beaver,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2007,10/1/2007,9/30/2008,,,66542.83,,,,111000,,Utah
UTDWRE,49017,Garfield,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,46056.85,,,,111000,,Utah
UTDWRE,49053,Washington,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2013,10/1/2013,9/30/2014,,,32193.07,,,,111000,,Utah
UTDWRE,49021,Iron,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2013,10/1/2013,9/30/2014,,,131843.08,,,,111000,,Utah
UTDWRE,49025,Kane,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,11360.44,,,,111000,,Utah
UTDWRE,49037,San Juan,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2007,10/1/2007,9/30/2008,,,19047.29,,,,111000,,Utah
UTDWRE,49047,Uintah,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2009,10/1/2009,9/30/2010,,,184184.98,,,,111000,,Utah
UTDWRE,49005,Cache,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2013,10/1/2013,9/30/2014,,,91307.91,,,,111000,,Utah
UTDWRE,49053,Washington,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2005,10/1/2005,9/30/2006,,,38725.36,,,,111000,,Utah
UTDWRE,49001,Beaver,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2013,10/1/2013,9/30/2014,,,69260.63,,,,111000,,Utah
UTDWRE,49025,Kane,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,11537.93,,,,111000,,Utah
UTDWRE,49035,Salt Lake,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,26933.31,,,,111000,,Utah
UTDWRE,49013,Duchesne,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2017,10/1/2017,9/30/2018,,,256678.53,,,,111000,,Utah
UTDWRE,49031,Piute,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2005,10/1/2005,9/30/2006,,,31929.72,,,,111000,,Utah
UTDWRE,49007,Carbon,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2007,10/1/2007,9/30/2008,,,32266.63,,,,111000,,Utah
UTDWRE,49005,Cache,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2007,10/1/2007,9/30/2008,,,97122.26,,,,111000,,Utah
