SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AKwr_S498,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,EAST HARRISON BAY,,,other,AK,,Bad Latitude,497.0
AKwr_S499,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,"Lakes K201, K301, K309",,,lake,AK,,Bad Latitude,498.0
AKwr_S500,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M9524,,,lake,AK,,Bad Latitude,499.0
AKwr_S501,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Kuparuk Impoundments,,,lake,AK,,Bad Latitude,500.0
AKwr_S502,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,D-Pit Water,,,lake,AK,,Bad Latitude,501.0
AKwr_S503,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,"L9307, L9806, L9807, L9308, N7709",,,lake,AK,,Bad Latitude,502.0
AKwr_S504,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9309,,,lake,AK,,Bad Latitude,503.0
AKwr_S505,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Three Lakes at MPU Road,,,lake,AK,,Bad Latitude,504.0
AKwr_S511,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,#21 through #25,,,lake,AK,,Bad Latitude,510.0
AKwr_S518,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,#5 thru #9,,,lake,AK,,Bad Latitude,517.0
AKwr_S524,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,#10 thru #14,,,lake,AK,,Bad Latitude,523.0
AKwr_S530,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,5 Lakes,,,lake,AK,,Bad Latitude,529.0
AKwr_S546,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,3 Lakes & 2 Ponds,,,lake,AK,,Bad Latitude,545.0
AKwr_S552,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,5 sources,,,lake,AK,,Bad Latitude,551.0
AKwr_S564,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M9933,,,well,AK,,Bad Latitude,563.0
AKwr_S567,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Small Ponds Adjacent to W Pad Access Road,,,lake,AK,,Bad Latitude,566.0
AKwr_S569,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,BRU 212-35,,,well,AK,,Bad Latitude,568.0
AKwr_S570,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Milne Point Mine Site,,,well,AK,,Bad Latitude,569.0
AKwr_S573,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,"B8530, L9324, M9607, B8351, L9323",,,lake,AK,,Bad Latitude,572.0
