SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
UTSS_S293,,Unspecified,Morgan,EPSG:4326,,,,,40.99532489,-111.7218208,,,Taggart Hollow Springs (WS001),13800001,,Spring,UT,
UTSS_S294,,Unspecified,Cache,EPSG:4326,,,,,41.97419358,-111.7670223,,,Hy Bair Spring,13810001,,Spring,UT,
UTSS_S295,,Unspecified,Cache,EPSG:4326,,,,,41.97311669,-111.79036709999998,,,Goaslind Spring (WS001),13810002,,Spring,UT,
UTSS_S296,,Unspecified,Garfield,EPSG:4326,,,,,38.10866686,-112.0061259,,,Pole Canyon Spring (WS001),13820001,,Spring,UT,
UTSS_S297,,Unspecified,Garfield,EPSG:4326,,,,,38.09488287,-111.935172,,,East Bench Spring (WS002),13820002,,Spring,UT,
UTSS_S298,,Unspecified,Summit,EPSG:4326,,,,,40.68446821,-111.5808486,,,Wagon Trail Well No. 2,13920006,,Well,UT,
UTSS_S299,,Unspecified,Summit,EPSG:4326,,,,,40.69793423,-111.5382357,,,Willow Creek,13920001,,Stream,UT,
UTSS_S300,,Unspecified,Summit,EPSG:4326,,,,,40.68994688,-111.5690019,,,Gulch Well No. 1,13920004,,Well,UT,
UTSS_S301,,Unspecified,Summit,EPSG:4326,,,,,40.73836608,-111.4914561,,,District Well (WS001),13970001,,Well,UT,
UTSS_S302,,Unspecified,Wasatch,EPSG:4326,,,,,40.57407876,-111.24976540000002,,,Mountain Well (WS002),13990003,,Well,UT,
UTSS_S303,,Unspecified,Utah,EPSG:4326,,,,,40.01476488,-111.6352416,,,Maple Canyon (Salem Well) (WS005),14050002,,Well,UT,
UTSS_S304,,Unspecified,Kane,EPSG:4326,,,,,37.47879173,-112.6172455,,,Well,14080001,,Well,UT,
UTSS_S305,,Unspecified,Kane,EPSG:4326,,,,,37.47062496,-112.6125586,,,Harris Spring,14080003,,Spring,UT,
UTSS_S306,,Unspecified,Salt Lake,EPSG:4326,,,,,40.43606209,-111.9317987,,,Beef Hollow Spring (WS008),14100001,,Spring,UT,
UTSS_S307,,Unspecified,Salt Lake,EPSG:4326,,,,,40.4575894,-111.9293586,,,Hidden Valley Springs Group (7959),14100002,,Spring,UT,
UTSS_S308,,Unspecified,Cache,EPSG:4326,,,,,41.63427032,-111.8125906,,,Spring Area (WS001),14110001,,Spring,UT,
