in_SiteNativeID,geometry
POUWaDEOK_S36,"POLYGON ((-99.85947341186204 34.6526199339692, -99.85937741119638 34.63800393150823, -99.87684441571331 34.6380449306438, -99.87688441570695 34.65258993292162, -99.85947341186204 34.6526199339692))"
POUWaDEOK_S37,"POLYGON ((-99.78897539170585 34.60881892955999, -99.78892039212111 34.62327693268565, -99.77142538867969 34.62321993333126, -99.77141938770676 34.60876393054821, -99.78897539170585 34.60881892955999))"
POUWaDEOK_S38,"POLYGON ((-99.78897539170585 34.60881892955999, -99.80654839568474 34.60887192884719, -99.80658539713204 34.62337093164989, -99.78892039212111 34.62327693268565, -99.78897539170585 34.60881892955999))"
POUWaDEOK_S39,"POLYGON ((-99.89438442094043 34.6524789321193, -99.91206142488309 34.65250293139202, -99.91204142613927 34.66696193429215, -99.89442142193222 34.6669999351315, -99.89438442094043 34.6524789321193))"
POUWaDEOK_S40,"POLYGON ((-99.89434641968154 34.63795892945166, -99.91201642422057 34.63799692876773, -99.91206142488309 34.65250293139202, -99.89438442094043 34.6524789321193, -99.89434641968154 34.63795892945166))"
POUWaDEOK_S41,"POLYGON ((-99.91204142613927 34.66696193429215, -99.92974743036075 34.66700693331092, -99.92997943182053 34.68175493524918, -99.91216742672063 34.68174093612607, -99.91204142613927 34.66696193429215))"
POUWaDEOK_S42,"POLYGON ((-99.92974743036075 34.66700693331092, -99.94735043493419 34.66715793204381, -99.94761143563423 34.68177893485447, -99.92997943182053 34.68175493524918, -99.92974743036075 34.66700693331092))"
POUWaDEOK_S43,"POLYGON ((-99.94735043493419 34.66715793204381, -99.96505143850209 34.66722693099851, -99.96518043996286 34.68184593376348, -99.94761143563423 34.68177893485447, -99.94735043493419 34.66715793204381))"
POUWaDEOK_S44,"POLYGON ((-99.94730343326849 34.6526129295549, -99.96491343801793 34.6526839287403, -99.96505143850209 34.66722693099851, -99.94735043493419 34.66715793204381, -99.94730343326849 34.6526129295549))"
POUWaDEOK_S45,"POLYGON ((-97.633487347944 34.50895451850512, -97.63350984874894 34.50715401785362, -97.63482186965955 34.50714628279538, -97.64886082971374 34.5070978122186, -97.65004885233759 34.50709001740641, -97.65108685293369 34.50711601743673, -97.65100285438348 34.52168301998535, -97.63333184971033 34.52164402092468, -97.633487347944 34.50895451850512))"
