OID_,SensorCode,SensorID,SensorLabel,Comment,Description,isPublished,LocationName,LocationCode,LocationID,SubLocationCode,TimeSeriesType,Parameter,UnitOfMeasure,UtcOffset,ComputationMethod,ComputationPeriod,LastModifiedTime,ExtendedAttributeValues,ParameterLabel
212,Discharge.Daily Average@41D 07900,d61c65d27ece43e7842774596d7a125c,Daily Average,,,1,Wise River nr mouth,41D 07900,a61e9c1d12b44ee2a7abb8e0020e25a0,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/4/2021 16:56:32,[],Discharge
213,Discharge.discharge@41D 07900,977102eda5fe4c0794f59bc236480d56,discharge,,,1,Wise River nr mouth,41D 07900,a61e9c1d12b44ee2a7abb8e0020e25a0,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:04,[],Discharge
214,Water Temp.water temp@41D 07900,33efcd9805514637a810f1d87bc71616,water temp,,,1,Wise River nr mouth,41D 07900,a61e9c1d12b44ee2a7abb8e0020e25a0,,ProcessorBasic,TW,degC,-PT7H,Unknown,Unknown,2/4/2021 16:56:41,[],Water Temp
215,Stage.working@41D 07900,2bba5b4b7c1d425d982820b37c4ed3e0,working,,Real-Time Data,1,Wise River nr mouth,41D 07900,a61e9c1d12b44ee2a7abb8e0020e25a0,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/9/2021 21:25:14,[],Stage
216,Stage.Daily Average@41I 03500,8aad5c7cd39c47d8be3d83c37b97b7d3,Daily Average,,,1,"Deep Creek near Townsend, MT",41I 03500,49345f90cbf241d290a36b66bf308e44,,ProcessorDerived,HG,ft,-PT7H,Mean,Daily,2/12/2021 21:17:38,[],Stage
217,Discharge.Daily Average@41I 03500,5afa3d158f424af5bd0a477f2d3c0a20,Daily Average,,,1,"Deep Creek near Townsend, MT",41I 03500,49345f90cbf241d290a36b66bf308e44,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/4/2021 17:08:24,[],Discharge
218,Water Temp.Daily Average@41I 03500,b899e73346b446379bed2ee73a7f7d11,Daily Average,,,1,"Deep Creek near Townsend, MT",41I 03500,49345f90cbf241d290a36b66bf308e44,,ProcessorDerived,TW,degC,-PT7H,Mean,Daily,2/12/2021 21:18:30,[],Water Temp
219,Discharge.discharge@41I 03500,c7fa360046aa4acea374a93d00916409,discharge,,,1,"Deep Creek near Townsend, MT",41I 03500,49345f90cbf241d290a36b66bf308e44,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 17:08:33,[],Discharge
220,Water Temp.water temp@41I 03500,b9f794b7aef143108e94de44e0a78dd1,water temp,,,1,"Deep Creek near Townsend, MT",41I 03500,49345f90cbf241d290a36b66bf308e44,,ProcessorBasic,TW,degC,-PT7H,Unknown,Unknown,2/4/2021 17:08:47,[],Water Temp
221,Stage.working@41I 03500,e7daf1e40a904def992a7fd280ce420e,working,,,1,"Deep Creek near Townsend, MT",41I 03500,49345f90cbf241d290a36b66bf308e44,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/4/2021 17:08:41,[],Stage
222,Discharge.Daily Average@41I 06060,247f8579c3cf46dab86385609a3871d1,Daily Average,,,1,Tenmile Creek at Treatment Plant Bridge,41I 06060,0ab2f00c8e344ee4a95ce8af3d76ea0d,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/4/2021 17:47:36,[],Discharge
223,Discharge.discharge@41I 06060,621af4183ee34ce2b98542dc664ecf22,discharge,,,1,Tenmile Creek at Treatment Plant Bridge,41I 06060,0ab2f00c8e344ee4a95ce8af3d76ea0d,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 17:47:43,[],Discharge
224,Discharge.daily average@410 04000,575c8c6ee7784703a3c4babebbf8ec73,daily average,,,1,Teton River at Saylor Bridge,410 04000,3843584356604980adb399a56de1aa8a,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/2/2021 6:24:03,[],Discharge
225,Stage.working@410 04000,334d452cffbc480a858ac1bb486f623b,working,,,1,Teton River at Saylor Bridge,410 04000,3843584356604980adb399a56de1aa8a,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/3/2021 21:24:25,[],Stage
