WRNUM,GROUP_IDNUM,USE_IDNUM,POWER_PLANT_NAME,POWER_TYPE,POWER_CAPACITY,POWER_UNITS,USE_BEG_DATE,USE_END_DATE,POWER_COMMENTS
71-3741,5,7,Unnamed plant,SG,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3211,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
77-15,2,3,Telluride Power Co.,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3447,7,8,Electric Generating,HY,2420,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
77-1596,2,3,AMAX,HY,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1468,4,6,,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3212,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3326,3,4,Geothermal-electric,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-1022,1,12,Virgin City,HY,5600,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-1022,1,13,Bench Lake,HY,2000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-1022,1,14,Warner,HY,5600,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
85-773,3,5,,SG,1000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-1765,1,2,Dixie-Escalante,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
89-74,1,2,Kaiparowits,SG,5000,MW,101,1231,
71-3341,2,3,Geothermal-electric,HY,440,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1700,2,3,Garkane Power Assoc.,HY,1000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3203,2,3,Unnamed,HY,200,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3282,2,3,,HY,1800,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3470,3,4,Geothermal-electric,HY,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-2985,2,3,,HY,50000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
75-1552,1,0,,HY,1220,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1580,1,2,Garkane Power Assoc.,HY,5000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1945,8,9,Lower Boulder Plant,HY,900,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3740,2,3,Rocky Ford Plant,HY,300,KW,101,1231,Water to be used in a non-consumptive hydro-power generation plant.
71-3465,5,6,Geothermal-electric,HY,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-507,1,4,Warner Plant,HY,5600,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-507,1,5,Bench Lake Plant,HY,2000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-507,1,6,Virgin City Plant,HY,5600,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-2318,1,2,Plant #1,HY,1.5,MW,101,1231,Turgo Impulse Turbine generator
81-2318,1,3,Plant #2,HY,2,MW,101,1231,Turgo Impulse Turbine generator
97-1466,2,3,,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
85-64,2,19,Unnamed,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-64,1,8,Peterson Pasture,HY,100,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3427,2,3,Geothermal-electric,HY,55,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3479,2,3,Hydroelectric,HY,173,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
85-63,2,5,Unnamed,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-124,1,2,Quail Creek #1,HY,2286,KW,101,1231,Power used within Hurricane City Area and Dixie Escalante Service Areas.
71-3748,2,6,unnamed,SG,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3215,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-134,10,11,UP&L,HY,2,MW,101,1231,"Used in the generation of Hydro-Electric Power.  Plants are located in the SE1/4 NW1/4 Sec. 26, NW1/4 NE1/4 Sec. 28, T40S,R17W,SLBM."
81-2435,3,4,Unnamed,HY,900,KW,101,1231,"Pelton type hydroplant, powerhouse to be 400 sq. ft. in size."
71-3327,3,4,Geothermal-electric,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3449,7,8,Electric Generation,HY,2420,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3450,7,8,Electric Generation,HY,2860,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-1771,1,2,,HY,792,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3684,1,2,Unnamed,HY,445,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3187,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3478,2,3,Hydroelectric,HY,300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3554,4,5,,HY,440,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3218,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3189,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3349,4,5,Geothermal,HY,55000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3472,4,5,Geothermal-electric,HY,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3181,2,3,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3315,2,3,Unnamed,HY,200,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3182,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3214,8,9,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1462,2,3,,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3196,4,5,Geothermal-electric,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
77-192,2,5,Beaver No. 1,HY,,,101,1231,"*Power purposes in Beaver County, Utah and for power use in claimants interconnected system."
97-1581,1,2,,HY,20,KW,1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1470,1,3,,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
85-65,2,16,Unnamed,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3197,4,5,Geothermal-electric,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
85-789,2,4,Unnamed,SG,5,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3746,2,6,unnamed,SG,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
85-62,2,11,Unnamed,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3753,8,9,Several unnamed,SG,300,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1536,1,3,Utah Power & Light,SG,2000,MW,101,1231,Water use includes requirements of a coal mining-thermal electric plant complex.
71-3340,2,3,Geothermal-electric,HY,440,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3469,4,5,Geothermal-electric,HY,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
73-829,2,3,Power Plant,SG,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3747,2,6,unnamed,SG,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-66,1,5,UP&L,,,,101,1231,"Used in the generation of Hydro-Electric Power.  Plants are located in the SE1/4 NW1/4 Sec. 26, NW1/4 NE1/4 Sec. 28, T40S,R17W,SLBM."
71-3348,4,5,Geothermal,HY,55000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-2188,1,2,Unknown,HY,3,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-110,2,3,Quail Creek #1,HY,2286,KW,101,1231,Power used within Hurricane City Area and Dixie-Escalante Service Areas.
77-1653,1,2,Unnamed power plant.,HY,600,KW,101,1231,"Three 200 KW pelton units, each rated 6 cfs each, 480 volts 3 phase, head 485 ft."
71-3210,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
89-171,8,9,,SG,1000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
85-61,2,20,Unnamed,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3213,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-171,1,3,,SG,750,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3555,4,5,,HY,440,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
69-65,1,2,Unnamed,SG,1600,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3329,3,4,Geothermal-electric,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3209,3,4,Unnames,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1927,2,3,Steed Powerplant,HY,92,KW,101,1231,"The water, when available, will be taken from an existing outlet on the THIS IS A NON-CONSUMPTIVE USE."
71-3201,2,3,Unnamed,HY,2000,MW,101,1231,"224 cfs to be returned to subterranean rock via wells in area of Milford, Utah."
71-3464,4,5,Geothermal-electric,HY,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3202,2,3,Unnamed,HY,2000,MW,101,1231,"480 cfs to be returned to subterranean via wells in the area of Milford, Utah."
71-3674,1,2,Unnamed,SG,5000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-1,1,2,Unnamed,SG,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-2180,2,3,,HY,5040,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3216,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-102,1,4,Unnamed,HY,,,101,1231,"Used in the generation of Hydro-Electric Power.  Plants are located in the SE1/4 NW1/4 Sec. 26, NW1/4 NE1/4 Sec. 28, T40S,R17W,SLBM."
89-1559,3,5,Sand Hollow,HY,33,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-2231,1,0,,HY,12,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1499,1,4,,HY,1000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3397,2,3,Republic Geothermal,HY,220,MW,101,1231,Comprised of four 55MW units.
71-3185,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
89-76,1,8,,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3217,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3186,3,4,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1483,1,2,,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
73-2241,3,4,Unnamed,GE,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3180,2,3,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1933,2,3,Unnamed (CXflowTur),HY,2000,W,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-80,1,2,Unnamed,HY,,,101,1231,"Used in the generation of Hydro-Electric Power.  Plants are located in the SE1/4 NW1/4 Sec. 26, NW1/4 NE1/4 Sec. 28, T40S,R17W,SLBM."
81-80,5,6,Unnamed,HY,,,101,1231,"Power Plants located within the SE1/4 NW1/4 Sec.26, NW1/4 NE1/4 Sec.28, both T40S, R17W, SLBM used in the generation of hydro- electric power."
97-1902,1,0,Water Wheel,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3468,4,5,Geothermal-electric,HY,100,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-1452,1,4,,SG,2000000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
71-3671,1,3,Unnamed,SG,50,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
81-1766,1,2,Dixie-Escalante,HY,3,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
97-96,1,2,,SG,30000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
