WRNUM,GROUP_IDNUM,USE_IDNUM,MUNICIPALITY,USE_BEG_DATE,USE_END_DATE,MUNICIPAL_COMMENTS
29-857,2,3,Town of Honeyville,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-3065,3,4,Hyde Park,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-1760,2,3,"City of Mendon, Utah",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-3425,2,3,North Logan City,101,1231,Within the service area of North Logan
29-1409,3,4,Brigham City Corporation,101,1231,
25-3059,2,3,Lewiston City,1001,401,                                                                                                                                                                                                                                                                                                                                                                                                                
25-3441,2,3,Hyrum City,401,1031,"The water is to be released during the irrigation season into the January 22, 1970, signed by Hubert C. Lambert.)"
25-8127,2,4,Coropration limits of Hyrum City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1146,2,3,Corinne City,101,1231,Within boundaries served by Corinne City.
29-2505,3,4,Garland City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-7704,2,3,City of Logan,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-1974,3,4,"City of Wellsville, Utah",401,930,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1104,2,3,Tremonton City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8076,2,3,Cornish Town,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2418,3,4,"Mantua, Town of",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-5387,2,3,"Franklin City, Idaho",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-5170,2,3,Millville City,1101,331,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8471,1,2,Cornish Town,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8160,2,3,Logan City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1628,2,3,Riverside and North Garland,101,1231,See 29-3990 for acre-foot limitation
29-1413,2,3,Brigham City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1015,2,3,Garland City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2154,3,6,Plymouth,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2154,3,7,Portage,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8706,5,4,Providence City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-4764,2,3,Richmond City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1021,2,3,Town of Bothwell,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2144,2,3,"Deweyville, Town of",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-4734,2,3,Hyde Park City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-985,2,3,Corinne City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8919,2,3,Hyde Park City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-8928,11,12,Wellsville City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3517,2,3,Tremonton City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3573,2,3,Tremonton City,315,1115,The place of use is within the service area of Tremonton City.
29-1289,2,3,Tremonton City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3575,2,3,Brigham City Corporation,101,1231,Within the service area of Brigham City Corporation.
25-9038,2,3,Logan City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9039,2,3,City of Logan,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9044,2,3,Nibley Town,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9045,4,5,North Logan City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9046,3,4,North Logan City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9056,2,3,Millville City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9057,2,3,Millville City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9062,2,3,Multiple entities,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9071,2,3,River Heights City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9078,2,3,Nibley City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-4441,2,9,SEE REMARKS,101,1231,"Municipalities, improvement districts, and other public corporations located in Bear Lake, Caribou, Bannock, Franklin, and Oneida Co unties, Idaho, and Cache, Box Elder, Weber, and Davis Counties, Utah."
25-4312,2,3,Wellsville,1001,1009,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3626,4,5,Brigham City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9110,2,3,Richmond City Corporation,101,1231,Within the service area of Richmond City Corporation
25-9127,3,4,North Logan City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9126,3,4,North Logan City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3664,3,4,Garland City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
13-3579,3,4,Snowville Town,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9215,4,3,Cornish Town,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3690,2,3,Willard City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3685,2,3,Plymouth,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3691,2,3,Willard City Corporation,101,1231,Incorporated Areas of Willard City Corporation
29-3702,2,3,Corinne City,101,1231,Place of use within municipality of Corinne City.
25-9263,2,3,Newton Town,101,1231,Place of use will be within incorporated areas of Newton Town
25-9264,2,3,Clarkston Town,101,1231,Place of use will be within incorporated areas of Clarkston Town.
25-9265,2,3,Trenton Town,101,1231,Place of use will be within incorporated areas of Trenton Town.
25-9269,4,5,Providence City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-3707,3,4,Brigham City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9285,2,3,Cornish Town,101,1231,Place of use will be within the corporated limits of Cornish Town.
29-3715,3,4,City of Honeyville,101,1231,Within the service area of Honeyville
29-3728,3,4,Perry City,101,1231,Within the service area of Perry.
25-9385,2,3,Cornish,101,1231,Water will be used within Cornish service area.
13-3601,2,5,Snowville Town,101,1231,Used within corporate boundaries of Snowville Town
25-9402,2,3,Town of Amalga,101,1231,Water will be used within the municipal area of the Town of Amalga.
25-9407,2,3,Benson Culinary Water Improvement Distri,101,1231,Water will be used within the boundaries of the District.
13-3613,2,3,Wendover City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9516,3,4,Clarkston Town,101,1231,Place of use will be within the corporate limits of Clarkston Town.
29-3773,2,3,Elwood Town,101,1231,Place of use within municipal boundaries of Elwood Town
25-9538,2,3,Clarkston Town,101,1231,Uses within corporate limits of Clarkston Town.
25-2330,6,7,Richmond City,101,1231,Limited to 477 acre-feet annually.
25-4925,2,16,Lewiston City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-7710,2,6,Mendon City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9568,4,5,North Logan City,101,1231,Within the service area of North Logan
25-9675,2,3,Logan City,101,1231,Within the incorporated limits of Logan City.
25-9676,2,3,Logan City,1101,331,Within the incorporated limits of Logan City.
25-7316,9,10,Mendon City Corporation,101,1231,"Used with water rights:25-1759,1760,5407,7316,7710"
25-6483,2,5,Benson Culinary Water Improvement Dist.,101,1231,Within the service area of Benson Culinary Water Improvement District
23-3532,4,5,Eagle Springs Special Service District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-1247,2,3,Brigham City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-2047,2,6,Bear River Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
25-9927,1,2,Cornish Town,101,1231,Place of use is within the service area of Cornish.
13-3706,2,3,Howell Town,101,1231,Used within the service area of Howell Town.
25-10101,1,2,Lewiston City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
23-3786,2,3,Rich County Sanitation District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-4044,1,4,Thatcher-Penrose Service District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-4053,2,3,Willard City Corp.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
29-4140,3,4,Deweyville Town,101,1231,Place of use within Deweyville Town limits
29-4145,2,3,SE Box Elder Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-4944,1,3,City of Monarch,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
45-5084,1,2,Ashley Valley Water & Sewer Improvement,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-1981,1,2,Duchesne City,101,1231,Within the service area of Duchesne
43-7264,1,2,Duchesne City,101,1231,Used within the corporate limits of Duchesne City.
41-3202,1,2,Town of Manila,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-7474,1,2,Duchesne County,101,1231,For use in Duchesne County maintenance shed by 15 people.
45-4596,1,0,Vernal City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-9269,2,4,Roosevelt City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-496,1,2,Roosevelt,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
49-298,1,0,Town to be built,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-7627,1,4,Roosevelt Municipal Airport,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
45-2114,1,0,Maeser Water Improvement District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-4946,1,2,City of Upalco,101,1231,Used for culinary and stock watering purposes.
45-2087,1,0,Vernal City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
45-1675,6,0,Vernal City and Maeser Town,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-3016,3,4,Randlett,501,1015,A supplemental supply to application A386a for domestic and municipal purposes in that part of Randlett NE of Uinta River.
43-8988,1,2,Town of Altamont,101,1231,Within the service area of Altamont
41-3164,1,2,Town of Manila,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-4947,1,3,City of Fruitland,101,1231,Also culinary purposes for a population of 100
43-4945,1,2,City of Roosevelt,101,1231,Used within the service area of the City of Roosevelt for a population of 1200.
43-491,1,2,Altamont,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-7455,1,2,City of Roosevelt,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-495,1,2,Roosevelt City,101,1231,"Place of use includes Roosevelt City limits and extended water service area service district and Pennzoil refinery at Roosevelt, Utah."
45-3369,3,0,"Vernal, Utah",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
41-3252,1,4,Daggett County Water and Sewer District,101,1231,Within the service area of Daggett County Water and Sewer District.
45-1647,1,2,Vernal City,101,1231,"For use within the service area of the Vernal City water system.   This right was established by Change Application a1548, based on capital stock owned by Vernal City in the Ashley Central Irrigation Company and on the A. G. Johnson Decreed right."
43-3607,1,2,Roosevelt City Corporation,101,1231,"Water to be used within Roosevelt City limits and extended water service area  including wholesale water service to Neola Water Service District and Pennzoil refinery at Roosevelt, Utah."
49-173,1,3,Town of Bonanza,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-7682,1,2,Town of Altamont,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-8989,1,2,Town of Altamont,101,1231,Within the service area of Altamont
43-467,1,3,Myton City,101,1231,"Myton City (Service Station, Post Office, School)"
43-4984,1,2,Monarch Community,101,1231,For use in the Community of Monarch by about 40 Families.
43-341,1,2,"Provo, American Fork, Lindon, Pleasant",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-341,1,3,"Grove, Orem, Lehi, Salt Lake City, Sandy",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-341,1,4,"South Jordan, West Jordan.",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
49-293,3,0,Town to be built,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
45-2084,1,0,Vernal City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-493,1,2,Roosevelt City Corporation,101,1231,"Place of use includes Roosevelt city limits and extended water service area service district and Pennzoil refinery at Roosevelt, Utah."
45-3603,1,0,Ashley Valley Water & Sewer Impro. Dist.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
45-2128,1,0,Vernal City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
45-4812,1,0,Ashley Valley Water & Sewer Imp. Dist.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-4951,1,4,City of Bluebell,101,1231,Used within the service area of the City of Bluebell for a population of 360.
43-3683,1,3,Myton City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
45-4586,1,0,Maeser Water Improvement District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-7574,1,2,Roosevelt City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
43-3651,1,2,City of Duchesne,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
