index,Basin_Subbasin_Number,Basin_Subbasin_Name,in_RegulatoryStatute,in_OversightAgency
322,6-018,Death Valley,Very Low,Southern Region Office
323,6-019,Wingate Valley,Very Low,Southern Region Office
324,6-020,Middle Amargosa Valley,Very Low,Southern Region Office
325,6-021,Lower Kingston Valley,Very Low,Southern Region Office
326,6-022,Upper Kingston Valley,Very Low,Southern Region Office
327,6-023,Riggs Valley,Very Low,Southern Region Office
328,6-024,Red Pass Valley,Very Low,Southern Region Office
329,6-025,Bicycle Valley,Very Low,Southern Region Office
330,6-026,Avawatz Valley,Very Low,Southern Region Office
331,6-027,Leach Valley,Very Low,Southern Region Office
332,6-028,Pahrump Valley,Very Low,Southern Region Office
333,6-029,Mesquite Valley,Very Low,Southern Region Office
334,6-030,Ivanpah Valley,Very Low,Southern Region Office
335,6-031,Kelso Valley,Very Low,Southern Region Office
336,6-032,Broadwell Valley,Very Low,Southern Region Office
337,6-033,Soda Lake Valley,Very Low,Southern Region Office
338,6-034,Silver Lake Valley,Very Low,Southern Region Office
339,6-035,Cronise Valley,Very Low,Southern Region Office
340,6-036.01,Langford Valley - Langford Well Lake,Very Low,Southern Region Office
341,6-036.02,Langford Valley - Irwin,Very Low,Southern Region Office
342,6-037,Coyote Lake Valley,Very Low,Southern Region Office
343,6-038,Caves Canyon Valley,Very Low,Southern Region Office
344,6-040,Lower Mojave River Valley,Very Low,Southern Region Office
345,6-041,Middle Mojave River Valley,Very Low,Southern Region Office
346,6-042,Upper Mojave River Valley,Very Low,Southern Region Office
347,6-043,El Mirage Valley,Very Low,Southern Region Office
348,6-044,Antelope Valley,Very Low,Southern Region Office
349,6-045,Tehachapi Valley East,Very Low,Southern Region Office
350,6-046,Fremont Valley,Low,Southern Region Office
351,6-047,Harper Valley,Very Low,Southern Region Office
352,6-048,Goldstone Valley,Very Low,Southern Region Office
353,6-049,Superior Valley,Very Low,Southern Region Office
354,6-050,Cuddeback Valley,Very Low,Southern Region Office
355,6-051,Pilot Knob Valley,Very Low,Southern Region Office
356,6-052,Searles Valley,Very Low,Southern Region Office
357,6-053,Salt Wells Valley,Very Low,Southern Region Office
358,6-054,Indian Wells Valley,High,Southern Region Office
359,6-055,Coso Valley,Very Low,Southern Region Office
360,6-056,Rose Valley,Very Low,Southern Region Office
361,6-057,Darwin Valley,Very Low,Southern Region Office
362,6-058,Panamint Valley,Very Low,Southern Region Office
363,6-061,Cameo Area,Very Low,Southern Region Office
364,6-062,Race Track Valley,Very Low,Southern Region Office
365,6-063,Hidden Valley,Very Low,Southern Region Office
366,6-064,Marble Canyon Area,Very Low,Southern Region Office
367,6-065,Cottonwood Spring Area,Very Low,Southern Region Office
368,6-066,Lee Flat,Very Low,Southern Region Office
369,6-067,Martis Valley,Very Low,North Central Region Office
370,6-068,Santa Rosa Flat,Very Low,Southern Region Office
371,6-069,Kelso Lander Valley,Very Low,Southern Region Office
372,6-070,Cactus Flat,Very Low,Southern Region Office
373,6-071,Lost Lake Valley,Very Low,Southern Region Office
374,6-072,Coles Flat,Very Low,Southern Region Office
375,6-073,Wild Horse Mesa Area,Very Low,Southern Region Office
376,6-074,Harrisburg Flats,Very Low,Southern Region Office
377,6-075,Wildrose Canyon,Very Low,Southern Region Office
378,6-076,Brown Mountain Valley,Very Low,Southern Region Office
379,6-077,Grass Valley,Very Low,Southern Region Office
380,6-078,Denning Spring Valley,Very Low,Southern Region Office
381,6-079,California Valley,Very Low,Southern Region Office
382,6-080,Middle Park Canyon,Very Low,Southern Region Office
