SiteUUID,Longitude,Latitude
CAwr_S10324,-121.60002725,38.51558305
CAwr_S10325,-115.74330203,34.77305235
CAwr_S10326,-115.63275552,34.8066861
CAwr_S10327,-115.68886809,34.82590277
CAwr_S10328,-122.74485256,38.83695397
CAwr_S10329,-120.9990582,38.61422954
CAwr_S1033,-122.22670046,40.85513354
CAwr_S10330,-121.08855259,40.17285311
CAwr_S10331,-121.42652589,36.48152398
CAwr_S10332,-120.06172103,38.70230395
CAwr_S10333,-123.4864,39.094
CAwr_S10334,-120.88567658,36.01160614
CAwr_S10335,-120.95362469,39.13392426
CAwr_S10336,-122.94361917,38.74764321
CAwr_S10337,-123.03919871,38.85749031
CAwr_S10338,-122.65522511,38.5974971
CAwr_S10339,-120.66578137,38.10977425
CAwr_S1034,-122.22381289,40.85651172
CAwr_S10340,-120.50114738,39.80864422
CAwr_S10341,-122.60812687,39.57881457
CAwr_S10342,-122.77507931,41.59468496
CAwr_S10343,-123.04511503,41.86152889
CAwr_S10344,-123.0892179,41.64363355
CAwr_S10345,-122.57597159,38.35888301
CAwr_S10346,-123.58398871,40.88703531
CAwr_S10347,-122.8549,38.5636
CAwr_S10348,-122.8547,38.5665
CAwr_S10349,-122.86900498,38.49531487
CAwr_S1035,-121.31520181,41.98685883
CAwr_S10350,-122.43233653,38.6258595
CAwr_S10351,-119.07109929,37.31924482
CAwr_S10352,-120.39049174,39.91091234
CAwr_S10353,-121.36717545,39.64814061
CAwr_S10354,-122.15643638,38.30816639
CAwr_S10355,-119.78988995,37.24208388
CAwr_S10356,-122.4432,38.6243
CAwr_S10358,-122.54347151,38.55715879
CAwr_S10359,-122.53997867,38.55772427
CAwr_S1036,-122.36312548,39.75261337
CAwr_S10360,-120.83673482,38.50204314
CAwr_S10361,-120.37994433,39.65035743
CAwr_S10362,-122.88759144,38.41622608
CAwr_S10363,-122.88549572,38.41610483
CAwr_S10364,-122.29559098,38.69878173
CAwr_S10365,-122.79874018,38.64249091
CAwr_S10366,-122.72998738,41.08912054
CAwr_S10367,-124.09521897,41.03745071
CAwr_S10368,-118.96169878,34.23331051
CAwr_S10369,-118.96537928,34.23685368
CAwr_S1037,-122.31495801,39.79530571
CAwr_S10370,-123.22100156,39.32075192
CAwr_S10371,-123.21467008,39.32260251
CAwr_S10372,-122.90651706,38.37630609
CAwr_S10373,-122.36394001,38.25636151
CAwr_S10374,-122.37005114,38.25963714
CAwr_S10375,-123.10343561,38.94586793
CAwr_S10376,-120.20838483,39.25311569
CAwr_S10377,-122.50501904,38.75750934
CAwr_S10378,-122.5238956,38.7252991
CAwr_S10379,-120.06587581,38.84601737
CAwr_S1038,-120.38359889,35.43987907
CAwr_S10380,-121.05268903,41.0793177
CAwr_S10381,-122.92552654,40.56778904
CAwr_S10382,-121.26973976,36.48407142
CAwr_S10383,-120.81929761,40.07841789
CAwr_S10384,-120.07611203,40.43295091
CAwr_S10385,-122.44517203,38.38348653
CAwr_S10386,-120.09129746,37.72524965
CAwr_S10387,-122.60611886,38.70718956
CAwr_S10388,-122.85307569,38.68298711
CAwr_S10389,-119.78658774,37.44475632
CAwr_S1039,-124.28866213,40.31722502
CAwr_S10390,-120.34205676,40.32947585
CAwr_S10391,-123.35531995,39.00933916
CAwr_S10392,-122.33996076,38.34032093
CAwr_S10393,-122.35343367,38.73967141
CAwr_S10394,-122.3543996,38.33423669
CAwr_S10395,-121.3953041,38.73203344
CAwr_S10396,-120.93619699,38.27672855
CAwr_S10397,-118.34151717,34.43386914
CAwr_S10398,-122.53728313,38.52478556
CAwr_S10399,-122.37044127,38.43647084
CAwr_S104,-117.21306019,34.11376155
CAwr_S1040,-122.8497622,38.28731088
CAwr_S10400,-123.60207965,40.46699852
CAwr_S10401,-120.30127783,37.68789417
CAwr_S10402,-123.66000216,41.26537019
CAwr_S10403,-122.41982647,38.64252034
CAwr_S10404,-123.08240707,38.92739277
CAwr_S10405,-122.40207687,37.43057369
CAwr_S10406,-122.40275155,37.43001336
CAwr_S10407,-122.34260309,37.30282428
CAwr_S10408,-122.34121795,37.30243399
CAwr_S10409,-122.88238659,38.56029499
CAwr_S1041,-122.97849666,39.06588093
CAwr_S10410,-122.47534841,38.46244882
CAwr_S10411,-122.29221119,38.72913235
CAwr_S10412,-122.74054256,38.62526849
CAwr_S10413,-122.5051887,39.44847738
CAwr_S10414,-122.38662096,38.62053104
CAwr_S10415,-123.13200141,39.05035206
CAwr_S10416,-123.15765709,39.05792646
CAwr_S10417,-120.38634395,39.02365367
CAwr_S10418,-122.51974049,40.27866522
CAwr_S10419,-122.60682484,40.277276
CAwr_S1042,-120.88392293,38.76942851
CAwr_S10420,-120.88105866,38.68399776
CAwr_S10421,-122.56863012,38.55456704
CAwr_S10422,-120.8148,35.6741
CAwr_S10423,-120.40428282,35.27431247
CAwr_S10424,-122.97809679,38.44941052
CAwr_S10425,-120.32492206,40.06756493
CAwr_S10426,-120.20422755,40.04389975
CAwr_S10427,-119.7912198,38.3354104
CAwr_S10428,-122.37364984,39.85510844
CAwr_S10429,-122.70404838,40.28605319
CAwr_S1043,-123.12865414,39.35998143
CAwr_S10430,-123.10253365,39.27291369
CAwr_S10431,-123.47732793,39.08426083
CAwr_S10432,-122.00979123,37.13508174
CAwr_S10433,-122.0040593,37.14009989
CAwr_S10434,-122.00307974,37.14258463
