SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
CAos_S100,,CAos_WS5,Unspecified,Unspecified,INYO,4326,,,,,37.423578000000006,-118.58357600000001,,,Gage,PLEASANT VALLEY RESERVOIR,PVR,,Reservoir Gage,CA,
CAos_S101,,CAos_WS5,Unspecified,Unspecified,LOS ANGELES,4326,,,,,34.644153,-118.764528,,,Gage,PYRAMID,PYM,,Reservoir Gage,CA,
CAos_S102,,CAos_WS5,Unspecified,Unspecified,MADERA,4326,,,,,37.145,-119.449,,,Gage,REDINGER LAKE,RDN,,Reservoir Gage,CA,
CAos_S103,,CAos_WS5,Unspecified,Unspecified,RIVERSIDE,4326,,,,,33.675,-117.272,,,Gage,RAILROAD CANYON,RLC,,Reservoir Gage,CA,
CAos_S104,,CAos_WS5,Unspecified,Unspecified,TUOLUMNE,4326,,,,,38.266999999999996,-119.73299999999999,,,Gage,RELIEF,RLF,,Reservoir Gage,CA,
CAos_S105,,CAos_WS5,Unspecified,Unspecified,PLACER,4326,,,,,39.135,-120.948,,,Gage,ROLLINS,RLL,,Reservoir Gage,CA,
CAos_S106,,CAos_WS5,Unspecified,Unspecified,TRINITY,4326,,,,,40.367,-123.43299999999999,,,Gage,RUTH DAM,RTD,,Reservoir Gage,CA,
CAos_S107,,CAos_WS5,Unspecified,Unspecified,ALAMEDA,4326,,,,,37.573,-121.848,,,Gage,SAN ANTONIO RESERVOIR,SAT,,Reservoir Gage,CA,
CAos_S108,,CAos_WS1,Unspecified,Unspecified,Unspecified,4326,,,180202000000.0,18020155.0,40.28926914,-122.1865848,,,Gage,SACRAMENTO RIVER ABV BEND BRIDGE,SBB,,Stream Gage,CA,
CAos_S109,,CAos_WS5,Unspecified,Unspecified,MONO,4326,,,,,37.966,-119.272,,,Gage,SADDLEBAG LAKE RESERVOIR,SDB,,Reservoir Gage,CA,
