Station,ID,Elev,Latitude,Longitude,County,Operating Agency
NEW MELONES RESERVOIR,NML,1135,37.9481,-120.525,CALAVERAS,US Bureau of Reclamation
TULLOCH,TUL,515,37.875,-120.603,CALAVERAS,US Bureau of Reclamation
HUNTINGTON LAKE (USBR),HNT,7000,37.228,-119.221,FRESNO,US Bureau of Reclamation
SHAVER LAKE,SHV,5370,37.145,-119.302,FRESNO,US Bureau of Reclamation
FRIANT DAM (MILLERTON),MIL,581,37.001,-119.705,FRESNO,US Bureau of Reclamation
BOCA RESERVOIR,BOC,5521,39.383,-120.1,NEVADA,US Bureau of Reclamation
PROSSER CREEK RESERVOIR,PRS,5622,39.3794,-120.1367,NEVADA,US Bureau of Reclamation
LAKE TAHOE,TAH,6221,39.181,-120.118,PLACER,US Bureau of Reclamation
LAKE POWELL,PWL,3700,36.937,-111.493,State of Arizona,US Bureau of Reclamation
LAKE MEAD,MEA,3700,36.016,-114.736,State of Arizona,US Bureau of Reclamation
LAKE MOHAVE,MHV,644,35.197,-114.567,State of Nevada,US Bureau of Reclamation
LAKE HAVASU,HVS,451,34.317,-114.156,SAN BERNARDINO,US Bureau of Reclamation
STAMPEDE,STP,5956,39.471,-120.103,SIERRA,US Geological Survey
BRIDGEPORT RESERVOIR,BDP,6466,38.325,-119.211,MONO,USGS and DWR
DON PEDRO RESERVOIR,DNP,830,37.702,-120.421,TUOLUMNE,USGS/USACE
MATILIJA DAM,MAT,1138,34.486,-119.307,VENTURA,Ventura County Flood Control District
HENSHAW,HNS,2740,33.24,-116.762,SAN DIEGO,Vista Irrigation District
INDIAN VALLEY,INV,1502,39.083,-122.533,LAKE,Yolo County Flood Control and Water Consv Dist
CLEAR LK - CACHE CREEK,CLA,1336,38.957,-122.642,LAKE,Yolo County Flood Control and Water Consv Dist
NEW BULLARDS BAR,BUL,1965,39.393,-121.14,YUBA,Yuba County Water Agency
