SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NDssdw_S14308107D,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Oliver,4326,,,,,47.21774781,-100.9873041,,,POD,Wade Blank,14308107D,,WaDE Blank,ND,
NDssdw_S14308116C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.2039,-100.9555,,,POD,Wade Blank,14308116C,,WaDE Blank,ND,
NDssdw_S14308116CS,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.20208,-100.95551,,,POD,Wade Blank,14308116CS,,WaDE Blank,ND,
NDssdw_S14308120A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.19664,-100.96603,,,POD,Wade Blank,14308120A,,WaDE Blank,ND,
NDssdw_S14308120D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.18944,-100.96597,,,POD,Wade Blank,14308120D,,WaDE Blank,ND,
NDssdw_S14308129BB,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.18406,-100.97924,,,POD,Wade Blank,14308129BB,,WaDE Blank,ND,
NDssdw_S14308502B,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Oliver,4326,,,,,47.23792,-101.42152,,,POD,Wade Blank,14308502B,,WaDE Blank,ND,
NDssdw_S14308502C,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Oliver,4326,,,,,47.23064,-101.4215,,,POD,Wade Blank,14308502C,,WaDE Blank,ND,
NDssdw_S14308708C,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Oliver,4326,,,,,47.21613,-101.73793,,,POD,Wade Blank,14308708C,,WaDE Blank,ND,
NDssdw_S14308717A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Oliver,4326,,,,,47.20892,-101.72725,,,POD,Wade Blank,14308717A,,WaDE Blank,ND,
