,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
463,Aspen Ranch, ,Aspen Ranch,NTNC,1634,0,UTAH28037,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Wayne,West Colorado River,8/3/2006,Rabbit Valley,08-03-06a,Rabbit Valley,2010, ,,ADAMCLARK,5/31/2017 0:00,,0.010903064,5.17E-06
478,Homespun Village Water Co., ,Homespun Village Water Co,C,1585,0,UTAH27081,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2010,Supplier,9/16/2015 0:00,ADAMCLARK,5/31/2017 0:00,,0.020126143,2.36E-05
492,Paria Contact Station, ,Paria Contact Station,NC,625,0,UTAH13030,https://waterlink.utah.gov/deqWater/reports.html?systemId=1130, , ,Utah,Kane,Southeast Colorado River,9/5/2000,Paria River,09-05-00a,Paria,2010,DWRe,11/8/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.004831232,1.47E-06
497,Kodachrome Basin State Park, ,Kodachrome Basin,NC,615,0,UTAH13016,https://waterlink.utah.gov/deqWater/reports.html?systemId=879, , ,Utah,Kane,Southeast Colorado River,9/5/2000,Paria River,09-05-00a,Paria,2010,DWRe,11/8/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.032742456,2.57E-05
498,Coral Pink Sand Dunes, ,Coral Pink Sand Dunes,NC,614,0,UTAH13015,https://waterlink.utah.gov/deqWater/reports.html?systemId=482, , ,Utah,Kane,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,10-02-02a,Lower Kanab Creek,2010,DWRe,11/8/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.017548327,1.67E-05
501,Shingle Creek State Highway Rest Stop, ,Shingle Creek State Highway Rest Stop,NC,612,0,UTAH13011,https://waterlink.utah.gov/deqWater/reports.html?systemId=1329, , ,Utah,Kane,Kanab Creek/Virgin River,10/1/2001,Long Valley,10-01-01a,Long Valley,2005,DWRe,11/8/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007134312,1.11E-06
502,Staker Parson Co., , ,NTNC,2335,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Kane,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,10-02-02a,Lower Kanab Creek,2010,DWRe,11/8/2016 0:00,ADAMCLARK,5/17/2017 0:00,,0.007760099,2.02E-06
503,Bryce Woodland Estates, ,Bryce Woodland Estates Unit 6f,NC,621,0,UTAH13024,https://waterlink.utah.gov/deqWater/reports.html?systemId=199, , ,Utah,Kane,Sevier River,5/6/2001,Navajo Lake,05-06-01a,Navajo Lake,2010,DWRe,11/8/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.094289779,0.000361735
504,Elkridge Water Co., ,Elkridge Water Company,C,635,0,UTAH13042,https://waterlink.utah.gov/deqWater/reports.html?systemId=615, , ,Utah,Kane,Sevier River,5/6/2001,Navajo Lake,05-06-01a,Navajo Lake,2010,DWRe,11/8/2016 0:00,ADAMCLARK,9/25/2019 0:00,,0.026813707,3.08E-05
510,Duck Creek Campground, ,Duck Creek Campground,NC,619,0,UTAH13022,https://waterlink.utah.gov/deqWater/reports.html?systemId=568, , ,Utah,Kane,Sevier River,5/6/2001,Navajo Lake,05-06-01a,Navajo Lake,2010,DWRe,11/8/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.020601536,2.55E-05
511,Navajo Lake Spruces Campground, ,Navajo Lake Spruces Campground,NC,616,0,UTAH13019,https://waterlink.utah.gov/deqWater/reports.html?systemId=1039, , ,Utah,Kane,Sevier River,5/6/2001,Navajo Lake,05-06-01a,Navajo Lake,2010,DWRe,11/8/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.009970917,6.15E-06
512,Te-ah Campground, ,Teah Campground,NP,617,0,UTAH13020,https://waterlink.utah.gov/deqWater/reports.html?systemId=1495, , ,Utah,Kane,Sevier River,5/6/2001,Navajo Lake,05-06-01a,Navajo Lake,2009,DWRe,11/8/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.014896302,9.06E-06
513,Boy Scout Spring, ,Boy Scout Spring Campground,NP,618,0,UTAH13021,https://waterlink.utah.gov/deqWater/reports.html?systemId=170, , ,Utah,Kane,Sevier River,5/6/2001,Navajo Lake,05-06-01a,Navajo Lake,2009,DWRe,11/8/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.002195672,2.72E-07
519,Little Creek Travel Center, ,Little Creek Travel Center,NC,1587,0,UTAH27083,https://waterlink.utah.gov/deqWater/reports.html?systemId=422, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.006913991,2.72E-06
523,Home Valley Park Subdivision, , ,NC,1551,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,10-01-02a,North Fork Virgin,2010,DWRe,11/10/2016 0:00,ADAMCLARK,11/10/2016 0:00,,0.016353967,1.37E-05
524,Zion Panorama Subdivision, ,Zion Panorama Subdivision,NC,1559,0,UTAH27046,https://waterlink.utah.gov/deqWater/reports.html?systemId=1722, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,10-01-02a,North Fork Virgin,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.06537677,0.000167399
525,Woodland & Kolob Acres, ,Woodland And Kolob Acres,NP,1552,0,UTAH27037,https://waterlink.utah.gov/deqWater/reports.html?systemId=1698, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,10-01-02a,North Fork Virgin,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.03541521,6.02E-05
526,Terrace Drive Subdivision, ,Terrace Drive Subdivision,NC,2402,0,UTAH27078,https://waterlink.utah.gov/deqWater/reports.html?systemId=1500, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,10-01-02a,North Fork Virgin,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.037802526,8.67E-05
527,Juniper Park Campground, ,Pine Valley Rec Area - Juniper,NC,2158,0,UTAH27028,https://waterlink.utah.gov/deqWater/reports.html?systemId=1170, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,10-01-04d,Santa Clara D,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.007070154,2.86E-06
529,Fourmile Bench Dump Station, ,Fourmile Dump Station,NP,1569,0,UTAH27064,https://waterlink.utah.gov/deqWater/reports.html?systemId=674, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,10-01-04c,Santa Clara C,1997,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.003478009,6.85E-07
530,Oak Grove Campground, ,Oak Grove Campground,NP,1546,0,UTAH27029,https://waterlink.utah.gov/deqWater/reports.html?systemId=1074, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.008186988,4.53E-06
531,Honeycomb Rocks Campground, ,Honeycomb Rocks Campground,NC,1544,0,UTAH27027,https://waterlink.utah.gov/deqWater/reports.html?systemId=812, , ,Utah,Washington,Cedar/Beaver,6/3/2001,Escalante Desert,06-03-01a,Escalante Desert,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.01013212,5.88E-06
535,Lunt Park State Hwy Rest Stop, ,Lunt Park State Highway Rest Stop,NC,517,0,UTAH11017,https://waterlink.utah.gov/deqWater/reports.html?systemId=452, , ,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,06-02-01a,Parowan,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.013263889,1.24E-05
536,Yankee Meadows Campground, ,Yankee Meadows Campground,NC,566,0,UTAH11072,https://waterlink.utah.gov/deqWater/reports.html?systemId=1706, , ,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,06-02-01a,Parowan,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.010795215,7.58E-06
537,Thunder Ridge Scout Camp, ,Thunder Ridge Scout Camp,NC,528,0,UTAH11031,https://waterlink.utah.gov/deqWater/reports.html?systemId=1515, , ,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,06-02-01a,Parowan,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.017169701,1.81E-05
539,Cedar Breaks National Monument, ,Cedar Breaks National Monument,NC,531,0,UTAH11034,https://waterlink.utah.gov/deqWater/reports.html?systemId=280, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.005356466,2.00E-06
540,Cedar Canyon Campground, ,Cedar Canyon Campground,NC,536,0,UTAH11041,https://waterlink.utah.gov/deqWater/reports.html?systemId=281, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.020389991,1.06E-05
