,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
1200,ENEL Cove Fort,ENEL Cove Fort, ,NTNC,2665,2715, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=2715, , ,Utah,Beaver,Cedar/Beaver,6/1/2003,Cove Fort-Black Rock,06-01-03a,Cove Fort-Black Rock,0,DWRe,9/9/2019 0:00,ADAMCLARK,9/9/2019 0:00,,0.036520071,4.28E-05
761,Pacificorp - Hunter PP,PacifiCorp (Hunter Plant),Upl Hunter Plant,NP,2380,2720,UTAH08033,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=2720, , ,Utah,Emery,West Colorado River,8/2/2004,Castle Dale,08-02-04a,Castle Dale,0,DWRe,4/13/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.047277359,0.000126705
784,Pacificorp - Carbon PP,PacifiCorp (Carbon Plant), ,NTNC,2374,2721, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=2721, , ,Utah,Carbon,West Colorado River,8/1/2002,Colton,08-01-02a,Colton,0,DWRe,4/26/2017 0:00,ADAMCLARK,4/26/2017 0:00,,0.016577574,8.47E-06
1142,PacifiCorp (Gadsby Plant),PacifiCorp (Gadsby Plant), ,NTNC,1923,2722, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=2722, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,0,DWRe,10/30/2017 0:00,ADAMCLARK,10/30/2017 0:00,,0.019555573,1.44E-05
769,Sunnyside Cogeneration Associates,Sunnyside Cogeneration Associates, ,NTNC,2373,2723, ,https://www.waterrights.utah.gov/asp_apps/viewEditIND/indView.asp?SYSTEM_ID=2723, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,0,DWRe,4/13/2017 0:00,ADAMCLARK,2/26/2020 0:00,,0.02857692,5.26E-05
553,PacifiCorp (Blundell Plant),PacifiCorp (Blundell Plant), ,NTNC,1927,2732, ,https://www.waterrights.utah.gov/asp_apps/viewEditIND/indView.asp?SYSTEM_ID=2732, , ,Utah,Beaver,Cedar/Beaver,6/1/2002,Milford,06-01-02a,Milford,2010,DWRe,11/14/2016 0:00,ADAMCLARK,2/25/2020 0:00,,0.023576629,3.46E-05
1219,Harper Excavating Inc. (Salt Lake Pit),Harper Excavating Inc. (Salt Lake Pit), ,NTNC,2666,2801, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=2801, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,0,DWRe,9/10/2019 0:00,ADAMCLARK,9/10/2019 0:00,,0.034657437,5.79E-05
1192,DAI Partners LLC,DAI Partners LLC, ,NTNC,2667,2804, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=2804, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,0,DWRe,9/5/2019 0:00,ADAMCLARK,9/5/2019 0:00,,0.032592661,5.19E-05
1143,PacifiCorp (Rocky Mountain Power),Pacificorp DBA Utah Power & Light Company, ,NTNC,2331,2805, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=2805, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,0,DWRe,10/30/2017 0:00,ADAMCLARK,10/30/2017 0:00,,0.017829189,1.14E-05
1140,Zion Securities (Westlake Industrial),Zions Securities Corporation (Westlakes Industrial),Beehive Clothing,NP,2431,2806,UTAH18171,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=2806, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,0,DWRe,10/27/2017 0:00,ADAMCLARK,10/27/2017 0:00,,0.001982635,1.89E-07
1145,SLV Solid Waste Facility,SLV Solid Waste Facility, ,NTNC,2329,2807, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=2807, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,0,DWRe,10/30/2017 0:00,ADAMCLARK,10/30/2017 0:00,,0.078378355,0.000224317
674,Mountain Valley Water Co.,Mountain Valley Water,Mountain Valley Water Co,C,2516,10017,UTAH18162,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10017, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018,DWRe,1/30/2017 0:00,ADAMCLARK,10/16/2019 0:00,,0.01508199,1.16E-05
1161,Salt Lake County Parks,Salt Lake County Parks and Recreation Division, ,NC,1951,10018, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Mgtview&SYSTEM_ID=10018, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,0,DWRe,11/8/2017 0:00,ADAMCLARK,11/8/2017 0:00,,0.147935767,0.00017741
1153,Cottonwood Club,Cottonwood Country Club,Cottonwood Club,NC,852,10810,UTAH18084,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Mgtview&SYSTEM_ID=10810, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,0,DWRe,10/30/2017 0:00,ADAMCLARK,10/30/2017 0:00,,0.011929409,7.89E-06
277,Jordanelle SSD,Jordanelle Special Service District,Jordanelle Ssd,C,1511,10857,UTAH26086,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10857, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,2018, ,,ADAMCLARK,10/16/2019 0:00,,1.162897941,0.011221324
1257,"Tamra Mining Co., LLC","Tamra Mining Company, LLC", ,NTNC,2668,10861, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10861, , ,Utah,Beaver,Cedar/Beaver,6/1/2002,Milford,06-01-02a,Milford,0,DWRe,9/13/2019 0:00,ADAMCLARK,9/13/2019 0:00,,0.10501733,0.000557875
859,Payson Fruit Grower's Inc.,Payson Fruit Grower's Inc., ,NTNC,2352,10862, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10862, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,0,DWRe,8/10/2017 0:00,ADAMCLARK,8/10/2017 0:00,,0.009300308,5.27E-06
1196,Dutch Cowboy Dairy,Dutch Cowboy Dairy, ,NTNC,2669,10864, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10864, , ,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,06-02-01a,Parowan,0,DWRe,9/6/2019 0:00,ADAMCLARK,9/6/2019 0:00,,0.037198965,7.42E-05
22,Canyon Country Subdivision,Kane County Water Conservancy District (Johnson Canyon),Kane County WCD - Johnson Canyon,C,656,10869,UTAH13038,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869, , ,Utah,Kane,Kanab Creek/Virgin River,10/2/2001,Johnson Wash,10-02-01a,Johnson Wash,1997, ,,ADAMCLARK,6/1/2017 0:00,,0.080287512,0.000240307
57,Kane County WCD - Johnson Canyon,Kane County Water Conservancy District (Johnson Canyon),Kane County WCD - Johnson Canyon,C,631,10869,UTAH13038,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869, , ,Utah,Kane,Kanab Creek/Virgin River,10/2/2001,Johnson Wash,10-02-01a,Johnson Wash,2018,DWRe/Supplier,4/29/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.779321232,0.002805184
493,Clark Bench Water Co.,Clark Bench Water Company Incorporated,Clark Bench,NP,653,10870,UTAH13060,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10870, , ,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,09-04-00a,Wahweep Creek,2010,DWRe/DWRi/Supplier,7/25/2019 0:00,ADAMCLARK,7/31/2019 0:00,,0.04741808,0.000134421
591,Bristlecone Water Improvement District,Bristlecone Water Improvement District,Bristlecone,NC,413,10871,UTAH09077,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10871, , ,Utah,Garfield,Sevier River,5/5/2001,East Fork Sevier,05-05-01a,East Fork Sevier,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.031117707,1.43E-05
1234,Paria Valley Livestock Co.,Paria Valley Livestock Company, ,NTNC,2670,10874, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10874, , ,Utah,Kane,Southeast Colorado River,9/5/2000,Paria River,09-05-00a,Paria,0,DWRe,9/11/2019 0:00,ADAMCLARK,9/11/2019 0:00,,0.040942202,5.60E-05
78,Angell Springs SSD,Angell Springs SSD,Angell Springs SSD,C,1579,10875,UTAH27074,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10875, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.065724406,0.000115486
1112,Causey Estates,Causey Estates,Causey Estates,NC,1679,10880,UTAH29047,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10880, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,0,DWRe,10/25/2017 0:00,ADAMCLARK,10/25/2017 0:00,,0.148673573,0.000229736
295,Highland City,Highland City (Culinary),Highland City,C,1305,10888,UTAH25014,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10888, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2018,DWRe/Supplier,4/23/2020 0:00,ADAMCLARK,4/23/2020 0:00,,0.421462845,0.002385536
490,Wolf Creek Ranch,Wolf Creek Ranch Homeowners Association Inc,Wolf Creek Ranch,C,2523,10890,UTAH26091,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10890, , ,Utah,Wasatch,Utah Lake,4/1/2006,Woodland,04-01-06a,Woodland,2018,DWRe/Supplier,11/7/2016 0:00,ADAMCLARK,10/16/2019 0:00,,0.494771962,0.005607629
470,Skyline Mountain SSD,Skyline Mountain SSD,Skyline Mtn SSD,C,2470,10891,UTAH20043,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=10891, , ,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,05-01-00a,Gunnison,2018,DWRe/Supplier,5/5/2020 0:00,ADAMCLARK,5/5/2020 0:00,,0.387513178,0.000645113
1262,Utah School and Institutional Trust Lands (Garfield County),Utah School and Institutional Trust Lands (Garfield County), ,NTNC,2671,10892, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10892, , ,Utah,Garfield,West Colorado River,9/3/2002,Lake Powell,09-03-02a,Lake Powell WColo,0,DWRe,9/13/2019 0:00,ADAMCLARK,9/13/2019 0:00,,0.031017771,3.77E-05
1226,Kolob Water Co.,Kolob Water Company, ,NTNC,2672,10893, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10893, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,0,DWRe,9/10/2019 0:00,ADAMCLARK,9/10/2019 0:00,,0.025113431,3.38E-05
1241,"Ritzo, Richard","Ritzo, Richard", ,NTNC,2673,10896, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10896, , ,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,06-02-01a,Parowan,0,DWRe,9/12/2019 0:00,ADAMCLARK,9/12/2019 0:00,,0.022228286,2.97E-05
601,Boulder Mountain Lodge,"Boulder Mountain Lodge, Inc.",Boulder Mountain Lodge,NC,447,10898,UTAH09067,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10898, , ,Utah,Garfield,West Colorado River,8/4/2001,Boulder,08-04-01a,Boulder,2010,DWRe/DWRi/Supplier,7/25/2019 0:00,ADAMCLARK,7/31/2019 0:00,,0.008003459,2.97E-06
487,Oquirrh Mountain Water Co.,Oquirrh Mountain Water Company,Oquirrh Mountain Water Co,C,1247,10904,UTAH23076,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10904, , ,Utah,Tooele,West Desert,00-05-02,Tooele Valley,00-05-02a,Tooele Valley,2018,DWRe,9/30/2016 0:00,ADAMCLARK,10/16/2019 0:00,,0.148085589,0.000691058
1165,Wilson Arch Resort Comm,Wilson Arch Water and Sewer Special Service District,Wilson Arch Resort Comm,C,2625,10908,UTAH19069,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10908, , ,Utah,San Juan,Southeast Colorado River,9/1/2005,Cane Spring,09-01-05a,Cane Spring,2018,DWRe/Supplier,4/29/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.038352448,7.19E-05
437,Hanna Water & Sewer Improvement District,Hanna Water and Sewer Improvement District,Hanna Water & Sewer Improvement District,C,344,10912,UTAH07062,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10912, , ,Utah,Duchesne,Uintah,7/3/2007,Tabiona,07-03-07a,Tabiona,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.613567606,0.006563201
110,Cross Hollow Hills Subdivision,CICWCD Cross Hollow Hills Water,Cross Hollow Hills Subdivision,C,550,10914,UTAH11055,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10914, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2017, ,,ADAMCLARK,10/2/2019 0:00,,0.084494339,0.000409272
121,Old Meadows Water Co.,Old Meadow Ranchos Community and Water Company,Old Meadows Water Co.,C,538,10921,UTAH11043,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10921, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2018,DWRe/DWRi/Supplier,7/25/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.025966615,3.57E-05
494,Grand Staircase Water Co.,"Grand Staircase Water Company, LLC",Grand Staircase Water Company,NTNC,2396,10928,UTAH13063,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10928, , ,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,09-04-00a,Wahweep Creek,2010,DWRe/Supplier,6/1/2017 0:00,ADAMCLARK,6/1/2017 0:00,,0.092953176,0.000318428
348,Croydon Pipeline Corp.,Croydon Pipeline Company,Croydon Pipeline Corporation,C,709,10931,UTAH15001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10931, , ,Utah,Morgan,Weber River,2/1/2005,Lost Creek,02-01-05a,Lost Creek,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.022277636,2.26E-05
1150,Kennecott Utah Copper LLC,Kennecott Utah Copper LLC, ,NTNC,2326,10944, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10944, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,0,DWRe,10/30/2017 0:00,ADAMCLARK,10/30/2017 0:00,,0.058633888,9.91E-05
520,Quality Excavation Inc.,Quality Venture One LC, ,NTNC,2405,10956, ,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10956, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2010,DWRe,11/10/2016 0:00,ADAMCLARK,5/16/2017 0:00,,0.003188192,6.12E-07
551,Basin Perlite Co.,Basin Perlite Company, ,NTNC,2127,10973, ,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10973, , ,Utah,Beaver,Cedar/Beaver,6/1/2002,Milford,06-01-02a,Milford,2009,DWRe,11/10/2016 0:00,ADAMCLARK,11/10/2016 0:00,,0.005893631,2.08E-06
420,East Grouse Creek Pipeline Co.,Grouse Creek Mun. Water,East Grouse Creek Pipeline Co.,C,43,10976,UTAH02010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10976, , ,Utah,Box Elder,West Desert,00-01-01,Grouse Creek,00-01-01a,Grouse Creek,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.106366322,0.000170229
62,Big Plains - Apple Valley,Big Plains Water & Sewer Special Service Dist - Apple Valley,Big Plains SW SSD - Apple Valley,C,1574,10986,UTAH27069,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10986, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2018, ,,ADAMCLARK,11/14/2019 0:00,,0.057524567,0.000161472
1063,Casper's Ice Cream,Casper's Ice Cream,Casper's Ice Cream,NTNC,168,10997,UTAH03102,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=10997, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,0,DWRe,10/11/2017 0:00,ADAMCLARK,10/11/2017 0:00,,0.006956463,2.05E-06
26,Young Oak Water Corp.,Emigration Improvement District,Young Oak Water Corp,NTNC,898,10999,UTAH18148,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10999, , ,Utah,Salt Lake,Jordan River,3/1/2003,Emigration Creek,03-01-03a,Emigration Creek,2005, ,,ADAMCLARK,5/31/2017 0:00,,0.010272119,7.32E-06
327,Emigration Improvement District,Emigration Improvement District,Emigration Imp District,C,894,10999,UTAH18143,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10999, , ,Utah,Salt Lake,Jordan River,3/1/2003,Emigration Creek,03-01-03a,Emigration Creek,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.185011195,0.000726763
747,Pacificorp - Currant Creek PP,PacifiCorp/Currant Creek Power Plant,Currant Creek,NP,603,11001,UTAH12024,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11001, , ,Utah,Juab,Utah Lake,4/1/2002,Nephi,04-01-02a,Nephi,0,DWRe,4/10/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.033447027,6.87E-05
892,Pacificorp - Lakeside PP,PacifiCorp/Lake Side Power Plant, ,NTNC,2468,11011, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11011, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,0,DWRe,8/16/2017 0:00,ADAMCLARK,8/16/2017 0:00,,0.017195719,1.86E-05
20,Little Plains,Little Plains,Big Plains SW SSD - Apple Valley,C,2156,11014,UTAH27069,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11014, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2005, ,,ADAMCLARK,6/1/2017 0:00,,0.055366355,0.000165351
1244,Savoy Energy LLC,Savoy Energy LLC, ,NTNC,2675,11036, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11036, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,0,DWRe,9/12/2019 0:00,ADAMCLARK,9/12/2019 0:00,,0.018424509,1.77E-05
1235,Parley`s Recreation Partners,Parley`s Recreation Partners, ,NTNC,2676,11037, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11037, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,0,DWRe/DWRi,9/11/2019 0:00,ADAMCLARK,9/11/2019 0:00,,0.143397148,0.000773365
566,Arrowhead Corporation,Arrowhead Investment Corporation,Arrowhead Investment Inc.,NC,10,11043,UTAH01012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11043, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.031892819,6.46E-05
4,Fifetown Water System,Central Iron County Water Conservancy District,Fifetown Water System,NP,559,11047,UTAH11065,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2005, ,,ADAMCLARK,5/31/2017 0:00,,0.029628587,5.42E-05
5,Eagle Valley Ranch,Eagle Valley Ranch,Eagle Valley Ranch,NP,551,11047,UTAH11056,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2005, ,,ADAMCLARK,6/1/2017 0:00,,0.064860926,0.000127022
6,Angus Water Co.,Central Iron County Water Conservancy District,Angus Water Company.,NP,542,11047,UTAH11047,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2005, ,,ADAMCLARK,6/1/2017 0:00,,0.051016091,9.69E-05
480,Central Iron County WCD,Central Iron County Water Conservancy District,Central Iron County Wcd,C,579,11047,UTAH11085,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11047, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2018,DWRe/Supplier,11/7/2019 0:00,ADAMCLARK,11/7/2019 0:00,,1.110786099,0.011136465
515,East Zion SSD,East Zion Special Service District,Zion Ponderosa Ranch Cabins,NC,637,11054,UTAH13044,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11054, , ,Utah,Kane,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,10-01-02a,North Fork Virgin,2010,DWRe,11/10/2016 0:00,ADAMCLARK,6/1/2017 0:00,,0.164126446,0.00035253
663,Lake Rockport Estates,Lake Rockport Estates Property Owners,Lake Rockport Estates,C,1156,11055,UTAH22104,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11055, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2018,DWRe,1/10/2017 0:00,ADAMCLARK,2/11/2020 0:00,,0.110907481,0.000332387
1116,Snowbasin Resort,Snowbasin Resort Company,Snowbasin Resort,NTNC,1693,11059,UTAH29071,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11059, , ,Utah,Weber,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,0,DWRe,10/25/2017 0:00,ADAMCLARK,10/25/2017 0:00,,0.047353,4.69E-05
562,Hi-Lo Estates,Hi-Lo Estates Owners Association,Hi-Lo Estates,NC,13,11063,UTAH01016,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11063, , ,Utah,Beaver,Cedar/Beaver,6/1/2001,Beaver,06-01-01a,Beaver,2010,DWRe,11/14/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.017450758,1.79E-05
460,Paunsaugunt Cliffs SSD,Paunsaguant Cliffs Special Service District,Paunsagunt Cliffs SSD,C,2409,11064,UTAH09085,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11064, , ,Utah,Garfield,Sevier River,5/6/2002,Panguitch,05-06-02a,Panguitch,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.068131507,0.000216108
549,"Thermo No. 1 BE-01, LLC","Thermo No. 1 BE-01, LLC", ,NTNC,2397,11068, ,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11068, , ,Utah,Beaver,Cedar/Beaver,6/1/2002,Milford,06-01-02a,Milford,2010,DWRe,11/10/2016 0:00,ADAMCLARK,9/13/2019 0:00,,0.058925156,0.000112756
579,Aspen Highlands Water Co.,Aspen Highlands Water Company,Aspen Highlands Subdivision,NC,405,11069,UTAH09023,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11069, , ,Utah,Garfield,Sevier River,5/6/2001,Navajo Lake,05-06-01a,Navajo Lake,2010,DWRe,11/16/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.114984366,0.000224171
1094,Powder Mountain WSID,Powder Mountain Water and Sewer District,Powder Mountain WSID,NC,1662,11071,UTAH29028,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11071, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,0,DWRe,10/18/2017 0:00,ADAMCLARK,10/18/2017 0:00,,0.018269186,1.94E-05
471,Whispering Pines Water Co.,Whispering Pines Water Company,Whispering Pines Water Co.,C,2419,11072,UTAH20048,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11072, , ,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,05-01-00a,Gunnison,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.099639283,0.000525771
