ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,REPORTING_UNIT_NAME,REPORTING_UNIT_TYPE,STATE,COUNTY_FIPS,HUC
TWDB,2001,48317,FRANKLIN,County,55,48317,
TWDB,2001,48321,FREESTONE,County,55,48321,
TWDB,2001,48325,FRIO,County,55,48325,
TWDB,2001,48329,GAINES,County,55,48329,
TWDB,2001,48333,GALVESTON,County,55,48333,
TWDB,2001,48337,GARZA,County,55,48337,
TWDB,2001,48341,GILLESPIE,County,55,48341,
TWDB,2001,48345,GLASSCOCK,County,55,48345,
TWDB,2001,48349,GOLIAD,County,55,48349,
TWDB,2001,48353,GONZALES,County,55,48353,
TWDB,2001,48357,GRAY,County,55,48357,
TWDB,2001,48361,GRAYSON,County,55,48361,
TWDB,2001,48365,GREGG,County,55,48365,
TWDB,2001,48369,GRIMES,County,55,48369,
TWDB,2001,48373,GUADALUPE,County,55,48373,
TWDB,2001,48377,HALE,County,55,48377,
TWDB,2001,48381,HALL,County,55,48381,
TWDB,2001,48385,HAMILTON,County,55,48385,
TWDB,2001,48389,HANSFORD,County,55,48389,
TWDB,2001,48393,HARDEMAN,County,55,48393,
TWDB,2001,48397,HARDIN,County,55,48397,
TWDB,2001,48401,HARRIS,County,55,48401,
TWDB,2001,48405,HARRISON,County,55,48405,
TWDB,2001,48409,HARTLEY,County,55,48409,
TWDB,2001,48413,HASKELL,County,55,48413,
TWDB,2001,48417,HAYS,County,55,48417,
TWDB,2001,48421,HEMPHILL,County,55,48421,
TWDB,2001,48425,HENDERSON,County,55,48425,
TWDB,2001,48429,HIDALGO,County,55,48429,
TWDB,2001,48433,HILL,County,55,48433,
TWDB,2001,48437,HOCKLEY,County,55,48437,
TWDB,2001,48441,HOOD,County,55,48441,
TWDB,2001,48445,HOPKINS,County,55,48445,
TWDB,2001,48449,HOUSTON,County,55,48449,
TWDB,2001,48453,HOWARD,County,55,48453,
TWDB,2001,48457,HUDSPETH,County,55,48457,
TWDB,2001,48461,HUNT,County,55,48461,
TWDB,2001,48465,HUTCHINSON,County,55,48465,
TWDB,2001,48469,IRION,County,55,48469,
TWDB,2001,48473,JACK,County,55,48473,
TWDB,2001,48477,JACKSON,County,55,48477,
