MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2608.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad SiteUUID,9585.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1742.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad SiteUUID,9586.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2199.39,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad SiteUUID,9587.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2696.26,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad SiteUUID,9588.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,3149.12,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2006,,12/31/2006,01/01/2006,Bad SiteUUID,9589.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2137.87,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1989,,12/31/1989,01/01/1989,Bad SiteUUID,9590.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,146.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1990,,12/31/1990,01/01/1990,Bad SiteUUID,9591.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,261.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1991,,12/31/1991,01/01/1991,Bad SiteUUID,9592.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,200.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1992,,12/31/1992,01/01/1992,Bad SiteUUID,9593.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2089.22,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1993,,12/31/1993,01/01/1993,Bad SiteUUID,9594.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1056.7,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1978,,12/31/1978,01/01/1978,Bad SiteUUID,9595.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1021.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1979,,12/31/1979,01/01/1979,Bad SiteUUID,9596.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,196.3,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1982,,12/31/1982,01/01/1982,Bad SiteUUID,9597.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1475.9,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1983,,12/31/1983,01/01/1983,Bad SiteUUID,9598.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1673.9,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1984,,12/31/1984,01/01/1984,Bad SiteUUID,9599.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1909.5,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1985,,12/31/1985,01/01/1985,Bad SiteUUID,9600.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1641.6,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1986,,12/31/1986,01/01/1986,Bad SiteUUID,9601.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1992.1,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1987,,12/31/1987,01/01/1987,Bad SiteUUID,9602.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2136.9,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1988,,12/31/1988,01/01/1988,Bad SiteUUID,9603.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,841.4,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1976,,12/31/1976,01/01/1976,Bad SiteUUID,9604.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1069.4,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1980,,12/31/1980,01/01/1980,Bad SiteUUID,9605.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1137.3,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1981,,12/31/1981,01/01/1981,Bad SiteUUID,9606.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1159.8,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1982,,12/31/1982,01/01/1982,Bad SiteUUID,9607.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,26.4,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1989,,12/31/1989,01/01/1989,Bad SiteUUID,9608.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,39.89,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1990,,12/31/1990,01/01/1990,Bad SiteUUID,9609.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,52.28,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1991,,12/31/1991,01/01/1991,Bad SiteUUID,9610.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,44.06,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1992,,12/31/1992,01/01/1992,Bad SiteUUID,9611.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,45.8,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1993,,12/31/1993,01/01/1993,Bad SiteUUID,9612.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,40.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1996,,12/31/1996,01/01/1996,Bad SiteUUID,9613.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,103.34,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1997,,12/31/1997,01/01/1997,Bad SiteUUID,9614.0
