SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S1442,,COss_WS185,,Unspecified,CONEJOS,4326,,1385432.0,,,37.360366,-106.040282,,,POD,W0107 WELL NO 03,WaDECO_S2318,,WELL,CO,
COss_S1443,,COss_WS185,,Unspecified,CONEJOS,4326,,1385432.0,,,37.359825,-106.039303,,,POD,W0108 WELL NO 01,WaDECO_S2319,,WELL,CO,
COss_S1444,,COss_WS57,,Unspecified,BOULDER,4326,,178354.0,,,40.035346999999994,-105.153405,,,POD,BELL IRR SUMP,WaDECO_S232,,WELL,CO,
COss_S1445,,COss_WS186,,Unspecified,CONEJOS,4326,,,,,37.379566,-106.04832900000001,,,POD,W0109 WELL NO 02,WaDECO_S2320,,WELL,CO,
COss_S1446,,COss_WS185,,Unspecified,CONEJOS,4326,,1385432.0,,,37.379143,-106.05729099999999,,,POD,W0109 WELL NO 03,WaDECO_S2321,,WELL,CO,
COss_S1447,,COss_WS186,,Unspecified,CONEJOS,4326,,,,,37.379121999999995,-106.05668100000001,,,POD,W0109 WELL NO 04,WaDECO_S2322,,WELL,CO,
COss_S1448,,COss_WS186,,Unspecified,CONEJOS,4326,,,,,37.357621,-106.047922,,,POD,W0109 WELL NO 07,WaDECO_S2323,,WELL,CO,
COss_S1449,,COss_WS185,,Unspecified,CONEJOS,4326,,1385432.0,,,37.366826,-106.039592,,,POD,W0109 WELL NO 08,WaDECO_S2324,,WELL,CO,
COss_S1450,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.430037,-106.156925,,,POD,W0114 WELL NO 01,WaDECO_S2325,,WELL,CO,
COss_S1451,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.699078,-106.066107,,,POD,W0115 WELL NO 04,WaDECO_S2326,,WELL,CO,
COss_S1452,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.67184,-106.093747,,,POD,W0115 WELL NO 05,WaDECO_S2327,,WELL,CO,
COss_S1453,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.669129,-106.12137299999999,,,POD,W0115 WELL NO 06,WaDECO_S2328,,WELL,CO,
COss_S1454,,COss_WS186,,Unspecified,CONEJOS,4326,,,,,37.364528,-106.08464,,,POD,W0120 WELL NO 01,WaDECO_S2329,,WELL,CO,
COss_S1455,,COss_WS58,,Unspecified,BOULDER,4326,,180974.0,,,40.003948,-105.21583899999999,,,POD,HUNTER/HINE DITCH,WaDECO_S233,,DITCH,CO,
COss_S1456,,COss_WS186,,Unspecified,CONEJOS,4326,,,,,37.372076,-106.07542,,,POD,W0120 WELL NO 02,WaDECO_S2330,,WELL,CO,
COss_S1457,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.554279,-106.08338799999999,,,POD,W0122 WELL NO 01,WaDECO_S2331,,WELL,CO,
COss_S1458,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.555142,-106.08464599999999,,,POD,W0122 WELL NO 02,WaDECO_S2332,,WELL,CO,
COss_S1459,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.545636,-106.09308899999999,,,POD,W0122 WELL NO 09,WaDECO_S2333,,WELL,CO,
COss_S1460,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.619376,-106.121475,,,POD,W0122 WELL NO 11,WaDECO_S2334,,WELL,CO,
COss_S1461,,COss_WS186,,Unspecified,RIO GRANDE,4326,,,,,37.404847,-106.07556100000001,,,POD,W0127 WELL NO 01,WaDECO_S2335,,WELL,CO,
COss_S1462,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.681382,-106.176423,,,POD,W0130 WELL NO 02,WaDECO_S2336,,WELL,CO,
COss_S1463,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.675866,-106.16644699999999,,,POD,W0130 WELL NO 04,WaDECO_S2337,,WELL,CO,
COss_S1464,,COss_WS185,,Unspecified,RIO GRANDE,4326,,1385432.0,,,37.6308,-106.13043,,,POD,W0131 WELL NO 01,WaDECO_S2338,,WELL,CO,
COss_S1465,,COss_WS186,,Unspecified,CONEJOS,4326,,,,,37.351468,-106.08461000000001,,,POD,W0135 WELL NO 01,WaDECO_S2339,,WELL,CO,
COss_S1466,,COss_WS59,,Unspecified,BOULDER,4326,,178354.0,,,40.028461,-105.108549,,,POD,BULL HEAD GULCH P L,WaDECO_S234,,PIPELINE,CO,
COss_S1467,,COss_WS186,,Unspecified,CONEJOS,4326,,,,,37.358073,-106.08381299999999,,,POD,W0135 WELL NO 02,WaDECO_S2340,,WELL,CO,
