USE TYPE,STATE,COUNTY,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Major and Minor Reservoirs,Colorado,san juan-colorado river,8718.1521,8145.4603,6444.7319,8141.3634,6485.9750,6092.6800,4607.9900,6201.9300,5464.5700,6250.3200,8883.1300,9074.7900,8857.9210,9035.3300,8928.1200,8792.6560,9642.8628,9794.9391,9883.1631,8857.9004,9625.6651,9556.4669,9306.0026,9586.3628,9672.6711,9084.9739,8946.8694,9778.0419,9652.2977,9337.4372,9775.4494,8118.6331,8822.7631,9499.7130,9244.5642,10073.6592,9972.9025,9501.2974,9969.4788,9240.5756,9922.8776,9702.8404,8783.2476,10097.2142,9431.4572,10128.3022,10117.1929,8931.9623,0.0000,0.0000
Major and Minor Reservoirs,New Mexico,san juan-colorado river,21105.2991,20691.1894,28908.2112,22346.1191,26931.6400,26885.6462,24072.7901,25937.5900,29253.2281,30546.2213,27867.9900,29967.4500,32321.9100,32824.1800,32836.2799,31842.2386,25993.8898,25979.8406,28553.7268,28348.6625,32265.9156,33199.0470,32597.7622,32096.2479,31797.4820,28830.2691,30256.5853,30794.3442,29616.2811,28497.3475,27631.8544,21959.3357,18153.8757,21421.0567,30459.5824,30866.9452,32393.4683,28666.4918,28946.5334,29827.6094,29032.1857,26025.6350,21384.8263,24057.9478,28219.7078,29656.3534,29458.0258,24394.9074,0.0000,0.0000
Major and Minor Reservoirs,Utah,green river,41507.0000,42374.0000,40836.0000,51506.0000,42221.0000,30427.1567,32688.3038,36654.8754,35271.8038,36018.6433,49309.8810,45048.2721,46858.2401,51319.5618,57373.2611,68159.3989,68109.9903,56076.2904,62984.9807,43357.1332,69077.3723,66935.9206,70125.4294,70091.9202,70848.3552,68181.4745,70261.8324,73526.1479,76867.2823,72771.1741,73970.7506,70892.3225,69869.1721,68094.6744,71574.0012,72977.9562,71046.6205,72613.9565,75582.0086,76555.7387,78792.7447,78488.7857,73191.5757,71014.1240,70112.3884,70116.5685,74039.0790,71895.7495,0.0000,0.0000
Major and Minor Reservoirs,Utah,upper main stem,100.0000,100.0000,100.0000,100.0000,100.0000,314.0000,364.0000,391.0000,326.0000,376.0000,574.0800,534.0200,511.1100,545.0600,553.1800,1445.7086,1398.6016,1453.8073,1453.8073,1453.8073,1453.8073,1453.8073,1414.8173,1453.8073,1446.0417,1453.8073,1373.3703,1453.8073,1441.8671,1453.8073,1453.8073,1453.8073,1453.8073,1453.8073,1434.1187,1449.2239,1453.8073,1453.8073,1453.8073,1415.3126,1453.8073,1453.8073,1453.8073,1446.1218,1418.4088,1453.8073,1453.8073,1453.8073,0.0000,0.0000
Major and Minor Reservoirs,Utah,san juan-colorado river,15600.0000,16600.0000,15300.0000,19900.0000,13400.0000,4927.0000,5209.0000,6212.0000,5810.0000,6129.0000,8625.1800,8038.6400,8230.4400,8393.5500,8065.8200,6600.9088,6534.9462,6613.8220,6613.8220,6613.8220,6613.8220,6613.8220,6608.0006,6613.8220,6613.8220,6613.8220,6556.0857,6613.8220,6613.8220,6613.5609,6613.8220,6613.8220,6613.8220,6599.9147,6559.5012,6613.8220,6613.8220,6613.8220,6613.8220,6430.5827,6613.8220,6613.8220,6613.8220,6613.8220,6423.5391,6613.8220,6613.8220,6613.8220,0.0000,0.0000
Major and Minor Reservoirs,Wyoming,green river,27487.2729,30416.6309,29609.7747,30593.1174,27746.5997,27218.0533,26187.1460,28680.8808,28959.6976,29176.2729,46477.6529,44986.5596,43091.8596,41305.2267,39076.0486,29785.4586,27997.8012,25479.0076,31972.4842,34820.7138,32323.7627,28385.5431,32563.5297,31846.3673,31828.7146,32968.4271,34367.6882,34160.4473,34687.3119,31099.9445,32753.2225,34811.4058,35519.8135,36481.8914,35914.9482,36071.8901,34206.9421,35336.7357,36147.4125,35288.2283,34782.5554,36372.8858,34445.8389,37155.8014,36733.4514,37868.9866,38062.5758,35677.4438,0.0000,0.0000
M & I,Arizona,san juan-colorado river,2900.0000,3600.0000,3200.0000,3700.0000,2900.0000,2900.0000,3100.0000,3800.0000,3600.0000,3600.0000,6580.0000,6610.0000,6970.0000,7500.0000,7170.0000,6789.0000,6663.0000,7570.0000,7486.0000,7172.0000,5964.0000,5695.0000,5678.0000,5804.0000,6350.0000,5689.7473,4933.2689,5268.7075,5306.3304,5194.4371,4929.9979,5099.5563,5096.2393,4809.9532,5032.0746,4922.1748,3512.6089,3650.8201,4188.0661,5235.5416,4541.9486,4118.9176,4111.0077,4062.0117,4458.7642,5252.8279,5268.6905,5291.8113,0.0000,0.0000
M & I,Colorado,green river,1900.0000,2000.0000,2100.0000,2200.0000,2200.0000,1460.0000,1560.0000,1670.0000,1780.0000,1900.0000,1900.0000,1900.0000,1910.0000,1910.0000,1910.0000,2162.0000,2095.0000,2020.0000,1949.0000,1905.0000,2084.0000,2299.0000,2467.0000,2678.0000,2858.0000,2920.0000,2979.0000,3035.0000,3092.0000,3148.0000,3223.0000,3298.0000,3372.0000,3446.0000,3521.0000,3396.0000,3437.0000,3479.0000,3521.0000,3560.0000,3608.0000,3653.0000,3699.0000,3745.0000,3791.0000,3841.0000,3890.0000,3940.0000,0.0000,0.0000
M & I,Colorado,upper main stem,13300.0000,13600.0000,13900.0000,14200.0000,14500.0000,9810.0000,10210.0000,10640.0000,11090.0000,11530.0000,13070.0000,13840.0000,14620.0000,15390.0000,16160.0000,19512.0000,19010.0000,18491.0000,17987.0000,17462.0000,18595.0000,19792.0000,21040.0000,22237.0000,23367.0000,24246.0000,25122.0000,25999.0000,26875.0000,27752.0000,28844.0000,29935.0000,31028.0000,32119.0000,33211.0000,31498.0000,32122.0000,32746.0000,33371.0000,33996.0000,34727.0000,35462.0000,36194.0000,36924.0000,37658.0000,38477.0000,39292.0000,40109.0000,0.0000,0.0000
M & I,Colorado,san juan-colorado river,3000.0000,3100.0000,3300.0000,3400.0000,3600.0000,2490.0000,2540.0000,2610.0000,2690.0000,2750.0000,2980.0000,3090.0000,3210.0000,3320.0000,3440.0000,4136.0000,4057.0000,3955.0000,3875.0000,3820.0000,4034.0000,4227.0000,4526.0000,4717.0000,4930.0000,5087.0000,5243.0000,5400.0000,5557.0000,5714.0000,5915.0000,6120.0000,6323.0000,6526.0000,6729.0000,6216.0000,6300.0000,6383.0000,6467.0000,6551.0000,6646.0000,6740.0000,6832.0000,6926.0000,7021.0000,7122.0000,7223.0000,7325.0000,0.0000,0.0000
M & I,New Mexico,san juan-colorado river,3900.0000,4100.0000,4300.0000,4500.0000,4800.0000,5060.0000,5260.0000,5450.0000,5670.0000,5880.0000,9500.0000,9100.0000,8500.0000,8200.0000,7900.0000,7959.7100,9760.2100,8690.5100,10685.6100,9611.9100,10395.8239,9467.1750,10743.7314,10743.7531,10699.6042,14022.8799,12910.8947,16785.5765,15787.2315,17412.9267,15385.6336,16336.0546,19286.5764,17989.9406,18754.7103,15953.4500,16325.4500,16852.4500,15238.4500,13357.4500,12671.3894,14985.3884,12693.9423,13270.7662,13386.5809,11972.4500,14985.4500,14985.4500,0.0000,0.0000
M & I,Utah,green river,4200.0000,4300.0000,4300.0000,4300.0000,4400.0000,3790.0000,3980.0000,4180.0000,4380.0000,4600.0000,5570.0000,6060.0000,6550.0000,7040.0000,7530.0000,12887.0000,12426.0000,11947.0000,11483.0000,11000.0000,10977.0000,10967.0000,11009.0000,10998.0000,10977.0000,11020.0000,11047.0000,11078.0000,11107.0000,11137.0000,11235.0000,11329.0000,11425.0000,11522.0000,11628.0000,12333.0000,12532.0000,12738.0000,12933.0000,13130.0000,13368.0000,13603.0000,13849.0000,14083.0000,14319.0000,14586.0000,14862.0000,15126.0000,0.0000,0.0000
