WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDMetadataID
100744,100744,DEITRICH DITCH 3,,,-104.502283,39.279966,,5107,Spotted from section lines,0.01,0.01,
100745,100745,DRY CREEK STOCK WATER,,,-104.541321,39.347645,,5107,Spotted from quarters,0.01,0.01,
100746,100746,EGELHOFF GROVE DITCH,,,-104.439154,39.619164,,5107,Spotted from quarters,0.01,0.01,
100747,100747,EHLER DITCH,,,-104.474969,39.378714,,5107,GPS,0.01,0.01,
100749,100749,FRENCH WASTE WATER DITCH,,,-104.546276,40.429625,,5107,GPS,0.01,0.01,
100750,100750,FUQUA PUMPING SYSTEM,,,-104.508724,40.449499,,5107,GPS,0.01,0.01,
100751,100751,GALETON DRAIN DITCH,,,-104.588963,40.502465,,5107,Spotted from section lines,0.01,0.01,
100752,100752,GALLUP TILE,,,-104.646811,40.560868,,5107,GPS,0.01,0.01,
100753,100753,REYNOLDS PUMP PLANT,,,-104.616464,39.35781,,5107,Spotted from section lines,0.01,0.01,
100755,100755,GRIFFIN PUMPING PLANT,,,-104.862182,40.895691,,5107,GPS,0.01,0.01,
100756,100756,KOCH PUMP,,,-104.587703,39.335942,,5107,Spotted from section lines,0.01,0.01,
100757,100757,HAYDEN DITCH 1,,,-104.466183,39.119962,,5107,GPS,0.01,0.01,
100758,100758,HAYDEN DITCH 2,,,-104.463558,39.119788,,5107,GPS,0.01,0.01,
100759,100759,HEAGNEY IRR SYS,,,-103.489794,39.868324,,5107,Spotted from quarters,0.01,0.01,
100760,100760,HECKMAN DIVERSION 1,,,-104.677414,40.571245,,5107,GPS,0.01,0.01,
100761,100761,HELZER WASTE DITCH,,,-104.620832,40.500822,,5107,GPS,0.01,0.01,
100762,100762,LONE TREE CR/LAZY D,,,-104.857443,40.891172,,5107,GPS,0.01,0.01,
100763,100763,HIGHLINE DITCH 4,,,-104.315801,40.233356,,5107,Spotted from quarters,0.01,0.01,
100764,100764,HIGHLINE DITCH 1,,,-104.318145,40.235159,,5107,Spotted from quarters,0.01,0.01,
100765,100765,HIGHLINE DITCH 2,,,-104.318145,40.235159,,5107,Spotted from quarters,0.01,0.01,
100766,100766,HIGHLINE DITCH 5,,,-104.313461,40.233361,,5107,Spotted from quarters,0.01,0.01,
100767,100767,HIGHLINE DITCH 6,,,-104.308784,40.238774,,5107,Spotted from quarters,0.01,0.01,
100768,100768,SHEELEY DITCH,,,-104.477599,40.076687,,5107,Spotted from section lines,0.01,0.01,
100769,100769,ROBERTS STOCK WATER DIVR,,,-103.821343,40.291178,,5107,Spotted from quarters,0.01,0.01,
100770,100770,INLET D TO GREASEWOOD R,,,-104.347875,40.59526,,5107,GPS,0.01,0.01,
100771,100771,JIM CREEK DITCH,,,-104.584666,40.101791,,5107,GPS,0.01,0.01,
100772,100772,JOHNSON EDWARD DR SYS D,,,-103.460933,40.397646,,5107,Digitized,0.01,0.01,
100773,100773,KAUFFMAN  DITCH & PONDS,,,-104.394283,40.088511,,5107,Spotted from quarters,0.01,0.01,
100774,100774,KAUFFMAN DIV STRUCTURE 1,,,-104.436465,40.123074,,5107,Spotted from quarters,0.01,0.01,
100775,100775,KENT KUCERA IRR SYSTEM,,,-104.45917,39.129437,,5107,GPS,0.01,0.01,
100776,100776,CARPENTER BIJOU CR PUMP,,,-103.871125,40.284041,,5107,Digitized,0.01,0.01,
100778,100778,KREPS WILLOW CREEK DITCH,,,-104.589253,40.50607,,5107,Spotted from section lines,0.01,0.01,
100782,100782,LEACH RES OVERFLOW DITCH,,,-104.487881,39.305093,,5107,Spotted from section lines,0.01,0.01,
100783,100783,LITTLEFIELD SPREADER D,,,-103.770722,40.540553,,5107,GPS,0.01,0.01,
100785,100785,ALLES SEEPAGE SYS,,,-104.49157,40.493752,,5107,GPS,0.01,0.01,
100786,100786,BICKLING PL SUMP,,,-104.639862,40.49213,,5107,Spotted from section lines,0.01,0.01,
100787,100787,BRONSON DITCH,,,-104.570666,40.45779,,5107,Spotted from quarters,0.01,0.01,
100790,100790,ELL TRIANGLE DITCH,,,-104.312226,39.826292,,5107,Spotted from quarters,0.01,0.01,
100792,100792,FERGUSON DITCH,,,-104.523582,40.389259,,5107,Spotted from section lines,0.01,0.01,
100793,100793,FLANIGAN PUMP & PL,,,-104.579312,40.096305,,5107,Spotted from section lines,0.01,0.01,
100794,100794,FOSS SUMP/DRAIN LINE SYS,,,-104.508022,40.464838,,5107,GPS,0.01,0.01,
100795,100795,HARMON WASTE DITCH,,,-104.659374,40.6042,,5107,Spotted from quarters,0.01,0.01,
100796,100796,IDYL WEISS DITCH,,,-104.604195,39.41245,,5107,Spotted from section lines,0.01,0.01,
100797,100797,WENDLING DITCH HGT 2,,,-104.468652,39.343589,,5107,GPS,0.01,0.01,
100798,100798,LEFFORAGE STOCK DITCH,,,-104.112393,40.343153,,5107,Spotted from section lines,0.01,0.01,
100800,100800,LONE TREE CR/SLATER,,,-104.883782,40.898859,,5107,GPS,0.01,0.01,
100801,100801,LONE TREE CR/DEPORTER,,,-104.82573,40.856878,,5107,GPS,0.01,0.01,
100802,100802,LONE TREE CR/STUHR,,,-104.86912,40.898744,,5107,GPS,0.01,0.01,
100803,100803,LUNDOCK DRAINAGE SYS,,,-104.042072,40.37252,,5107,Digitized,0.01,0.01,
100804,100804,M H DITCH 3,,,-103.995742,39.393081,,5107,GPS,0.01,0.01,
100805,100805,MAGNUSON FLOOD DIVR A,,,-104.316608,40.716615,,5107,GPS,0.01,0.01,
100806,100806,MAGNUSON FLOOD DIVR B,,,-104.316938,40.718082,,5107,Spotted from quarters,0.01,0.01,
100810,100810,MCKELVEY SEEP DITCH,,,-104.6221,40.552483,,5107,GPS,0.01,0.01,
100812,100812,MILLAGE RES DITCH,,,-104.540954,40.435541,,5107,GPS,0.01,0.01,
100813,100813,MIMMACK DITCH,,,-104.657512,40.528693,,5107,GPS,0.01,0.01,
100814,100814,LONE TREE CR/MOORE,,,-104.870663,40.899196,,5107,GPS,0.01,0.01,
100816,100816,N SIDE LTL UNAMED PTDV,,,-104.615394,40.498299,,5107,GPS,0.01,0.01,
100817,100817,N SIDE LTL WILLOW C PTDV,,,-104.589317,40.504772,,5107,Spotted from section lines,0.01,0.01,
100818,100818,NEW SAND CREEK LAT DITCH,,,-104.652031,40.453713,,5107,Digitized,0.01,0.01,
100820,100820,NILE DITCH (UPPER),,,-104.101959,39.931101,,5107,Digitized,0.01,0.01,
100821,100821,NORTH SIDE LATERAL DITCH,,,-104.639797,40.489982,,5107,Digitized,0.01,0.01,
100824,100824,P STATION 1 PLUMBUSH,,,-103.577329,39.85738,,5107,Spotted from quarters,0.01,0.01,
