OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
CODWR,UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Blacks Fork,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Muddy,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Lower White,10/1/2013
CODWR,NEBRASKA VS. WYOMING,Duchesne,10/1/2013
CODWR,WYOMING VS. COLORADO,Strawberry,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Lower Green-Desolation Canyon,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Willow,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Price,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Lower Green,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,San Rafael,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Lower Green-Diamond,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Upper Lake Powell,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Muddy,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Fremont,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Dirty Devil,10/1/2013
CODWR,COLORADO RIVER COMPACT,Escalante,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Lower Lake Powell,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Paria,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Lower San Juan-Four Corners,10/1/2013
CODWR,COLORADO RIVER COMPACT,McElmo,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Montezuma,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Chinle,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Lower San Juan,10/1/2013
CODWR,COLORADO RIVER COMPACT,Kanab,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Upper Virgin,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Fort Pearce Wash,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Lower Virgin,10/1/2013
CODWR,COLORADO RIVER COMPACT,Meadow Valley Wash,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Upper Bear,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Central Bear,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Bear Lake,10/1/2013
CODWR,COLORADO RIVER COMPACT,Middle Bear,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Little Bear-Logan,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Lower Bear-Malad,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Upper Weber,10/1/2013
