SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV,HUC8,HUC12,County
AZ_333548111564801,333548111564801,Unspecified,,GWSI,-111.94872432468966,33.59599084464702,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_333546111563801,333546111563801,Unspecified,,GWSI,-111.94873122065046,33.594159928682245,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_333818111580901,333818111580901,Unspecified,,GWSI,-111.97013520404059,33.637808146892084,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_332302112162701,332302112162701,Unspecified,,GWSI,-112.27496907014098,33.38384108877821,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_332614111311101,332614111311101,Unspecified,,INDEX,-111.51903843038782,33.43778539334221,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_332528111283401,332528111283401,Unspecified,,GWSI,-111.47564368673966,33.406859691946416,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_333637112090401,333637112090401,Unspecified,,GWSI,-112.1522842712851,33.609837878725536,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_333637112093301,333637112093301,Unspecified,,GWSI,-112.16093420909583,33.60983816397919,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334230112070901,334230112070901,Unspecified,,INDEX,-112.1208029348324,33.7065015081109,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_333837112103701,333837112103701,Unspecified,,GWSI,-112.17668066783996,33.641859168044014,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_333837112100701,333837112100701,Unspecified,,GWSI,-112.17021942578683,33.64192049424284,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334238112042301,334238112042301,Unspecified,,GWSI,-112.0712636206479,33.71402079511707,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334236112042401,334236112042401,Unspecified,,GWSI,-112.07342261415398,33.71398401233115,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334158112581801,334158112581801,Unspecified,,GWSI,-111.9720052550032,33.699590973404284,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334103111583601,334103111583601,Unspecified,,GWSI,-111.97635919429162,33.685099400754375,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334004111573501,334004111573501,Unspecified,,GWSI,-111.96120856828765,33.66876771433815,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
