SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAss_S840,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,THE MORNING STAR PACKING COMPANY,,,,CA,,Bad Latitude,839.0
CAss_S851,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CITY OF MERCED,,,,CA,,Bad Latitude,850.0
CAss_S856,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CDPR FOUR RIVERS DISTRICT-BASALT,,,,CA,,Bad Latitude,855.0
CAss_S857,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CDPR FOUR RIVERS DISTRICT-SAN LUIS CREEK,,,,CA,,Bad Latitude,856.0
CAss_S858,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CDPR-SECTOR WIDE POTABLE WATER TANKS,,,,CA,,Bad Latitude,857.0
CAss_S860,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,DWR - SAN LUIS DIVISION O&M,,,,CA,,Bad Latitude,859.0
CAss_S864,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,VIRGINIA LAKES MUTUAL WATER CO.,,,,CA,,Bad Latitude,863.0
CAss_S865,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,TOPAZ LAKE RV PARK,,,,CA,,Bad Latitude,864.0
CAss_S871,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,HOT CREEK HATCHERY,,,,CA,,Bad Latitude,870.0
CAss_S879,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,ECHO VALLEY SCHOOL WS,,,,CA,,Bad Latitude,878.0
CAss_S892,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,OASIS CAFE WS,,,,CA,,Bad Latitude,891.0
CAss_S908,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CHAMISAL WA,,,,CA,,Bad Latitude,907.0
CAss_S928,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,ROSEHART INDUSTRIAL PARK WS,,,,CA,,Bad Latitude,927.0
CAss_S941,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,GROWERS SERVICE ASSN WS (ICE),,,,CA,,Bad Latitude,940.0
CAss_S945,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CAMPHORA-GLORIA RD WS #01,,,,CA,,Bad Latitude,944.0
CAss_S946,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,UNITARIAN UNIVERSALIST CHURCH WS,,,,CA,,Bad Latitude,945.0
CAss_S947,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,HOLMAN RANCH WS,,,,CA,,Bad Latitude,946.0
CAss_S948,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,ALCO WATER SERVICE,,,,CA,,Bad Latitude,947.0
CAss_S976,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CALISTOGA RANCH,,,,CA,,Bad Latitude,975.0
CAss_S978,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,"WOODLOT ASSOC.,INC.",,,,CA,,Bad Latitude,977.0
CAss_S979,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,DOMAINE CHANDON,,,,CA,,Bad Latitude,978.0
CAss_S980,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,NAPA COUNTY SCHOOLS: POPE VALLEY,,,,CA,,Bad Latitude,979.0
