,WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV
280,,1,Not Provided,,OTHER DIVERSION,,,,,,,,,,,,,,,
281,,1,Not Provided,,OTHER DIVERSION,,,,,,,,,,,,,,,
282,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
283,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
284,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
285,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
286,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
287,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
288,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
289,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
290,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
291,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
292,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
293,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
294,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
295,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
296,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
297,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
298,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
299,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
300,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
301,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
302,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
303,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
304,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
305,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
306,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
307,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
308,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
309,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
310,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
311,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
312,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
313,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
314,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
315,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
316,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
317,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
318,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
319,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
320,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
321,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
322,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
323,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
324,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
325,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
326,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
327,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
328,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
329,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
330,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
331,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
332,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
333,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
334,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
335,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
336,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
337,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
338,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
339,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
340,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
341,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
342,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
343,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
344,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
345,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
346,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
347,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
348,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
349,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
350,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
351,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
352,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
353,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
354,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
355,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
356,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
357,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
358,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
359,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
360,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
361,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
362,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
363,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
364,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
365,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
366,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
367,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
368,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
369,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
370,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
371,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
372,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
373,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
374,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
375,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
376,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
377,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
378,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
379,,2,Not Provided,,WELL,,,,,,,,,,,,,,,
380,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
381,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
382,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
383,,1,Not Provided,,WINDMILL,,,,,,,,,,,,,,,
384,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
385,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
386,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
387,,1,Not Provided,,PIPELINE,,,,,,,,,,,,,,,
388,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
389,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
390,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
391,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
392,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
393,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
394,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
395,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
396,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
397,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
398,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
399,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
400,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
401,,1,Not Provided,,SPRING BOX,,,,,,,,,,,,,,,
402,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
403,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
404,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
405,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
406,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
407,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
408,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
409,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
410,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
411,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
412,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
413,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
414,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
415,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
416,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
417,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
