SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AZwr_S223058,,AZwr_WS2052,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B28018000000,,Unspecified,AZ,,Bad Latitude,223057.0
AZwr_S223339,,AZwr_WS2192,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B15008000000,,Unspecified,AZ,,Bad Latitude,223338.0
AZwr_S223587,,AZwr_WS2275,Unspecified,Unspecified,YAVAPAI,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B11501035CB0,,Unspecified,AZ,,Bad Latitude,223586.0
AZwr_S223648,,AZwr_WS2313,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D23010019CB0,,Unspecified,AZ,,Bad Latitude,223647.0
AZwr_S224096,,AZwr_WS2494,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B08002000000,,Unspecified,AZ,,Bad Latitude,224095.0
AZwr_S224598,,AZwr_WS2700,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B14011000000,,Unspecified,AZ,,Bad Latitude,224597.0
AZwr_S224894,,AZwr_WS2823,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A11512017DC0,,Unspecified,AZ,,Bad Latitude,224893.0
AZwr_S224914,,AZwr_WS2825,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A11512018AC0,,Unspecified,AZ,,Bad Latitude,224913.0
AZwr_S224915,,AZwr_WS2825,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A11512016BB0,,Unspecified,AZ,,Bad Latitude,224914.0
AZwr_S224991,,AZwr_WS2870,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D23011000000,,Unspecified,AZ,,Bad Latitude,224990.0
AZwr_S225029,,AZwr_WS2897,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A010160180B0,,Unspecified,AZ,,Bad Latitude,225028.0
AZwr_S225197,,AZwr_WS2992,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A10512024DD0,,Unspecified,AZ,,Bad Latitude,225196.0
AZwr_S225199,,AZwr_WS2992,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A10512036CB0,,Unspecified,AZ,,Bad Latitude,225198.0
AZwr_S225200,,AZwr_WS2992,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A10512025CA0,,Unspecified,AZ,,Bad Latitude,225199.0
AZwr_S225207,,AZwr_WS2992,Unspecified,Unspecified,GILA,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A10512025CC0,,Unspecified,AZ,,Bad Latitude,225206.0
AZwr_S225460,,AZwr_WS3123,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B09002000000,,Unspecified,AZ,,Bad Latitude,225459.0
AZwr_S225474,,AZwr_WS3126,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A09501024DC0,,Unspecified,AZ,,Bad Latitude,225473.0
AZwr_S225596,,AZwr_WS3189,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D17031000000,,Unspecified,AZ,,Bad Latitude,225595.0
AZwr_S225605,,AZwr_WS3189,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D17032000000,,Unspecified,AZ,,Bad Latitude,225604.0
AZwr_S225729,,AZwr_WS3193,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A03002000000,,Unspecified,AZ,,Bad Latitude,225728.0
AZwr_S225804,,AZwr_WS3225,Unspecified,Unspecified,YAVAPAI,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A12506001BA0,,Unspecified,AZ,,Bad Latitude,225803.0
AZwr_S225867,,AZwr_WS3245,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A10006000000,,Unspecified,AZ,,Bad Latitude,225866.0
AZwr_S226025,,AZwr_WS3314,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B05012000000,,Unspecified,AZ,,Bad Latitude,226024.0
