SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAwr_S14492,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,34047.0,,Unspecified,CA,,Bad CoordinateMethodCV,14491.0
CAwr_S14514,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,51647.0,,Unspecified,CA,,Bad CoordinateMethodCV,14513.0
CAwr_S14525,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,22267.0,,Unspecified,CA,,Bad CoordinateMethodCV,14524.0
CAwr_S14526,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,27944.0,,Unspecified,CA,,Bad CoordinateMethodCV,14525.0
CAwr_S14537,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,22360.0,,Unspecified,CA,,Bad CoordinateMethodCV,14536.0
CAwr_S14555,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16705.0,,Unspecified,CA,,Bad CoordinateMethodCV,14554.0
CAwr_S14594,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,51399.0,,Unspecified,CA,,Bad CoordinateMethodCV,14593.0
CAwr_S14603,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,11620.0,,Unspecified,CA,,Bad CoordinateMethodCV,14602.0
CAwr_S15038,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,7764.0,,Unspecified,CA,,Bad CoordinateMethodCV,15037.0
CAwr_S17934,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,45627.0,,Unspecified,CA,,Bad CoordinateMethodCV,17933.0
CAwr_S18194,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,45804.0,,Unspecified,CA,,Bad CoordinateMethodCV,18193.0
CAwr_S18625,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,11516.0,,Unspecified,CA,,Bad CoordinateMethodCV,18624.0
CAwr_S18695,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,34022.0,,Unspecified,CA,,Bad CoordinateMethodCV,18694.0
CAwr_S18696,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,28398.0,,Unspecified,CA,,Bad CoordinateMethodCV,18695.0
CAwr_S18836,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16599.0,,Unspecified,CA,,Bad CoordinateMethodCV,18835.0
CAwr_S18868,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,5621.0,,Unspecified,CA,,Bad CoordinateMethodCV,18867.0
CAwr_S18875,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,5623.0,,Unspecified,CA,,Bad CoordinateMethodCV,18874.0
