Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2012,0290400,CITY OF FLOYDADA,"3,038",Surface Water,Pur,O,FLOYD,BRAZOS,BRISCOE,RED,,MACKENZIE LAKE/RESERVOIR,MACKENZIE MUNICIPAL WATER AUTHORITY                                                                                                                                                                                                                            ,0,N,N,100.00,0,0,0,"9,000","2,094,000","2,284,000","4,164,000","4,130,000","2,802,000","1,457,000","1,493,000","465,000","18,898,000"
2012,0306400,CITY OF FRIONA,"4,123",Reuse,Ss,O,PARMER,RED,PARMER,RED,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"72,988,400"
2012,0364400,CITY OF HALE CENTER,"2,252",Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,"252,000","321,000","240,000","467,000","644,000","878,000","910,000","528,000","473,000","364,000","332,000","406,000","5,815,000"
2012,0503600,CITY OF LITTLEFIELD,"6,372",Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"5,880,000","4,519,000","3,932,000","8,804,000","8,219,000","10,975,000","10,126,000","8,807,000","7,329,000","6,142,000","4,977,000","4,165,000","83,875,000"
2012,0684600,CITY OF PLAINVIEW,"22,194",Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,16,N,N,0.00,"110,655,000","77,374,000","81,761,000","89,868,000","120,463,000","107,609,000","130,527,000","129,581,000","75,752,000","54,572,000","41,459,000","83,003,000","1,102,624,000"
2012,0746200,SOUTH GARZA WSC,175,Ground Water,SS,O,GARZA,BRAZOS,GARZA,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"296,500","217,700","604,970","886,330","800,270","873,670","1,268,730","1,437,230","1,060,240","538,240","719,910","414,060","9,117,850"
2012,0797800,CITY OF SILVERTON,760,Surface Water,Pur,O,BRISCOE,RED,BRISCOE,RED,,MACKENZIE LAKE/RESERVOIR,MACKENZIE MUNICIPAL WATER AUTHORITY                                                                                                                                                                                                                            ,0,N,N,100.00,"2,314,000","1,725,000","2,079,000","3,398,000","4,274,000","4,171,000","5,094,000","4,342,000","2,755,000","2,200,000","2,051,000","1,913,000","36,316,000"
2012,0809935,SOUTHWEST GARDEN WATER,354,Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"647,000","583,000","941,000","945,000","1,118,000","1,152,000","1,371,000","1,114,000","852,000","749,000","729,000","777,000","10,978,000"
2012,0820200,CITY OF SPUR,"1,000",Surface Water,Pur,O,DICKENS,BRAZOS,CROSBY,BRAZOS,,WHITE RIVER LAKE/RESERVOIR,WHITE RIVER MWD                                                                                                                                                                                                                                                ,0,N,N,100.00,"4,838,550","5,134,000","5,807,780","6,531,500","8,573,440","8,296,780","8,469,200","5,730,620","5,679,250","5,144,520","6,038,940","4,847,740","75,092,320"
2012,0877200,CITY OF TULIA,"4,967",Ground Water,SS,O,SWISHER,RED,SWISHER,RED,DOCKUM AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"4,385,000","4,241,000","4,490,000","7,531,000","7,633,000","5,039,000","7,566,000","6,791,000","3,518,000","2,373,000","1,259,000","1,987,000","56,813,000"
2012,0078900,BLEDSOE WSC,75,Ground Water,SS,O,COCHRAN,COLORADO,COCHRAN,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"9,040","17,230","8,533","21,310","25,005","28,006","35,012","33,652","25,647","25,235","21,458","18,213","268,341"
2012,0179398,CONE WATER SUPPLY,81,Ground Water,SS,O,CROSBY,BRAZOS,CROSBY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,0,0,0,0,0,0,0,0,0,0,0,"1,682,700","1,682,700"
