HUC8,HUC8 Name,Report Year,Component Type,Component ID,Component Name,Component Volume,TimeframeStart,TimeframeEnd
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,27653.0,2011-05-01,2011-05-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,28384.0,2011-06-01,2011-06-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,27108.0,2011-07-01,2011-07-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,27653.0,2011-08-01,2011-08-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,18530.0,2011-09-01,2011-09-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,14067.0,2011-10-01,2011-10-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,17288.0,2011-11-01,2011-11-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,16900.0,2011-12-01,2011-12-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,26200.0,2012-01-01,2012-01-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,26700.0,2012-02-01,2012-02-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,28400.0,2012-03-01,2012-03-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,28600.0,2012-04-01,2012-04-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,26900.0,2012-05-01,2012-05-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,23600.0,2012-06-01,2012-06-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,15600.0,2012-07-01,2012-07-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,8000.0,2012-08-01,2012-08-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,3100.0,2012-09-01,2012-09-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,2800.0,2012-10-01,2012-10-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,4000.0,2012-11-01,2012-11-28
10190003,Middle South Platte-Cherry Creek,2012,ReservoirStorage,06016020,BARR LAKE,7400.0,2012-12-01,2012-12-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,10400.0,2013-01-01,2013-01-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,13900.0,2013-02-01,2013-02-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,15100.0,2013-03-01,2013-03-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,19000.0,2013-04-01,2013-04-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,25900.0,2013-05-01,2013-05-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,26700.0,2013-06-01,2013-06-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,18100.0,2013-07-01,2013-07-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,11700.0,2013-08-01,2013-08-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,5300.0,2013-09-01,2013-09-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,15400.0,2013-10-01,2013-10-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,22300.0,2013-11-01,2013-11-28
10190003,Middle South Platte-Cherry Creek,2013,ReservoirStorage,06016020,BARR LAKE,21600.0,2013-12-01,2013-12-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,25100.0,2014-01-01,2014-01-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,25900.0,2014-02-01,2014-02-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,28200.0,2014-03-01,2014-03-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,29100.0,2014-04-01,2014-04-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,29300.0,2014-05-01,2014-05-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,28800.0,2014-06-01,2014-06-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,29300.0,2014-07-01,2014-07-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,26400.0,2014-08-01,2014-08-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,15400.0,2014-09-01,2014-09-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,5000.0,2014-10-01,2014-10-28
10190003,Middle South Platte-Cherry Creek,2014,ReservoirStorage,06016020,BARR LAKE,2000.0,2014-11-01,2014-11-28
