in_MethodTypeCV,in_VariableSpecificCV,in_WaterSourceTypeCV,in_ReportingUnitName,in_ReportingUnitNativeID,in_ReportingUnitTypeCV,in_ReportYearCV,in_Amount,in_WaterSourceNativeID
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2004,152627,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2005,164752,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2006,139221,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2007,108214,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2008,147617,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2009,121809,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2010,89839,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2011,76024,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2012,199071,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1988,7441,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1989,8103,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1990,8791,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1991,9307,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1992,9475,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1993,8721,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1994,8054,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,MISSOURI TRIBUTARIES,7,Basin,1995,7518,WaDENE_WS1
