SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S7955,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.806243,-106.88643700000002,,,POD,GALLOWICH WELL P/A POD,WaDECO_S7955,,MEASURING POINT,CO,
COss_S7956,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.861359,-106.955542,,,POD,CBP  WELL P/A POD,WaDECO_S7956,,MEASURING POINT,CO,
COss_S7957,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.830171,-106.912158,,,POD,CRESTED BUTTE HIGHLANDS P/A POD,WaDECO_S7957,,MEASURING POINT,CO,
COss_S7958,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.842889,-106.946269,,,POD,ANNA ROZMAN P/A POD,WaDECO_S7958,,MEASURING POINT,CO,
COss_S7959,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.852509999999995,-106.953376,,,POD,WHETSTONE VILLAGE P/A POD,WaDECO_S7959,,MEASURING POINT,CO,
COss_S7960,,COss_WS377,,Unspecified,GUNNISON,4326,,186480.0,,,38.892188,-106.972921,,,POD,MT CRESTED BUTTE W&S P/A POD,WaDECO_S7960,,MEASURING POINT,CO,
COss_S7961,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.806290000000004,-106.887429,,,POD,FOWLER WELL P/A POD,WaDECO_S7961,,MEASURING POINT,CO,
COss_S7962,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.830277,-106.91226499999999,,,POD,HIDDEN RIVER RANCH P/A POD,WaDECO_S7962,,MEASURING POINT,CO,
COss_S7963,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.806256,-106.886173,,,POD,CRESTED BUTTE S MET P/A POD,WaDECO_S7963,,MEASURING POINT,CO,
COss_S7964,,COss_WS377,,Unspecified,GUNNISON,4326,,186480.0,,,38.879094,-106.96398300000001,,,POD,MOON RIDGE P/A POD,WaDECO_S7964,,MEASURING POINT,CO,
COss_S7965,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.732363,-106.856698,,,POD,ESTESS P/A POD,WaDECO_S7965,,MEASURING POINT,CO,
COss_S7966,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.838138,-106.940978,,,POD,WHETSTONE VISTA P/A POD,WaDECO_S7966,,MEASURING POINT,CO,
COss_S7967,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.846437,-106.94908500000001,,,POD,BUTTE PASTURE P/A POD,WaDECO_S7967,,MEASURING POINT,CO,
COss_S7968,,COss_WS381,,Unspecified,GUNNISON,4326,,188797.0,,,38.818771999999996,-106.87104599999999,,,POD,ADAMS-WILSON P/A POD,WaDECO_S7968,,MEASURING POINT,CO,
COss_S7969,,COss_WS376,,Unspecified,GUNNISON,4326,,186665.0,,,38.748041,-107.04974299999999,,,POD,ROCK HOUSE RANCH P/A POD,WaDECO_S7969,,MEASURING POINT,CO,
COss_S7970,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.664115,-106.847602,,,POD,ALMONT RESORT P/A POD,WaDECO_S7970,,MEASURING POINT,CO,
COss_S7971,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.785798,-106.87126599999999,,,POD,COCKRELL P/A POD,WaDECO_S7971,,MEASURING POINT,CO,
COss_S7972,,COss_WS382,,Unspecified,SAN MIGUEL,4326,,187467.0,,,37.864477,-107.88181200000001,,,POD,AMES ILIUM HYDRO PROJ,WaDECO_S7972,,PIPELINE,CO,
COss_S7973,,COss_WS383,,Unspecified,SAN MIGUEL,4326,,169587.0,,,37.900112,-107.76778300000001,,,POD,BLUE LAKE PIPELINE,WaDECO_S7973,,PIPELINE,CO,
COss_S7974,,COss_WS383,,Unspecified,SAN MIGUEL,4326,,169587.0,,,37.932958,-107.804557,,,POD,ELLIS PARK WTR DIVR,WaDECO_S7974,,DITCH,CO,
COss_S7975,,COss_WS383,,Unspecified,SAN MIGUEL,4326,,169587.0,,,37.949784,-107.836717,,,POD,MILL CREEK DITCH NO 1,WaDECO_S7975,,DITCH,CO,
COss_S7976,,COss_WS384,,Unspecified,SAN MIGUEL,4326,,176431.0,,,37.906632,-107.884548,,,POD,WAGNER DITCH,WaDECO_S7976,,DITCH,CO,
COss_S7977,,COss_WS385,,Unspecified,SAN MIGUEL,4326,,176387.0,,,37.904657,-108.32418899999999,,,POD,SPECTACLE DITCH,WaDECO_S7977,,DITCH,CO,
COss_S7978,,COss_WS386,,Unspecified,SAN MIGUEL,4326,,186038.0,,,38.096421,-108.23541599999999,,,POD,GARDNER PIPELINE,WaDECO_S7978,,SPRING,CO,
COss_S7979,,COss_WS386,,Unspecified,SAN MIGUEL,4326,,186038.0,,,38.035408000000004,-108.24723999999999,,,POD,GURLEY RESERVOIR,WaDECO_S7979,,RESERVOIR,CO,
