SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NVwr_S7037,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.7209399993668,-117.88435899942301,,,072  N33 E36 24BDCB1,,,Underground,NV,
NVwr_S7038,Unknown,Digitized,Pershing,EPSG:4326,,,,,40.657881998967795,-118.06999899978099,,,072  N32 E35 08DBCC1,,,Underground,NV,
NVwr_S7039,Unknown,Digitized,Lander,EPSG:4326,,,,,39.367673999483706,-117.306551999669,,,056  N17 E42 06CBBB1,,,Underground,NV,
NVwr_S7040,Unknown,Digitized,Lander,EPSG:4326,,,,,39.4835389988622,-117.052155000545,,,056  N19 E44 29ACBB1,,,Other Surface Water,NV,
NVwr_S7041,Unknown,Digitized,Lander,EPSG:4326,,,,,39.3424479994596,-117.130733000399,,,056  N17 E43 15BADD1,,,Spring,NV,
NVwr_S7042,Unknown,Digitized,Lander,EPSG:4326,,,,,39.3715749988749,-117.306867000316,,,056  N17 E42 06BBCC1,,,Underground,NV,
NVwr_S7043,Unknown,Digitized,Lander,EPSG:4326,,,,,39.3702169989563,-117.31622499943501,,,056  N17 E41 01ACC  1,,,Underground,NV,
NVwr_S7044,Unknown,Digitized,Lander,EPSG:4326,,,,,39.432887998764,-117.288112000469,,,056  N18 E42 17BBBB1,,,Underground,NV,
NVwr_S7045,Unknown,Digitized,Lander,EPSG:4326,,,,,39.4180669988494,-117.29713500014401,,,056  N18 E42 19ABBB1,,,Underground,NV,
NVwr_S7046,Unknown,Digitized,Lander,EPSG:4326,,,,,39.3098509989209,-117.317304999438,,,056  N17 E41 25BDDD1,,,Underground,NV,
NVwr_S7047,Unknown,Digitized,Lander,EPSG:4326,,,,,39.3772149990644,-117.160048999952,,,056  N18 E43 32DDAB1,,,stream,NV,
NVwr_S7048,Unknown,Digitized,Lander,EPSG:4326,,,,,39.7729699989955,-117.05619999941901,,,056  N22 E44 17CBDA1,,,stream,NV,
