,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
5008,,,STANLEY CREEK SPRING NO 5,GROUND WATER,Fresh,,
5009,,,STANLEY CREEK SPRING NO 6,BENNETT CREEK,Fresh,,
5010,,,STANLEY CREEK SPRING NO 7,GROUND WATER,Fresh,,
5011,,,STANLEY CREEK SPRING NO 8,GROUND WATER,Fresh,,
5012,,,STANLEY CREEK SPRING NO 9,GROUND WATER,Fresh,,
5013,,,ANDERSON CREEK SPRING NO 1,UNNAMED LAKE,Fresh,,
5014,,,ANDERSON CREEK SPRING NO 2,GROUND WATER,Fresh,,
5015,,,MERRITT SPRING,GROUND WATER,Fresh,,
5016,,,STANLEY LAKE CREEK,GROUND WATER,Fresh,,
5017,,,BOUNDARY CREEK,GROUND WATER,Fresh,,
5018,,,REDFISH LAKE CREEK,GROUND WATER,Fresh,,
5019,,,MC GOWAN CREEK,SPRING,Fresh,,
5020,,,SAWTOOTH VALLEY SPRING,GROUND WATER,Fresh,,
5021,,,LUTHER HEIGHTS SPRING,GROUND WATER,Fresh,,
5022,,,REDFISH LAKE,GROUND WATER,Fresh,,
5023,,,FISHER SPRING NO 2,GROUND WATER,Fresh,,
5024,,,FISHHOOK CREEK,GROUND WATER,Fresh,,
5025,,,HELL ROARING CREEK,UNNAMED STREAM,Fresh,,
5026,,,HANNA SEEP SPRING,GROUND WATER,Fresh,,
5027,,,RAMEY CREEK,GROUND WATER,Fresh,,
5028,,,LEATON SPRING NO 3,GROUND WATER,Fresh,,
5029,,,CAMP SPRING NO 3,GROUND WATER,Fresh,,
5030,,,PORK CREEK,SPRINGS,Fresh,,
5031,,,TREALOR CREEK SPRING,SPRINGS,Fresh,,
5032,,,TREALOR SPRING,GROUND WATER,Fresh,,
5033,,,SALT SPRING,GROUND WATER,Fresh,,
5034,,,MAGGIE SPRING,GROUND WATER,Fresh,,
5035,,,MIDDLE BUTCH SEEP,WILLOW CREEK,Fresh,,
5036,,,COLEY SPRING,GROUND WATER,Fresh,,
5037,,,PEDRINI SPRING,GROUND WATER,Fresh,,
5038,,,BUCKET SPRING NO 2,FREESTONE CREEK,Fresh,,
5039,,,BUSTER LAKE SPRING NO 1,UNNAMED STREAM,Fresh,,
5040,,,BUSTER LAKE SPRING NO 3,UNNAMED STREAMS,Fresh,,
5041,,,SPRUCE GULCH SPRING NO 4,UNNAMED STREAM,Fresh,,
5042,,,TRIPLE SPRING NO 1,UNNAMED STREAMS,Fresh,,
5043,,,RED BUTTE SPRING NO 3,GROUND WATER,Fresh,,
5044,,,THIRD SPRING NO 1,GROUND WATER,Fresh,,
5045,,,TWIN SPRING NO 1,UNNAMED STREAMS,Fresh,,
5046,,,TWIN SPRING NO 2,GROUND WATER,Fresh,,
5047,,,EDDY CREEK SPRING NO 1,GROUND WATER,Fresh,,
5048,,,EDDY CREEK SPRING NO 4,GROUND WATER,Fresh,,
5049,,,PATS CREEK SPRING NO 1,PANCHERI DRAIN,Fresh,,
5050,,,JEFFS SPRING NO 4,CASEY CREEK,Fresh,,
5051,,,SLAB BARN SPRING NO 4,GROUND WATER,Fresh,,
5052,,,SLAB BARN SPRING NO 5,STEWART CREEK,Fresh,,
5053,,,BIG HILL SPRING NO 2,NORTH DRAIN,Fresh,,
5054,,,BIG HILL SPRING NO 3,GROUND WATER,Fresh,,
5055,,,BIG HILL SPRING NO 6,SPRING,Fresh,,
5056,,,MOSQUITO FLAT SPRING NO 2,SPANISH FORK,Fresh,,
5057,,,MILL CREEK SPRING NO 2,GROUND WATER,Fresh,,
5058,,,GOOSEBERRY SPRING NO 1,GROUND WATER,Fresh,,
5059,,,BLOCK CREEK SPRING NO 7,GROUND WATER,Fresh,,
5060,,,BLOCK CREEK SPRING NO 8,GROUND WATER,Fresh,,
5061,,,BLOCK CREEK SPRING NO 9,GROUND WATER,Fresh,,
5062,,,DRY GULCH SPRING NO 3,GROUND WATER,Fresh,,
5063,,,BUCKET SPRING NO 1,GROUND WATER,Fresh,,
5064,,,BLOCK CREEK SPRING NO 6,GROUND WATER,Fresh,,
5065,,,BEAR CREEK SPRING NO 4,GROUND WATER,Fresh,,
5066,,,LICK CREEK SPRING NO 1,GROUND WATER,Fresh,,
5067,,,VAN HORN SPRING NO 3,GROUND WATER,Fresh,,
5068,,,DEWITT CREEK SPRING NO 7,GROUND WATER,Fresh,,
5069,,,STEPHENS SPRING NO 2,GROUND WATER,Fresh,,
5070,,,MORGAN CREEK SPRING NO 3,GROUND WATER,Fresh,,
5071,,,MORGAN CREEK SPRING NO 4,GROUND WATER,Fresh,,
5072,,,MORGAN CREEK SPRING NO 7,GROUND WATER,Fresh,,
5073,,,BLOCK CREEK SPRING NO 5,GROUND WATER,Fresh,,
5074,,,PIG CREEK SPRING NO 1,GROUND WATER,Fresh,,
5075,,,PENNAL SPRING NO 1,GROUND WATER,Fresh,,
5076,,,NARROW CANYON SPRING,SLATER CREEK,Fresh,,
5077,,,FISHER CREEK TRAIL SPRING,GROUND WATER,Fresh,,
5078,,,GOSSI SPRING,GROUND WATER,Fresh,,
5079,,,SALMON SPRING,SLATER CREEK,Fresh,,
5080,,,RED RIDGE TRAIL SPRING,GROUND WATER,Fresh,,
5081,,,BLUETT CREEK SPRING,UNNAMED DITCH,Fresh,,
5082,,,RAILROAD SPRING NO 2,UNNAMED DITCH,Fresh,,
5083,,,RAILROAD SPRING NO 1,GROUND WATER,Fresh,,
5084,,,LOWER POISON SPRING NO 2,GROUND WATER,Fresh,,
5085,,,LITTLE POISON SPRING,GROUND WATER,Fresh,,
5086,,,HELICOPTER CRASH SPRING,GROUND WATER,Fresh,,
5087,,,BIG LAKE SPRING NO 6,GROUND WATER,Fresh,,
5088,,,BIG LAKE SPRING NO 1,GROUND WATER,Fresh,,
5089,,,BIG LAKE SPRING NO 2,GROUND WATER,Fresh,,
5090,,,BIG LAKE SPRING NO 3,DRAINS,Fresh,,
5091,,,BIG LAKE SPRING NO 5,UNNAMED DRAIN,Fresh,,
5092,,,BIG LAKE SPRING NO 7,UNNAMED STREAM,Fresh,,
5093,,,BIG LAKE SPRING NO 9,WASTE WATER,Fresh,,
5094,,,BIG LAKE SPRING NO 10,UNNAMED DRAIN,Fresh,,
5095,,,HILLSIDE SPRING NO 1,BIG WATER GULCH,Fresh,,
5096,,,HILLSIDE SPRING NO 3,SPRINGS,Fresh,,
5097,,,HILLSIDE SPRING NO 2,WALLA WALLA GULCH CREEK,Fresh,,
5098,,,FRENCH SPRING,GROUND WATER,Fresh,,
5099,,,BUG HOLE SPRING,GROUND WATER,Fresh,,
5100,,,UPPER FRENCH SPRING,GROUND WATER,Fresh,,
5101,,,MILL CREEK SPRING NO 1,GROUND WATER,Fresh,,
5102,,,O CALKENS GULCH SPRING,GROUND WATER,Fresh,,
5103,,,FRENCH CREEK SPRING NO 1,MACKS CREEK,Fresh,,
5104,,,FRENCH CREEK SPRING NO 2,GROUND WATER,Fresh,,
5105,,,HEAD MILL SPRING,GROUND WATER,Fresh,,
5106,,,EAST MILL SPRING,GROUND WATER,Fresh,,
5107,,,ELKHORN CREEK SPRING NO 3,GROUND WATER,Fresh,,
5108,,,KELLY CREEK SPRING NO 1,GROUND WATER,Fresh,,
5109,,,KELLY CREEK SPRING NO 2,GROUND WATER,Fresh,,
5110,,,KELLY CREEK SPRING NO 3,GROUND WATER,Fresh,,
5111,,,NOHO POND SPRING NO 1,GROUND WATER,Fresh,,
5112,,,ELKHORN CREEK SPRING NO 1,GROUND WATER,Fresh,,
5113,,,JOES GULCH SPRING,GROUND WATER,Fresh,,
5114,,,ROOKIE SPRING,GROUND WATER,Fresh,,
5115,,,BOWERY SPRING,GROUND WATER,Fresh,,
5116,,,LMB SPRING,SAND HOLLOW CREEK,Fresh,,
5117,,,MARCO SPRING,GROUND WATER,Fresh,,
5118,,,DOUGLAS SPRING,GROUND WATER,Fresh,,
5119,,,HORSE BASIN SPRING NUMBER 1,GROUND WATER,Fresh,,
5120,,,WHITE COLT SPRING,WASTE WATER,Fresh,,
5121,,,SPRING GULCH SPRING,SPRINGS,Fresh,,
5122,,,PHILIPS SPRING,PAYETTE LAKE,Fresh,,
5123,,,RED LAKE,LITTLE SQUAW CREEK,Fresh,,
5124,,,SORREL SPRING,GROUND WATER,Fresh,,
5125,,,MARAFIO SPRING,SHAFER CREEK,Fresh,,
5126,,,JOHNSTON SPRING,GROUND WATER,Fresh,,
5127,,,WHITE HORSE SPRING,SPRINGS,Fresh,,
5128,,,FIRST DRAW SPRING,GROUND WATER,Fresh,,
5129,,,KEPPNER SPRING,SPRING,Fresh,,
5130,,,DAUGHERTY GULCH CREEK,SPRINGS,Fresh,,
5131,,,UPPER PINE GULCH SPRING,SPRINGS,Fresh,,
5132,,,LOWER PINE GULCH SPRING,HOLLAND GULCH CREEK,Fresh,,
5133,,,LYNCH CORRAL SPRING,LITTLE GOOSEBERRY CREEK,Fresh,,
5134,,,LAST CHANCE CREEK,DRY CREEK,Fresh,,
5135,,,ALKALI SPRING CREEK,UNNAMED STREAM,Fresh,,
5136,,,GARDNER CREEK,BISSEL CREEK,Fresh,,
5137,,,SNYDER SPRING,FOURMILE CREEK,Fresh,,
5138,,,BIG CASINO CREEK,PUMPKIN CREEK,Fresh,,
5139,,,KELLY GULCH SPRING,DEER CREEK,Fresh,,
5140,,,LOWER BRADSHAW SPRING,UNNAMED STREAM,Fresh,,
5141,,,BISHOP SPRING,HOG COVE CREEK,Fresh,,
5142,,,LITTLE WICKIUP CREEK,UNNAMED STREAM,Fresh,,
5143,,,JENSON CABIN SPRING,LITTLE WILLOW CREEK,Fresh,,
5144,,,WALTERS SPRING,UNNAMED STREAM,Fresh,,
5145,,,FOURTH SPRING,LITTLE WILLOW CREEK,Fresh,,
5146,,,HANNAH SLOUGH,UNNAMED STREAM,Fresh,,
5147,,,O BRIEN SPRING,COLD SPRING CANYON,Fresh,,
5148,,,THIRD SPRING NO 3,UNNAMED STREAM,Fresh,,
5149,,,RED HILL SPRING,UNNAMED STREAM,Fresh,,
5150,,,HOLE SPRING NO 2,UNNAMED STREAM,Fresh,,
5151,,,MARCO CREEK SPRING,UNNAMED STREAM,Fresh,,
5152,,,WOODS BASIN SPRING,UNNAMED STREAM,Fresh,,
5153,,,WATT SPRING NO 2,UNNAMED STREAM,Fresh,,
5154,,,WATT SPRING NO 3,UNNAMED STREAM,Fresh,,
5155,,,BEAR CREEK SPRING NO 5,UNNAMED STREAMS,Fresh,,
5156,,,SPRING GULCH SPRING NO 2,WHITLOCK GULCH CREEK,Fresh,,
5157,,,WATT SPRING NO 1,CURRIN GULCH CREEK,Fresh,,
5158,,,PUZZLER GULCH CREEK,UNNAMED STREAMS,Fresh,,
5159,,,TREON CREEK,SPRINGS,Fresh,,
5160,,,PREACHERS COVE CREEK,THORN CREEK,Fresh,,
5161,,,ROADSIDE SPRING,THORN CREEK,Fresh,,
5162,,,RED HILL SPRING NO 2,LITTLE SQUAW CREEK,Fresh,,
5163,,,SPIKE SPRING NO 2,UNNAMED STREAM,Fresh,,
5164,,,SPIKE SPRING NO 1,UNNAMED STREAM,Fresh,,
5165,,,FENCE SPRING,SHOEMAKER CREEK,Fresh,,
5166,,,DOWNING SPRING,DRY BUCK CREEK,Fresh,,
5167,,,TIGER SPRING,DEER CREEK,Fresh,,
5168,,,LIME CREEK SPRING,UNNAMED STREAMS,Fresh,,
5169,,,RUBY SPRING,HARRIS CREEK,Fresh,,
5170,,,SAUPE SPRING,UNNAMED STREAMS,Fresh,,
5171,,,COOKIE SPRING NO 6,PAYETTE RIVER,Fresh,,
5172,,,COOKIE SPRING NO 4,SQUAW CREEK,Fresh,,
5173,,,KATHY SPRING,SQUAW CREEK,Fresh,,
5174,,,SEALY SPRING NO 2,UNNAMED DRAIN,Fresh,,
5175,,,SEALY SPRING NO 1,UNNAMED DRAIN,Fresh,,
5176,,,COOKIE SPRING NO 3,UNNAMED DRAIN,Fresh,,
5177,,,COOKIE SPRING NO 8,GROUND WATER,Fresh,,
5178,,,COOKIE SPRING NO 5,SPRINGS,Fresh,,
5179,,,SCHAWBE SPRING,SPRINGS,Fresh,,
5180,,,COOKIE SPRING NO 1,KENNEDY CREEK,Fresh,,
5181,,,SECOND CREEK SPRING,GROUND WATER,Fresh,,
5182,,,BIG A SPRING,GROUND WATER,Fresh,,
5183,,,BOUNDARY CREEK SPRING,LITTLE SQUAW CREEK,Fresh,,
5184,,,LOG CAMP SPRING,MOORES CREEK,Fresh,,
5185,,,PISTOL CREEK SPRING,GROUND WATER,Fresh,,
5186,,,HOLMAN CREEK SPRING,LAFFINWELL CREEK,Fresh,,
5187,,,LOWER FRENCH SPRING NO 2,SHAFER CREEK,Fresh,,
5188,,,LOWER FRENCH SPRING NO 1,GROUND WATER,Fresh,,
5189,,,WICKIUP SPRING,BIG WILLOW CREEK,Fresh,,
5190,,,MC DONALD SPRING,PAYETTE LAKE,Fresh,,
5191,,,STEPHENS GULCH CREEK,LITTLE SQUAW CREEK,Fresh,,
5192,,,SLAB BARN SPRING NO 1,SPRINGS,Fresh,,
5193,,,BIG HILL GULCH CREEK,SPRINGS,Fresh,,
5194,,,ADAIR CREEK,HENLEY CREEK,Fresh,,
5195,,,YAHOO SPRING,SPRINGS,Fresh,,
5196,,,SPAR MOUNTAIN SPRING,COW CREEK,Fresh,,
5197,,,PENNAL SPRING,SPRINGS,Fresh,,
5198,,,KAREN SPRING,SHEEP CREEK,Fresh,,
5199,,,CINNER SPRING,HORNET CREEK,Fresh,,
5200,,,UPPER SPRING NO 2,SPRINGS,Fresh,,
5201,,,WHITE HILLS SPRING,SPRINGS,Fresh,,
5202,,,BURNT CREEK LAKE,SHEEP CREEK,Fresh,,
5203,,,BABY CREEK SPRING,WEISER RIVER,Fresh,,
5204,,,SHORT CREEK SPRING NUMBER 1,UNNAMED STREAMS,Fresh,,
5205,,,SHORT CREEK SPRING NUMBER 2,UNNAMED STREAMS,Fresh,,
5206,,,PETERSON SPRINGS,UNNAMED STREAMS,Fresh,,
5207,,,DOUBLESPRING,NORTH CRANE CREEK,Fresh,,
5208,,,PAT CARNEY SPRINGS,WEISER RIVER,Fresh,,
5209,,,BERNARD DITCH,LONG GULCH CREEK,Fresh,,
5210,,,MULE SPRING,UNNAMED STREAMS,Fresh,,
5211,,,SOURDOUGH GULCH CREEK,UNNAMED STREAM,Fresh,,
5212,,,STOVE CREEK SPRING,COLD SPRING GULCH CREEK,Fresh,,
5213,,,SHORT SPRING,UNNAMED STREAMS,Fresh,,
5214,,,HAWLEY SPRING,UNNAMED STREAM,Fresh,,
5215,,,LOWER DRY CANYON SPRING,KING HILL CREEK,Fresh,,
5216,,,MILLIES SPRING,DEER CREEK,Fresh,,
5217,,,SOUTHSLOPE SPRING,UNNAMED STREAMS,Fresh,,
5218,,,WESTSLOPE SPRING,UNNAMED STREAMS,Fresh,,
5219,,,UPPER SPRING,UNNAMED STREAMS,Fresh,,
5220,,,FAYLE SPRING,FAIRCHILD GULCH CREEK,Fresh,,
5221,,,UPPER FROG SPRING,UNNAMED STREAMS,Fresh,,
5222,,,BOG CREEK SPRING,COW CREEK,Fresh,,
5223,,,WLDFR BENCH SPRING,GOODRICH CREEK,Fresh,,
5224,,,O DONALD SPRING,UNNAMED STREAMS,Fresh,,
5225,,,POT SPRING,UNNAMED STREAMS,Fresh,,
5226,,,WAGONBOX SPRING,UNNAMED STREAM,Fresh,,
5227,,,BOCHE SPRING,UNNAMED STREAMS,Fresh,,
5228,,,SOAPSTONE SPRING,UNNAMED STREAM,Fresh,,
5229,,,MAHAFFEY SPRING,MANN CREEK,Fresh,,
5230,,,HOOD SPRING,UNNAMED STREAMS,Fresh,,
5231,,,WAUGH SPRING,UNNAMED STREAMS,Fresh,,
5232,,,POLLARD SPRING,LITTLE PINE CREEK,Fresh,,
5233,,,UPPER CRUIKSHANK SPRING,UNNAMED STREAMS,Fresh,,
5234,,,LOWER CRUIKSHANK SPRING,UNNAMED STREAM,Fresh,,
5235,,,KITTEN SPRING,UNNAMED STREAMS,Fresh,,
5236,,,FREESTRIP SPRING,SMITH GULCH CREEK,Fresh,,
5237,,,JACKS SPRING,UNNAMED STREAMS,Fresh,,
5238,,,TOM SPRING,GRIZZLY CREEK,Fresh,,
5239,,,FRANK HALL SPRING,SHIRTS CREEK,Fresh,,
5240,,,LOWER T FLAT SPRING,HOG CREEK,Fresh,,
5241,,,MC REA SPRING,SCOTT CREEK,Fresh,,
5242,,,OPEL SPRING,UNNAMED STREAMS,Fresh,,
5243,,,RAM SPRING,UNNAMED STREAMS,Fresh,,
5244,,,SHELF SPRING,UNNAMED STREAMS,Fresh,,
5245,,,LEWIS AND CLARK SPRING,SPRING CREEK,Fresh,,
5246,,,WADE CREEK SPRING,UNNAMED STREAMS,Fresh,,
5247,,,FIR SPRING,TENNISON CREEK,Fresh,,
5248,,,JAKES CANYON SPRING,UNNAMED STREAMS,Fresh,,
5249,,,CHAPMAN SPRING,UNNAMED STREAMS,Fresh,,
5250,,,ADAMS SPRING,COVE CREEK,Fresh,,
5251,,,GIETTRUP SPRING,MILK CREEK,Fresh,,
5252,,,CACTUS SPRING,NORTH CRANE CREEK,Fresh,,
5253,,,SILVER SPRING,UNNAMED STREAM,Fresh,,
5254,,,FERRIS SPRING,UNNAMED STREAM,Fresh,,
5255,,,EVERSON SPRING,SHEEP CREEK,Fresh,,
5256,,,MILL CREEK RESERVOIR,UNNAMED STREAMS,Fresh,,
5257,,,SHORT DRAW SPRING,UNNAMED STREAMS,Fresh,,
5258,,,SWARTZ SPRING,UNNAMED STREAM,Fresh,,
5259,,,UPPER SAWMILL SPRING,UNNAMED STREAMS,Fresh,,
5260,,,EIGHTMILE RIDGE SPRING,UNNAMED STREAM,Fresh,,
5261,,,MEADOW MOUNTAIN SPRING,UNNAMED STREAM,Fresh,,
5262,,,COINER SPRING,UNNAMED STREAMS,Fresh,,
5263,,,AIKENS SPRING,UNNAMED STREAMS,Fresh,,
5264,,,TOBIN SPRING,UNNAMED STREAMS,Fresh,,
5265,,,APPLE CREEK SPRING,UNNAMED STREAMS,Fresh,,
5266,,,WOOLYWIL SPRING,UNNAMED STREAM,Fresh,,
5267,,,TOBIAS SPRING,UNNAMED STREAMS,Fresh,,
5268,,,BASIN CREEK SPRING,UNNAMED STREAMS,Fresh,,
5269,,,HIGH CREEK SPRING,UNNAMED STREAMS,Fresh,,
5270,,,HAYDEN SPRING,UNNAMED STREAMS,Fresh,,
5271,,,HAYNES LAKE SPRING,UNNAMED STREAMS,Fresh,,
5272,,,LOWER BASIN SPRING,TENNISON CREEK,Fresh,,
5273,,,UPPER BASIN SPRING,UNNAMED STREAMS,Fresh,,
5274,,,BALDY BASIN SPRING,UNNAMED STREAMS,Fresh,,
5275,,,STANDBY SPRING,UNNAMED STREAM,Fresh,,
5276,,,HAYNES SADDLE SPRING,SAGE CREEK,Fresh,,
5277,,,ZEIGLER SPRING,DEER CREEK,Fresh,,
5278,,,KADLETZ RIDGE SPRING,UNNAMED STREAM,Fresh,,
5279,,,HEMLOCK SPRING,WASTE WATER,Fresh,,
5280,,,HARMONY TRAIL SPRING,MONROE CREEK,Fresh,,
5281,,,CORNER SPRING,GEORGE WAY GULCH CREEK,Fresh,,
5282,,,CAPPS SPRING,SMITH GULCH CREEK,Fresh,,
5283,,,BULL SUMMIT WATERHOLE,UNNAMED STREAM,Fresh,,
5284,,,SHARKEY HOT SPRING,WASTE WATER,Fresh,,
5285,,,POISON GULCH SPRING,GROUND WATER,Fresh,,
5286,,,LONESOME SPRING,GROUND WATER,Fresh,,
5287,,,ROOSTERCOMB WATERHOLE NO 1,GROUND WATER,Fresh,,
5288,,,PITZER SPRING,SPRINGS,Fresh,,
5289,,,PETES MINE SPRING,SHEEP CREEK,Fresh,,
5290,,,PETES SPRING,HANSON CREEK,Fresh,,
5291,,,NO SHOW SPRING,UNNAMED STREAM,Fresh,,
5292,,,NIELSON SPRING,KEITHLY CREEK,Fresh,,
5293,,,MORPHEY SPRING,KEITHLY CREEK,Fresh,,
5294,,,MINERAL SPRING,SPRINGS,Fresh,,
5295,,,MIDDLE SPRING,JENKINS CREEK,Fresh,,
5296,,,MC MURDIE SPRING,GOODRICH CREEK,Fresh,,
5297,,,ROCK WOOD SPRING,RUSH CREEK,Fresh,,
5298,,,ROOSTER COMB SPRING,MILL CREEK,Fresh,,
5299,,,RYE GRASS PEAK SPRING,MILL CREEK,Fresh,,
5300,,,SANDY POINT SPRING,MILL CREEK,Fresh,,
5301,,,SAWMILL GULCH SPRING,MILL CREEK,Fresh,,
5302,,,SHEEP QUEEN SPRING,MILL CREEK,Fresh,,
5303,,,SNOOK SPRING,MILL CREEK,Fresh,,
5304,,,SNOW SPRING,SPRINGS,Fresh,,
5305,,,STALL SPRING NO 1,SPRINGS,Fresh,,
5306,,,STARR SPRING,HORNET CREEK,Fresh,,
5307,,,STALL SPRING NO 2,SPRINGS,Fresh,,
5308,,,ENGLAND SPRING,UNNAMED STREAM,Fresh,,
5309,,,STEVES SPRING,SPRINGS,Fresh,,
5310,,,LINDA SPRING,SPRINGS,Fresh,,
5311,,,RATTLESNAKE DRAW SPRING NO 2,SPRING,Fresh,,
5312,,,RATTLESNAKE DRAW SPRING NO 1,SPRINGS,Fresh,,
5313,,,LITTLE MILL CREEK SPRING NO 1,GOODRICH CREEK,Fresh,,
5314,,,RAMSEY SPRING,LITTLE WEISER RIVER,Fresh,,
5315,,,QUINTON SPRING,LITTLE WEISER RIVER,Fresh,,
5316,,,PYEATT SPRING,SHEEP CREEK,Fresh,,
5317,,,PRICE SPRING,SPRING,Fresh,,
5318,,,POWERLINE SPRING,WICKIUP CREEK,Fresh,,
5319,,,PORTER SPRING,SALT CREEK,Fresh,,
5320,,,HAYNES SPRING,UNNAMED STREAM,Fresh,,
5321,,,MASTERS GULCH SPRING,SPRING,Fresh,,
5322,,,LUCKY SPRING,HERCULES CREEK,Fresh,,
5323,,,WIMPEY CREEK SPRING,UNNAMED STREAMS,Fresh,,
5324,,,LOWER BASCO SPRING,WILDHORSE RIVER,Fresh,,
5325,,,MALCOLM SPRING,UNNAMED STREAMS,Fresh,,
5326,,,D8 SPRING,UNNAMED STREAMS,Fresh,,
5327,,,DANCE SPRING,TRAIL CREEK,Fresh,,
5328,,,FIRST BASIN SPRING,DENNETT CREEK,Fresh,,
5329,,,GEERTSON SEEDING SPRING,ROCK CREEK,Fresh,,
5330,,,GEIER SPRING,UNNAMED STREAM,Fresh,,
5331,,,GEYSER SPRING,HENLEY CREEK,Fresh,,
5332,,,GRADE SPRING NO 3,UNNAMED STREAMS,Fresh,,
5333,,,GRADE SPRING NO 2,UNNAMED STREAMS,Fresh,,
5334,,,GOULD BASIN SPRING,UNNAMED STREAMS,Fresh,,
5335,,,HAIGHT SPRING,UNNAMED STREAM,Fresh,,
5336,,,HAND FORK SPRING,UNNAMED STREAM,Fresh,,
5337,,,HIXSON SPRING,UNNAMED STREAMS,Fresh,,
5338,,,HIGH POINT SPRING,UNNAMED STREAMS,Fresh,,
5339,,,HIGH ROAD SPRING,UNNAMED STREAM,Fresh,,
5340,,,RANCHERO SPRING,LIMESTONE GULCH CREEK,Fresh,,
5341,,,JENSEN BOGHOLE SPRING,UNNAMED STREAM,Fresh,,
5342,,,JOCKS SPRING,UNNAMED STREAM,Fresh,,
5343,,,KENNEY SPRING,UNNAMED STREAM,Fresh,,
5344,,,KIRKHAM SPRING,WILLIAMS CREEK,Fresh,,
5345,,,LARKSPUR SPRING NO 1,SALMON RIVER,Fresh,,
5346,,,LARKSPUR SPRING NO 2,IRON CREEK,Fresh,,
5347,,,LAST SPRING,IRON CREEK,Fresh,,
5348,,,LENA SPRING,IRON CREEK,Fresh,,
5349,,,MUSTANG SPRING,SALMON RIVER,Fresh,,
5350,,,NAPO GULCH SPRING,WILLIAMS CREEK,Fresh,,
5351,,,NEGAS SPRING,SALMON RIVER,Fresh,,
5352,,,NEW ROAD SPRING NO 1,FOURTH OF JULY CREEK,Fresh,,
5353,,,NEW ROAD SPRING NO 2,CHALLIS CREEK,Fresh,,
5354,,,RIPPEY SPRING,CHALLIS CREEK,Fresh,,
5355,,,REESE CREEK SPRING,BIG BOULDER CREEK,Fresh,,
5356,,,WINCHESTER SPRING,SALMON RIVER,Fresh,,
5357,,,WITHINGTON SPRING,SALMON RIVER,Fresh,,
5358,,,WITTEBORG SPRING,SALMON RIVER,Fresh,,
5359,,,WOOD SPRING,CHALLIS CREEK,Fresh,,
5360,,,WOOD CAMP SPRING,EAST FORK,Fresh,,
5361,,,YOGI SPRING,CHALLIS CREEK,Fresh,,
5362,,,TENMILE SPRING,CHALLIS CREEK,Fresh,,
5363,,,TURNERS SPRING,SALMON RIVER,Fresh,,
5364,,,TURTLE DOVE SPRING,CHALLIS CREEK,Fresh,,
5365,,,UPPER BASCO SPRING,WEST PASS CREEK,Fresh,,
5366,,,VERMILLION SPRING,CHALLIS CREEK,Fresh,,
5367,,,WHEATGRASS SPRING,CHALLIS CREEK,Fresh,,
5368,,,WHEATON SPRING,UNNAMED LAKES,Fresh,,
5369,,,WHIPLASH SPRING,GROUND WATER,Fresh,,
5370,,,WHITE CHARGER SPRING,CHALLIS CREEK,Fresh,,
5371,,,RIGGER SPRING,GROUND WATER,Fresh,,
5372,,,DRAGROAD SPRING,GROUND WATER,Fresh,,
5373,,,DRY RIDGE SPRING,GROUND WATER,Fresh,,
5374,,,DUTCH JOHN SPRING,BIG CREEK,Fresh,,
5375,,,NAPO SPRING,PAHSIMEROI RIVER,Fresh,,
5376,,,LOWER FROG SPRING,LAWSON CREEK,Fresh,,
5377,,,ECKERSELL SPRING,UNNAMED STREAM,Fresh,,
5378,,,LOWER EIGHTMILE RIDGE SPRING,GOLDBURG CREEK,Fresh,,
5379,,,STALL SPRING,UNNAMED STREAM,Fresh,,
5380,,,AUSTIN SPRING,BURNT CREEK,Fresh,,
5381,,,BAKER CREEK SEEDING SPRING,UNNAMED STREAM,Fresh,,
5382,,,MALCOM SPRING,GROUSE CREEK,Fresh,,
5383,,,BALDY BASIN SPRING NO 1,SPRINGS,Fresh,,
5384,,,ANTLER SPRING,PAHSIMEROI RIVER,Fresh,,
5385,,,AMONSON SPRING,PAHSIMEROI RIVER,Fresh,,
5386,,,ANDREWS SPRING,PAHSIMEROI RIVER,Fresh,,
5387,,,BALL SPRING,PAHSIMEROI RIVER,Fresh,,
5388,,,BOHANNON SPRING,PAHSIMEROI RIVER,Fresh,,
5389,,,BOLTON SPRING,PAHSIMEROI RIVER,Fresh,,
5390,,,BRAMLEETE SPRING,PAHSIMEROI RIVER,Fresh,,
5391,,,JAKES CANYON CREEK,PAHSIMEROI RIVER,Fresh,,
5392,,,CONTINENTAL SPRING,PAHSIMEROI RIVER,Fresh,,
5393,,,COPE SPRING,PAHSIMEROI RIVER,Fresh,,
5394,,,DEAD SHEEP CREEK,PAHSIMEROI RIVER,Fresh,,
5395,,,LARKSPUR SPRING,PAHSIMEROI RIVER,Fresh,,
5396,,,CHAINING SPRING,SPRING,Fresh,,
5397,,,PRICE CREEK SPRING,SPRING,Fresh,,
5398,,,OTTO SPRING,PATTERSON CREEK,Fresh,,
5399,,,MADGE SPRING,PATTERSON CREEK,Fresh,,
5400,,,MOLLIES SPRING,PATTERSON CREEK,Fresh,,
5401,,,CHENEY SPRING,PAHSIMEROI RIVER,Fresh,,
5402,,,BARNET SPRING NO 2,BIG CREEK,Fresh,,
5403,,,NORTH BULL CREEK SPRING,SPRINGS,Fresh,,
5404,,,SALTY SPRING,PAHSIMEROI RIVER,Fresh,,
5405,,,BANNACK SPRING,BIG CREEK,Fresh,,
