,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
193,,,SOUTH CREEK,GROUND WATER,Fresh,,
194,,,TIMBERED DOME CREEK,GROUND WATER,Fresh,,
195,,,POLE CANYON CREEK,GROUND WATER,Fresh,,
196,,,MALAD RIVER,GROUND WATER,Fresh,,
197,,,QUAKING ASP CREEK,GROUND WATER,Fresh,,
198,,,SUMMIT STATION CREEK,GROUND WATER,Fresh,,
199,,,SUMMIT CREEK,GROUND WATER,Fresh,,
200,,,JARVIS SPRING,GROUND WATER,Fresh,,
201,,,OWENS CORRAL CREEK,GROUND WATER,Fresh,,
202,,,THOROUGHBRED CREEK,GROUND WATER,Fresh,,
203,,,LITTLE SPRING CREEK,GROUND WATER,Fresh,,
204,,,LITTLE JACKS CREEK,GROUND WATER,Fresh,,
205,,,CHERRY CREEK,GROUND WATER,Fresh,,
206,,,LITTLE SMITH CREEK,GROUND WATER,Fresh,,
207,,,ROUGH LAKE,GROUND WATER,Fresh,,
208,,,BIG SPRINGS CREEK,GROUND WATER,Fresh,,
209,,,REYNOLDS CREEK,GROUND WATER,Fresh,,
210,,,LITTLE MCBRIDE CREEK,GROUND WATER,Fresh,,
211,,,EAST ALKALI DRAIN,GROUND WATER,Fresh,,
212,,,BISWELL CREEK,GROUND WATER,Fresh,,
213,,,CLEAR CREEK,GROUND WATER,Fresh,,
214,,,ELBURN SPRING,GROUND WATER,Fresh,,
215,,,TIMBER POINT SPRING,BLUE HILL CREEK,Fresh,,
216,,,SWAMP CREEK,UNNAMED STREAMS,Fresh,,
217,,,KEITHLY CREEK,LITTLE LOST RIVER,Fresh,,
218,,,BOULDER CREEK,COPPER CREEK,Fresh,,
219,,,EAST PINE CREEK,SPRING,Fresh,,
220,,,SUMMER CREEK,EIGHTEENMILE CREEK,Fresh,,
221,,,CHALLIS CREEK,GROUND WATER,Fresh,,
222,,,PATTERSON CREEK,GROUND WATER,Fresh,,
223,,,YEARIAN CREEK,GROUND WATER,Fresh,,
224,,,BOHANNON CREEK,GROUND WATER,Fresh,,
225,,,BASIN CREEK,GROUND WATER,Fresh,,
226,,,BILLY CREEK,GROUND WATER,Fresh,,
227,,,HAZARD LAKE,GROUND WATER,Fresh,,
228,,,SEAWELL CREEK,GROUND WATER,Fresh,,
229,,,BAKER GULCH CREEK,GROUND WATER,Fresh,,
230,,,KYLIE CREEK,GROUND WATER,Fresh,,
231,,,CLEARWATER RIVER,GROUND WATER,Fresh,,
232,,,WALL CANYON SPRINGS,GROUND WATER,Fresh,,
233,,,SWEETWATER CREEK,GROUND WATER,Fresh,,
234,,,STOCKNEY CREEK,GROUND WATER,Fresh,,
235,,,MISSION CREEK,GROUND WATER,Fresh,,
236,,,PHILLIPS DRAW CREEK,GROUND WATER,Fresh,,
237,,,CHOULSON CREEK,GROUND WATER,Fresh,,
238,,,WEST FORK MISSION CREEK,GROUND WATER,Fresh,,
239,,,COUGAR CREEK,GROUND WATER,Fresh,,
240,,,SKINNER CREEK,GROUND WATER,Fresh,,
241,,,DAIRY CANYON CREEK,GROUND WATER,Fresh,,
242,,,MINK CREEK,GROUND WATER,Fresh,,
243,,,MYERS CREEK,GROUND WATER,Fresh,,
244,,,CEDAR CREEK,GROUND WATER,Fresh,,
245,,,SLUG CREEK,GROUND WATER,Fresh,,
246,,,TOPONCE CREEK,GROUND WATER,Fresh,,
247,,,EDIE CREEK,GROUND WATER,Fresh,,
248,,,MAHOGANY CREEK,GROUND WATER,Fresh,,
249,,,PARSONS CREEK,GROUND WATER,Fresh,,
250,,,SOUTH LAVA CREEK,GROUND WATER,Fresh,,
251,,,THOMPSON CREEK,GROUND WATER,Fresh,,
252,,,MAHOGANY SPRINGS,GROUND WATER,Fresh,,
253,,,ORANGEBURG SPRING,GROUND WATER,Fresh,,
254,,,LAKE CLEVELAND,GROUND WATER,Fresh,,
255,,,DEVIL CREEK,GROUND WATER,Fresh,,
256,,,DEADWOOD CREEK,GROUND WATER,Fresh,,
257,,,JACKSON CREEK,GROUND WATER,Fresh,,
258,,,BENNETT CREEK,GROUND WATER,Fresh,,
259,,,COLD SPRINGS CREEK,GROUND WATER,Fresh,,
